cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001053,C0015576,ADMINISTERED_TO,Acetylesterase,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0002059,C0030551,ADMINISTERED_TO,Alkaline Phosphatase,parent,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0002520,C0015576,ADMINISTERED_TO,Amino Acids,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0003241,C0015576,ADMINISTERED_TO,Antibodies,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0003241,C0680063,ADMINISTERED_TO,Antibodies,Offspring,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0003242,C0015576,ADMINISTERED_TO,"Antibodies, Anti-Idiotypic",Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0003250,C0026591,ADMINISTERED_TO,Monoclonal Antibodies,Mother (person),aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0003250,C0080103,ADMINISTERED_TO,Monoclonal Antibodies,Relative (related person),aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0007428,C0015576,ADMINISTERED_TO,Cathepsins,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0007578,C0015576,ADMINISTERED_TO,Cell Adhesion Molecules,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0009498,C0086282,ADMINISTERED_TO,Complement System Proteins,Family member,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0009498,C0680063,ADMINISTERED_TO,Complement System Proteins,Offspring,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0010646,C0015576,ADMINISTERED_TO,Cystatins,Family,aapp,famg,2,ADMINISTERED_TO_AAPPadtoFAMG
C0010654,C0015576,ADMINISTERED_TO,Cysteine,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0011702,C0026591,ADMINISTERED_TO,Desmosine,Mother (person),aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0015491,C0030551,ADMINISTERED_TO,factor IX,parent,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0017968,C0870134,ADMINISTERED_TO,Glycoproteins,ancestors,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0018850,C0015576,ADMINISTERED_TO,Heat shock proteins,Family,aapp,famg,2,ADMINISTERED_TO_AAPPadtoFAMG
C0021027,C0026591,ADMINISTERED_TO,Immunoglobulins,Mother (person),aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0021764,C0015576,ADMINISTERED_TO,Interleukins,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0023206,C0015576,ADMINISTERED_TO,Lectin,Family,aapp,famg,5,ADMINISTERED_TO_AAPPadtoFAMG
C0023820,C0015576,ADMINISTERED_TO,Lipoproteins,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0025543,C0015576,ADMINISTERED_TO,Metalloproteases,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0030940,C0015576,ADMINISTERED_TO,Peptide Hydrolases,Family,aapp,famg,5,ADMINISTERED_TO_AAPPadtoFAMG
C0030946,C0015576,ADMINISTERED_TO,Endopeptidases,Family,aapp,famg,2,ADMINISTERED_TO_AAPPadtoFAMG
C0034792,C0015576,ADMINISTERED_TO,Cholinergic Receptors,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0035379,C0015576,ADMINISTERED_TO,RNA-Directed DNA Polymerase,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0035569,C0162409,ADMINISTERED_TO,Ricin,spouse,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0036720,C0086282,ADMINISTERED_TO,Serine,Family member,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0040648,C0015576,ADMINISTERED_TO,TRANSCRIPTION FACTOR,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0057144,C0026591,ADMINISTERED_TO,Daptomycin,Mother (person),aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0063695,C0015576,ADMINISTERED_TO,Intercellular adhesion molecule 1,Family,aapp,famg,2,ADMINISTERED_TO_AAPPadtoFAMG
C0079189,C0015576,ADMINISTERED_TO,cytokine,Family,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
C0079189,C0030551,ADMINISTERED_TO,cytokine,parent,aapp,famg,1,ADMINISTERED_TO_AAPPadtoFAMG
