cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000097,C0026809,ADMINISTERED_TO,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0000379,C0039005,ADMINISTERED_TO,"3,4-Methylenedioxyamphetamine",Family suidae,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0000677,C0034693,ADMINISTERED_TO,"9,10-Dimethyl-1,2-benzanthracene",Rattus norvegicus,hops,mamm,5,ADMINISTERED_TO_HOPSadtoMAMM
C0000677,C0034715,ADMINISTERED_TO,"9,10-Dimethyl-1,2-benzanthracene","Rats, Sprague-Dawley",hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0000677,C0034716,ADMINISTERED_TO,"9,10-Dimethyl-1,2-benzanthracene","Rats, Wistar",hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0001034,C0034693,ADMINISTERED_TO,Acetylaminofluorene,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0001963,C0026809,ADMINISTERED_TO,Methanol,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0004519,C0026809,ADMINISTERED_TO,Azoxymethane,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0005038,C0999471,ADMINISTERED_TO,Lindane,Rousettus egyptiacus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0007090,C0026809,ADMINISTERED_TO,Carcinogens,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0007090,C0034693,ADMINISTERED_TO,Carcinogens,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0011892,C0034693,ADMINISTERED_TO,Heroin,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0012200,C0034703,ADMINISTERED_TO,Diethylnitrosamine,"Rats, Inbred F344",hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0012203,C0018561,ADMINISTERED_TO,Diethylstilbestrol,Mesocricetus auratus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0012203,C0034693,ADMINISTERED_TO,Diethylstilbestrol,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0012411,C0026809,ADMINISTERED_TO,p-Dimethylaminoazobenzene,Mus,hops,mamm,5,ADMINISTERED_TO_HOPSadtoMAMM
C0012431,C0026809,ADMINISTERED_TO,Dimethylnitrosamine,Mus,hops,mamm,3,ADMINISTERED_TO_HOPSadtoMAMM
C0012503,C0034693,ADMINISTERED_TO,Dioxins,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0012589,C0034693,ADMINISTERED_TO,Diquat,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0014264,C0026809,ADMINISTERED_TO,Endotoxins,Mus,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0014264,C0034693,ADMINISTERED_TO,Endotoxins,Rattus norvegicus,hops,mamm,3,ADMINISTERED_TO_HOPSadtoMAMM
C0014264,C0036945,ADMINISTERED_TO,Endotoxins,Sheep,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0014264,C0039005,ADMINISTERED_TO,Endotoxins,Family suidae,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0014264,C0324889,ADMINISTERED_TO,Endotoxins,Old World rabbit,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0014264,C3887509,ADMINISTERED_TO,Endotoxins,Rabbits,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015079,C0999471,ADMINISTERED_TO,Ethylene Dibromide,Rousettus egyptiacus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015111,C0026809,ADMINISTERED_TO,Ethylnitrosourea,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015111,C0034693,ADMINISTERED_TO,Ethylnitrosourea,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015111,C0034703,ADMINISTERED_TO,Ethylnitrosourea,"Rats, Inbred F344",hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015919,C0007452,ADMINISTERED_TO,Fertilizers,Cattle,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015919,C0008139,ADMINISTERED_TO,Fertilizers,Chiroptera,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015919,C0039005,ADMINISTERED_TO,Fertilizers,Family suidae,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0015919,C0324768,ADMINISTERED_TO,Fertilizers,Family Pteropodidae,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0016564,C0007450,ADMINISTERED_TO,Formaldehyde,Felis catus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0016564,C0012984,ADMINISTERED_TO,Formaldehyde,Canis familiaris,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0016564,C0034693,ADMINISTERED_TO,Formaldehyde,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0021576,C0039005,ADMINISTERED_TO,Insecticides,Family suidae,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0025611,C0026447,ADMINISTERED_TO,Methamphetamine,Monkeys,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0025803,C0034716,ADMINISTERED_TO,Methylnitrosourea,"Rats, Wistar",hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0026879,C0025914,ADMINISTERED_TO,Mutagens,House mice,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0026879,C0034693,ADMINISTERED_TO,Mutagens,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0026955,C0007452,ADMINISTERED_TO,Mycotoxins,Cattle,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0026955,C0026809,ADMINISTERED_TO,Mycotoxins,Mus,hops,mamm,3,ADMINISTERED_TO_HOPSadtoMAMM
C0026955,C0039005,ADMINISTERED_TO,Mycotoxins,Family suidae,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0026955,C0085979,ADMINISTERED_TO,Mycotoxins,Cavia,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0027934,C0006764,ADMINISTERED_TO,Neurotoxins,Callithrix,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0030493,C0024398,ADMINISTERED_TO,Paraquat,Macaca,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0032346,C0008139,ADMINISTERED_TO,Poisons,Chiroptera,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0037366,C0325051,ADMINISTERED_TO,Smoke,Badgers,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0038777,C0034693,ADMINISTERED_TO,Sulfur Dioxide,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0039635,C0026809,ADMINISTERED_TO,Tetrachlorodibenzodioxin,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0040329,C0026809,ADMINISTERED_TO,Tobacco,Mus,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0045622,C0034693,ADMINISTERED_TO,"2,6-dinitrotoluene",Rattus norvegicus,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0065555,C0007450,ADMINISTERED_TO,Malachite green,Felis catus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0068808,C0324889,ADMINISTERED_TO,Nitric Acid,Old World rabbit,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0072157,C0034693,ADMINISTERED_TO,propachlor,Rattus norvegicus,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0072576,C0034693,ADMINISTERED_TO,ptaquiloside,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0202474,C0012984,ADMINISTERED_TO,Strychnine,Canis familiaris,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0596691,C0026809,ADMINISTERED_TO,hepatotoxin,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0949307,C0012984,ADMINISTERED_TO,Formalin,Canis familiaris,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0949307,C0026809,ADMINISTERED_TO,Formalin,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0007450,ADMINISTERED_TO,sentinel,Felis catus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0012984,ADMINISTERED_TO,sentinel,Canis familiaris,hops,mamm,3,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0016633,ADMINISTERED_TO,sentinel,Foxes,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0025914,ADMINISTERED_TO,sentinel,House mice,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0026809,ADMINISTERED_TO,sentinel,Mus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0034693,ADMINISTERED_TO,sentinel,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0324145,ADMINISTERED_TO,sentinel,Equus asinus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0325005,ADMINISTERED_TO,sentinel,Coyotes,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0524515,ADMINISTERED_TO,sentinel,Family canidae,hops,mamm,2,ADMINISTERED_TO_HOPSadtoMAMM
C0950580,C0599885,ADMINISTERED_TO,sentinel,marine Mammalia,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
C3843906,C0034693,ADMINISTERED_TO,Diesel engine exhaust,Rattus norvegicus,hops,mamm,1,ADMINISTERED_TO_HOPSadtoMAMM
