cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0007450,ADMINISTERED_TO,Adrenal Cortex Hormones,Felis catus,horm,mamm,8,ADMINISTERED_TO_HORMadtoMAMM
C0001617,C0012984,ADMINISTERED_TO,Adrenal Cortex Hormones,Canis familiaris,horm,mamm,2,ADMINISTERED_TO_HORMadtoMAMM
C0001617,C0026809,ADMINISTERED_TO,Adrenal Cortex Hormones,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0002006,C0026809,ADMINISTERED_TO,Aldosterone,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0002006,C0034693,ADMINISTERED_TO,Aldosterone,Rattus norvegicus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0002845,C0018557,ADMINISTERED_TO,"Androgens, Synthetic",Hamsters,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0010137,C0025920,ADMINISTERED_TO,Cortisone,"Mice, Inbred C3H",horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0010137,C0026809,ADMINISTERED_TO,Cortisone,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0012471,C0012984,ADMINISTERED_TO,Dinoprost,Canis familiaris,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0012471,C0018019,ADMINISTERED_TO,Dinoprost,Capra hircus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0012471,C3669723,ADMINISTERED_TO,Dinoprost,Female cattle prior to birth of first calf,horm,mamm,2,ADMINISTERED_TO_HORMadtoMAMM
C0012472,C3669692,ADMINISTERED_TO,Dinoprostone,Young housecat,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0014912,C0026809,ADMINISTERED_TO,Estradiol,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0014939,C0018557,ADMINISTERED_TO,Estrogens,Hamsters,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0017710,C0007450,ADMINISTERED_TO,Glucocorticoids,Felis catus,horm,mamm,6,ADMINISTERED_TO_HORMadtoMAMM
C0017710,C0007452,ADMINISTERED_TO,Glucocorticoids,Cattle,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0017710,C0012984,ADMINISTERED_TO,Glucocorticoids,Canis familiaris,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0017710,C0015859,ADMINISTERED_TO,Glucocorticoids,Ferrets,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0017710,C0026809,ADMINISTERED_TO,Glucocorticoids,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0025147,C0026809,ADMINISTERED_TO,Medroxyprogesterone,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0025175,C0007450,ADMINISTERED_TO,Megestrol,Felis catus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0025219,C0034693,ADMINISTERED_TO,Melatonin,Rattus norvegicus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0025815,C0007450,ADMINISTERED_TO,Methylprednisolone,Felis catus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0025815,C0324889,ADMINISTERED_TO,Methylprednisolone,Old World rabbit,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0032952,C0007450,ADMINISTERED_TO,Prednisone,Felis catus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0032952,C0015859,ADMINISTERED_TO,Prednisone,Ferrets,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0032952,C0034693,ADMINISTERED_TO,Prednisone,Rattus norvegicus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0033308,C0026809,ADMINISTERED_TO,Progesterone,Mus,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
C0039601,C0018557,ADMINISTERED_TO,Testosterone,Hamsters,horm,mamm,1,ADMINISTERED_TO_HORMadtoMAMM
