cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001047,C0184512,AFFECTS,Acetylcysteine,Stabilized (qualifier value),aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001271,C0332155,AFFECTS,Actins,Did not receive therapy or drug for,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001271,C0562577,AFFECTS,Actins,Mocking,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001271,C0580846,AFFECTS,Actins,Does pull,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001271,C3844729,AFFECTS,Actins,Very Important,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001347,C0439662,AFFECTS,Acute-Phase Proteins,Immune,aapp,fndg,2,AFFECTS_AAPPafctFNDG
C0001473,C0424589,AFFECTS,Adenosine Triphosphatases,Vitality,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001473,C0443213,AFFECTS,Adenosine Triphosphatases,Extrusion,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001479,C0427184,AFFECTS,Na(+)-K(+)-Exchanging ATPase,No incoordination,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001479,C4025593,AFFECTS,Na(+)-K(+)-Exchanging ATPase,Increased intracellular sodium,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001714,C0150312,AFFECTS,Polymyxin B Sulfate,Present,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001898,C0205160,AFFECTS,Alanine,Negative,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001924,C0205160,AFFECTS,Albumins,Negative,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001924,C0231901,AFFECTS,Albumins,Intraabdominal pressure,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001924,C0240618,AFFECTS,Albumins,ozone exposure,aapp,fndg,1,AFFECTS_AAPPafctFNDG
C0001924,C1287347,AFFECTS,Albumins,Finding of serum electrolyte levels,aapp,fndg,1,AFFECTS_AAPPafctFNDG
