cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0016169,C0018270,AFFECTS,pathologic fistula,Growth,anab,orgf,1,AFFECTS_ANABafctORGF
C0016169,C1510470,AFFECTS,pathologic fistula,Motility,anab,orgf,1,AFFECTS_ANABafctORGF
C0333047,C0018270,AFFECTS,Recession,Growth,anab,orgf,1,AFFECTS_ANABafctORGF
C0333262,C0005615,AFFECTS,Vesicle (morphologic abnormality),Birth,anab,orgf,1,AFFECTS_ANABafctORGF
C0333262,C0026649,AFFECTS,Vesicle (morphologic abnormality),Movement,anab,orgf,2,AFFECTS_ANABafctORGF
C0333262,C0678723,AFFECTS,Vesicle (morphologic abnormality),Biologic Development,anab,orgf,1,AFFECTS_ANABafctORGF
C0333262,C0699900,AFFECTS,Vesicle (morphologic abnormality),Catabolism,anab,orgf,1,AFFECTS_ANABafctORGF
C0333262,C1654934,AFFECTS,Vesicle (morphologic abnormality),Immune Evasion,anab,orgf,1,AFFECTS_ANABafctORGF
C0410719,C0018270,AFFECTS,Deformity of bone,Growth,anab,orgf,1,AFFECTS_ANABafctORGF
C2919945,C0043240,AFFECTS,Cavernous Hemangioma of Brain,Wound Healing,anab,orgf,1,AFFECTS_ANABafctORGF
