cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001041,C1325742,AFFECTS,Acetylcholine,Pore,bacs,celc,1,AFFECTS_BACSafctCELC
C0006675,C0026046,AFFECTS,Calcium,Microtubules,bacs,celc,1,AFFECTS_BACSafctCELC
C0006675,C0026237,AFFECTS,Calcium,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0006675,C3271504,AFFECTS,Calcium,endolysosome,bacs,celc,1,AFFECTS_BACSafctCELC
C0007271,C0682529,AFFECTS,Carotenoids,biological membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0007745,C0007603,AFFECTS,Ceramides,Plasma membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0007745,C0596901,AFFECTS,Ceramides,Membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0007745,C1167250,AFFECTS,Ceramides,lipid raft,bacs,celc,2,AFFECTS_BACSafctCELC
C0007745,C3269134,AFFECTS,Ceramides,Apoptotic Bodies,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C0007603,AFFECTS,Cholesterol,Plasma membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C0024369,AFFECTS,Cholesterol,Lysosomes,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C0230653,AFFECTS,Cholesterol,Caveolae,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C0596901,AFFECTS,Cholesterol,Membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C1167250,AFFECTS,Cholesterol,lipid raft,bacs,celc,2,AFFECTS_BACSafctCELC
C0008377,C1167398,AFFECTS,Cholesterol,Viral envelope,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C1622204,AFFECTS,Cholesterol,envelope,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C1819995,AFFECTS,Cholesterol,Host Cell,bacs,celc,2,AFFECTS_BACSafctCELC
C0008377,C2610566,AFFECTS,Cholesterol,yolk,bacs,celc,1,AFFECTS_BACSafctCELC
C0008377,C3549194,AFFECTS,Cholesterol,viral membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0010738,C0025979,AFFECTS,Cytochalasin D,Microfilaments,bacs,celc,2,AFFECTS_BACSafctCELC
C0012854,C0007592,AFFECTS,DNA,Cell Extracts,bacs,celc,1,AFFECTS_BACSafctCELC
C0012854,C0042760,AFFECTS,DNA,Virion,bacs,celc,2,AFFECTS_BACSafctCELC
C0012854,C0242609,AFFECTS,DNA,Kinetochores,bacs,celc,1,AFFECTS_BACSafctCELC
C0012854,C1167117,AFFECTS,DNA,replication fork,bacs,celc,1,AFFECTS_BACSafctCELC
C0012854,C1167398,AFFECTS,DNA,Viral envelope,bacs,celc,1,AFFECTS_BACSafctCELC
C0012854,C1167519,AFFECTS,DNA,viral capsid,bacs,celc,1,AFFECTS_BACSafctCELC
C0012854,C1516511,AFFECTS,DNA,Chromatin Structure,bacs,celc,2,AFFECTS_BACSafctCELC
C0012854,C1749467,AFFECTS,DNA,soluble,bacs,celc,1,AFFECTS_BACSafctCELC
C0012929,C0010837,AFFECTS,"DNA, Mitochondrial",Cytoplasmic Granules,bacs,celc,1,AFFECTS_BACSafctCELC
C0012929,C3156614,AFFECTS,"DNA, Mitochondrial",NLRP3 inflammasome complex,bacs,celc,1,AFFECTS_BACSafctCELC
C0012934,C1516511,AFFECTS,"DNA, Satellite",Chromatin Structure,bacs,celc,2,AFFECTS_BACSafctCELC
C0013982,C0026237,AFFECTS,Emodin,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0013982,C0042760,AFFECTS,Emodin,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0013982,C1819995,AFFECTS,Emodin,Host Cell,bacs,celc,1,AFFECTS_BACSafctCELC
C0016895,C1622204,AFFECTS,Ganglioside GM1,envelope,bacs,celc,1,AFFECTS_BACSafctCELC
C0017215,C1167117,AFFECTS,GC Rich Sequence,replication fork,bacs,celc,1,AFFECTS_BACSafctCELC
C0017725,C0042760,AFFECTS,Glucose,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0017911,C0026237,AFFECTS,Glycogen,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0018966,C0026237,AFFECTS,Heme,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0019143,C0032592,AFFECTS,Heparitin Sulfate,Polyribosomes,bacs,celc,1,AFFECTS_BACSafctCELC
C0023823,C0042760,AFFECTS,Low-Density Lipoproteins,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0027289,C0026237,AFFECTS,NADH,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0028128,C0007603,AFFECTS,Nitric Oxide,Plasma membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0028606,C0010834,AFFECTS,Nucleic Acids,Cytoplasm,bacs,celc,1,AFFECTS_BACSafctCELC
C0028606,C1167121,AFFECTS,Nucleic Acids,DNA replication factor A complex location,bacs,celc,1,AFFECTS_BACSafctCELC
C0028606,C1383501,AFFECTS,Nucleic Acids,Cytoplasmic matrix,bacs,celc,1,AFFECTS_BACSafctCELC
C0030054,C0042760,AFFECTS,Oxygen,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0030234,C0596901,AFFECTS,Palmitic Acid,Membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0031676,C0026237,AFFECTS,Phospholipids,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0031676,C0596901,AFFECTS,Phospholipids,Membrane,bacs,celc,2,AFFECTS_BACSafctCELC
C0031676,C0682529,AFFECTS,Phospholipids,biological membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0031866,C0596901,AFFECTS,Phytosterols,Membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0032136,C0230628,AFFECTS,Plasmids,Lamellipodia,bacs,celc,1,AFFECTS_BACSafctCELC
C0032136,C0596901,AFFECTS,Plasmids,Membrane,bacs,celc,2,AFFECTS_BACSafctCELC
C0032136,C0887904,AFFECTS,Plasmids,Stress Fibers,bacs,celc,1,AFFECTS_BACSafctCELC
C0032136,C1625133,AFFECTS,Plasmids,interleukin-12 complex,bacs,celc,1,AFFECTS_BACSafctCELC
C0034987,C0026237,AFFECTS,"Regulatory Sequences, Nucleic Acid",Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0035142,C0042760,AFFECTS,Replicon,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0035142,C0230822,AFFECTS,Replicon,Autolysosome,bacs,celc,1,AFFECTS_BACSafctCELC
C0035693,C1819995,AFFECTS,"RNA, Double-Stranded",Host Cell,bacs,celc,2,AFFECTS_BACSafctCELC
C0035696,C0032592,AFFECTS,"RNA, Messenger",Polyribosomes,bacs,celc,4,AFFECTS_BACSafctCELC
C0035696,C0035553,AFFECTS,"RNA, Messenger",Ribosomes,bacs,celc,2,AFFECTS_BACSafctCELC
C0035696,C0699040,AFFECTS,"RNA, Messenger",Cell surface,bacs,celc,1,AFFECTS_BACSafctCELC
C0035696,C1167012,AFFECTS,"RNA, Messenger","Ribosome Subunits, Small",bacs,celc,1,AFFECTS_BACSafctCELC
C0035696,C1516511,AFFECTS,"RNA, Messenger",Chromatin Structure,bacs,celc,1,AFFECTS_BACSafctCELC
C0035696,C1819347,AFFECTS,"RNA, Messenger",actin filament bundle,bacs,celc,1,AFFECTS_BACSafctCELC
C0035711,C0085187,AFFECTS,Transfer RNA,telomere,bacs,celc,1,AFFECTS_BACSafctCELC
C0036248,C1167250,AFFECTS,Saxitoxin,lipid raft,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C0026237,AFFECTS,Toxin,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C0034850,AFFECTS,Toxin,Endosomes,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C0035553,AFFECTS,Toxin,Ribosomes,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C0699040,AFFECTS,Toxin,Cell surface,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C0887904,AFFECTS,Toxin,Stress Fibers,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C1167250,AFFECTS,Toxin,lipid raft,bacs,celc,1,AFFECTS_BACSafctCELC
C0040549,C1819995,AFFECTS,Toxin,Host Cell,bacs,celc,3,AFFECTS_BACSafctCELC
C0041004,C0008653,AFFECTS,Triglycerides,"Chromosomes, Human, Pair 11",bacs,celc,1,AFFECTS_BACSafctCELC
C0043442,C1516511,AFFECTS,"DNA, Z-Form",Chromatin Structure,bacs,celc,1,AFFECTS_BACSafctCELC
C0067762,C0887869,AFFECTS,N-Acetylneuraminic Acid,Cell-Matrix Junction,bacs,celc,1,AFFECTS_BACSafctCELC
C0074565,C3549194,AFFECTS,Singlet Oxygen,viral membrane,bacs,celc,1,AFFECTS_BACSafctCELC
C0074572,C0042760,AFFECTS,Sinupret,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0075301,C0010834,AFFECTS,streptolysin O,Cytoplasm,bacs,celc,1,AFFECTS_BACSafctCELC
C0082774,C1819995,AFFECTS,"RNA, Guide",Host Cell,bacs,celc,1,AFFECTS_BACSafctCELC
C0136157,C0042760,AFFECTS,Peroxynitrite,Virion,bacs,celc,1,AFFECTS_BACSafctCELC
C0178555,C2350332,AFFECTS,chemical cofactor,Exosomes,bacs,celc,1,AFFECTS_BACSafctCELC
C0242494,C1325596,AFFECTS,Poly(A) Tail,P-body,bacs,celc,1,AFFECTS_BACSafctCELC
C0304207,C1383501,AFFECTS,Bacterial product,Cytoplasmic matrix,bacs,celc,1,AFFECTS_BACSafctCELC
C0314768,C1819995,AFFECTS,Bacterial exotoxin,Host Cell,bacs,celc,1,AFFECTS_BACSafctCELC
C0600472,C0010853,AFFECTS,Long Interspersed Nucleotide Element-1,Cytoskeleton,bacs,celc,1,AFFECTS_BACSafctCELC
C0935992,C2754997,AFFECTS,Telomerase RNA Component,"IgM immunoglobulin complex, circulating",bacs,celc,1,AFFECTS_BACSafctCELC
C1099354,C0025979,AFFECTS,"RNA, Small Interfering",Microfilaments,bacs,celc,1,AFFECTS_BACSafctCELC
C1099354,C0042760,AFFECTS,"RNA, Small Interfering",Virion,bacs,celc,2,AFFECTS_BACSafctCELC
C1099354,C0175996,AFFECTS,"RNA, Small Interfering",Protoplasm,bacs,celc,1,AFFECTS_BACSafctCELC
C1099354,C1166848,AFFECTS,"RNA, Small Interfering",late endosome,bacs,celc,1,AFFECTS_BACSafctCELC
C1099354,C1167033,AFFECTS,"RNA, Small Interfering",symbiont-containing vacuole,bacs,celc,2,AFFECTS_BACSafctCELC
C1099354,C1167506,AFFECTS,"RNA, Small Interfering",RNA-induced silencing complex location,bacs,celc,1,AFFECTS_BACSafctCELC
C1099354,C1819995,AFFECTS,"RNA, Small Interfering",Host Cell,bacs,celc,4,AFFECTS_BACSafctCELC
C1099354,C4327145,AFFECTS,"RNA, Small Interfering",endonuclease complex,bacs,celc,1,AFFECTS_BACSafctCELC
C1101610,C0026237,AFFECTS,MicroRNAs,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C1101610,C1819995,AFFECTS,MicroRNAs,Host Cell,bacs,celc,1,AFFECTS_BACSafctCELC
C1101610,C1956015,AFFECTS,MicroRNAs,Ribosome Subunits,bacs,celc,1,AFFECTS_BACSafctCELC
C1136170,C0010853,AFFECTS,Virulence Factors,Cytoskeleton,bacs,celc,1,AFFECTS_BACSafctCELC
C1136170,C0026237,AFFECTS,Virulence Factors,Mitochondria,bacs,celc,1,AFFECTS_BACSafctCELC
C1136170,C1819995,AFFECTS,Virulence Factors,Host Cell,bacs,celc,1,AFFECTS_BACSafctCELC
C1136191,C0019397,AFFECTS,Boundary Elements,Heterochromatin,bacs,celc,1,AFFECTS_BACSafctCELC
C1136191,C0028587,AFFECTS,Boundary Elements,Nuclear Pore,bacs,celc,1,AFFECTS_BACSafctCELC
C1179920,C3269134,AFFECTS,Nuclear deoxyribonucleic acid,Apoptotic Bodies,bacs,celc,1,AFFECTS_BACSafctCELC
C1268902,C0007625,AFFECTS,Purine analog,Cell-Free System,bacs,celc,1,AFFECTS_BACSafctCELC
C1506352,C0175996,AFFECTS,silvestrol,Protoplasm,bacs,celc,2,AFFECTS_BACSafctCELC
C1519315,C0034850,AFFECTS,Signaling Molecule,Endosomes,bacs,celc,1,AFFECTS_BACSafctCELC
C1519315,C1511625,AFFECTS,Signaling Molecule,Cytoplasmic Domain,bacs,celc,1,AFFECTS_BACSafctCELC
C1764827,C0004461,AFFECTS,Isolate - microorganism,Axon,bacs,celc,1,AFFECTS_BACSafctCELC
C1764827,C1325834,AFFECTS,Isolate - microorganism,viral glycoprotein,bacs,celc,1,AFFECTS_BACSafctCELC
C1956352,C1268456,AFFECTS,Piwi-Interacting RNA,Viral Components,bacs,celc,1,AFFECTS_BACSafctCELC
C2936590,C3548406,AFFECTS,Riboswitch,terminal loop,bacs,celc,1,AFFECTS_BACSafctCELC
C3494264,C1516511,AFFECTS,"RNA, Long Untranslated",Chromatin Structure,bacs,celc,1,AFFECTS_BACSafctCELC
C3714516,C0010834,AFFECTS,tetraspanin-enriched microdomain,Cytoplasm,bacs,celc,1,AFFECTS_BACSafctCELC
C3714516,C0597895,AFFECTS,tetraspanin-enriched microdomain,luminal membrane,bacs,celc,1,AFFECTS_BACSafctCELC
