cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003261,C0004096,AFFECTS,Antibody Formation,Asthma,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0004364,AFFECTS,Antibody Formation,Autoimmune Diseases,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0037974,AFFECTS,Antibody Formation,Spirochaetales Infections,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0042749,AFFECTS,Antibody Formation,Viremia,biof,dsyn,2,AFFECTS_BIOFafctDSYN
C0003261,C0042769,AFFECTS,Antibody Formation,Virus Diseases,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0149678,AFFECTS,Antibody Formation,Epstein-Barr Virus Infections,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0275518,AFFECTS,Antibody Formation,Acute infectious disease,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0348165,AFFECTS,Antibody Formation,Central Nervous System Viral Diseases,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0003261,C0748168,AFFECTS,Antibody Formation,Pulmonary Pathology,biof,dsyn,2,AFFECTS_BIOFafctDSYN
C0003261,C1175175,AFFECTS,Antibody Formation,Severe Acute Respiratory Syndrome,biof,dsyn,2,AFFECTS_BIOFafctDSYN
C0003261,C3662483,AFFECTS,Antibody Formation,Allergic sensitization,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0013203,C0016627,AFFECTS,Drug resistance,Influenza in Birds,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0013203,C0018889,AFFECTS,Drug resistance,Helminthiasis,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0013203,C0024530,AFFECTS,Drug resistance,Malaria,biof,dsyn,4,AFFECTS_BIOFafctDSYN
C0013203,C0041296,AFFECTS,Drug resistance,Tuberculosis,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0013203,C0042769,AFFECTS,Drug resistance,Virus Diseases,biof,dsyn,1,AFFECTS_BIOFafctDSYN
C0013203,C0877445,AFFECTS,Drug resistance,Candidemia,biof,dsyn,1,AFFECTS_BIOFafctDSYN
