cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003272,C0017982,AFFECTS,Antibody-Dependent Cellular Cytotoxicity,glycosylation,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C0005495,AFFECTS,Autophagy,Origin of Life,celf,npop,4,AFFECTS_CELFafctNPOP
C0004391,C0031164,AFFECTS,Autophagy,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C0600511,AFFECTS,Autophagy,Pharmacologic Actions,celf,npop,2,AFFECTS_CELFafctNPOP
C0004391,C0678542,AFFECTS,Autophagy,chemical energy,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C2348693,AFFECTS,Autophagy,Flux,celf,npop,3,AFFECTS_CELFafctNPOP
C0004391,C2717975,AFFECTS,Autophagy,Virus Release,celf,npop,1,AFFECTS_CELFafctNPOP
C0004391,C3826426,AFFECTS,Autophagy,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C0007577,C0031164,AFFECTS,Cell Adhesion,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0007577,C2936626,AFFECTS,Cell Adhesion,Tumor Microenvironment,celf,npop,1,AFFECTS_CELFafctNPOP
C0007582,C2717975,AFFECTS,Cell Communication,Virus Release,celf,npop,1,AFFECTS_CELFafctNPOP
C0007582,C3826426,AFFECTS,Cell Communication,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C0007586,C0005495,AFFECTS,Cell Cycle,Origin of Life,celf,npop,2,AFFECTS_CELFafctNPOP
C0007586,C0022702,AFFECTS,Cell Cycle,Kinetics,celf,npop,1,AFFECTS_CELFafctNPOP
C0007587,C0031164,AFFECTS,Cell Death,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0007613,C2936626,AFFECTS,Cell physiology,Tumor Microenvironment,celf,npop,1,AFFECTS_CELFafctNPOP
C0007620,C0031164,AFFECTS,Cell Survival,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0008018,C0031164,AFFECTS,Chemotaxis,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0010813,C0005495,AFFECTS,Cytokinesis,Origin of Life,celf,npop,1,AFFECTS_CELFafctNPOP
C0010813,C0022702,AFFECTS,Cytokinesis,Kinetics,celf,npop,2,AFFECTS_CELFafctNPOP
C0010813,C0032931,AFFECTS,Cytokinesis,Precipitation,celf,npop,1,AFFECTS_CELFafctNPOP
C0010813,C0376525,AFFECTS,Cytokinesis,Dimerization,celf,npop,1,AFFECTS_CELFafctNPOP
C0010813,C3826426,AFFECTS,Cytokinesis,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C0021798,C3826426,AFFECTS,Interphase,Dynamics,celf,npop,1,AFFECTS_CELFafctNPOP
C0025251,C0031164,AFFECTS,Membrane Potentials,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0025251,C2348693,AFFECTS,Membrane Potentials,Flux,celf,npop,1,AFFECTS_CELFafctNPOP
C0026255,C0022702,AFFECTS,Mitosis,Kinetics,celf,npop,1,AFFECTS_CELFafctNPOP
C0026255,C0031164,AFFECTS,Mitosis,Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0026255,C0376525,AFFECTS,Mitosis,Dimerization,celf,npop,1,AFFECTS_CELFafctNPOP
C0031308,C0013764,AFFECTS,Phagocytosis,elasticity,celf,npop,1,AFFECTS_CELFafctNPOP
C0032174,C0031164,AFFECTS,"Platelet adhesion, function",Permeability,celf,npop,1,AFFECTS_CELFafctNPOP
C0037083,C0005495,AFFECTS,Signal Transduction,Origin of Life,celf,npop,2,AFFECTS_CELFafctNPOP
C0037083,C0037783,AFFECTS,Signal Transduction,Species Specificity,celf,npop,1,AFFECTS_CELFafctNPOP
