cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003272,C0021080,AFFECTS,Antibody-Dependent Cellular Cytotoxicity,Natural immunosuppression,celf,orgf,1,AFFECTS_CELFafctORGF
C0003272,C1516559,AFFECTS,Antibody-Dependent Cellular Cytotoxicity,Circulatory Process,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C0000934,AFFECTS,Autophagy,Acclimatization,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C0005486,AFFECTS,Autophagy,Bioenergetics,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C0005615,AFFECTS,Autophagy,Birth,celf,orgf,12,AFFECTS_CELFafctORGF
C0004391,C0011065,AFFECTS,Autophagy,Cessation of life,celf,orgf,4,AFFECTS_CELFafctORGF
C0004391,C0013470,AFFECTS,Autophagy,Eating,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C0014653,AFFECTS,Autophagy,Equilibrium,celf,orgf,4,AFFECTS_CELFafctORGF
C0004391,C0018270,AFFECTS,Autophagy,Growth,celf,orgf,3,AFFECTS_CELFafctORGF
C0004391,C0020966,AFFECTS,Autophagy,Cellular Immunity,celf,orgf,2,AFFECTS_CELFafctORGF
C0004391,C0021059,AFFECTS,Autophagy,Immunologic Surveillance,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C0023796,AFFECTS,Autophagy,Lipolysis,celf,orgf,2,AFFECTS_CELFafctORGF
C0004391,C0596570,AFFECTS,Autophagy,fibrogenesis,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C0678723,AFFECTS,Autophagy,Biologic Development,celf,orgf,7,AFFECTS_CELFafctORGF
C0004391,C0699900,AFFECTS,Autophagy,Catabolism,celf,orgf,17,AFFECTS_CELFafctORGF
C0004391,C1155328,AFFECTS,Autophagy,Antiviral Response,celf,orgf,6,AFFECTS_CELFafctORGF
C0004391,C1327413,AFFECTS,Autophagy,cytokine production,celf,orgf,4,AFFECTS_CELFafctORGF
C0004391,C1516002,AFFECTS,Autophagy,Antibacterial Response,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C1749719,AFFECTS,Autophagy,Adaptive Immune Response,celf,orgf,3,AFFECTS_CELFafctORGF
C0004391,C1819430,AFFECTS,Autophagy,type I interferon production,celf,orgf,2,AFFECTS_CELFafctORGF
C0004391,C1819436,AFFECTS,Autophagy,interleukin-1 production,celf,orgf,1,AFFECTS_CELFafctORGF
C0004391,C3824609,AFFECTS,Autophagy,cellular response to virus,celf,orgf,1,AFFECTS_CELFafctORGF
C0007582,C0005615,AFFECTS,Cell Communication,Birth,celf,orgf,1,AFFECTS_CELFafctORGF
C0007582,C0678723,AFFECTS,Cell Communication,Biologic Development,celf,orgf,1,AFFECTS_CELFafctORGF
C0007582,C1155328,AFFECTS,Cell Communication,Antiviral Response,celf,orgf,1,AFFECTS_CELFafctORGF
C0007582,C1160185,AFFECTS,Cell Communication,transduction,celf,orgf,1,AFFECTS_CELFafctORGF
C0007586,C0018270,AFFECTS,Cell Cycle,Growth,celf,orgf,1,AFFECTS_CELFafctORGF
C0007586,C0025519,AFFECTS,Cell Cycle,Metabolism,celf,orgf,1,AFFECTS_CELFafctORGF
C0007586,C0043240,AFFECTS,Cell Cycle,Wound Healing,celf,orgf,1,AFFECTS_CELFafctORGF
C0007586,C1752856,AFFECTS,Cell Cycle,Host-Pathogen Interactions,celf,orgf,1,AFFECTS_CELFafctORGF
C0007587,C0011065,AFFECTS,Cell Death,Cessation of life,celf,orgf,1,AFFECTS_CELFafctORGF
C0007587,C0014653,AFFECTS,Cell Death,Equilibrium,celf,orgf,1,AFFECTS_CELFafctORGF
C0007587,C0018270,AFFECTS,Cell Death,Growth,celf,orgf,1,AFFECTS_CELFafctORGF
C0007587,C1160185,AFFECTS,Cell Death,transduction,celf,orgf,2,AFFECTS_CELFafctORGF
C0007587,C1654934,AFFECTS,Cell Death,Immune Evasion,celf,orgf,1,AFFECTS_CELFafctORGF
C0007590,C0001811,AFFECTS,Cell division,Aging,celf,orgf,1,AFFECTS_CELFafctORGF
C0007590,C0018270,AFFECTS,Cell division,Growth,celf,orgf,1,AFFECTS_CELFafctORGF
C0007590,C0025519,AFFECTS,Cell division,Metabolism,celf,orgf,1,AFFECTS_CELFafctORGF
C0007590,C0597375,AFFECTS,Cell division,reproductive development,celf,orgf,1,AFFECTS_CELFafctORGF
C0007590,C0678723,AFFECTS,Cell division,Biologic Development,celf,orgf,1,AFFECTS_CELFafctORGF
C0007595,C0005823,AFFECTS,cell growth,Blood Pressure,celf,orgf,1,AFFECTS_CELFafctORGF
C0007595,C0011135,AFFECTS,cell growth,Defecation,celf,orgf,1,AFFECTS_CELFafctORGF
C0007613,C0001811,AFFECTS,Cell physiology,Aging,celf,orgf,1,AFFECTS_CELFafctORGF
C0007613,C0013470,AFFECTS,Cell physiology,Eating,celf,orgf,1,AFFECTS_CELFafctORGF
C0007613,C0014653,AFFECTS,Cell physiology,Equilibrium,celf,orgf,1,AFFECTS_CELFafctORGF
C0007613,C0043240,AFFECTS,Cell physiology,Wound Healing,celf,orgf,1,AFFECTS_CELFafctORGF
C0007613,C0699900,AFFECTS,Cell physiology,Catabolism,celf,orgf,1,AFFECTS_CELFafctORGF
C0007613,C1327413,AFFECTS,Cell physiology,cytokine production,celf,orgf,3,AFFECTS_CELFafctORGF
C0007620,C0001811,AFFECTS,Cell Survival,Aging,celf,orgf,1,AFFECTS_CELFafctORGF
C0007620,C0011065,AFFECTS,Cell Survival,Cessation of life,celf,orgf,1,AFFECTS_CELFafctORGF
C0007620,C0018270,AFFECTS,Cell Survival,Growth,celf,orgf,1,AFFECTS_CELFafctORGF
C0008018,C0026649,AFFECTS,Chemotaxis,Movement,celf,orgf,1,AFFECTS_CELFafctORGF
C0010813,C0011065,AFFECTS,Cytokinesis,Cessation of life,celf,orgf,1,AFFECTS_CELFafctORGF
C0010813,C0018270,AFFECTS,Cytokinesis,Growth,celf,orgf,1,AFFECTS_CELFafctORGF
C0010813,C0026559,AFFECTS,Cytokinesis,Morphogenesis,celf,orgf,1,AFFECTS_CELFafctORGF
C0010813,C0043240,AFFECTS,Cytokinesis,Wound Healing,celf,orgf,1,AFFECTS_CELFafctORGF
C0010813,C0678723,AFFECTS,Cytokinesis,Biologic Development,celf,orgf,2,AFFECTS_CELFafctORGF
C0010813,C1155328,AFFECTS,Cytokinesis,Antiviral Response,celf,orgf,1,AFFECTS_CELFafctORGF
C0010813,C1654934,AFFECTS,Cytokinesis,Immune Evasion,celf,orgf,2,AFFECTS_CELFafctORGF
C0014139,C0005615,AFFECTS,Endocytosis,Birth,celf,orgf,1,AFFECTS_CELFafctORGF
C0014139,C0026649,AFFECTS,Endocytosis,Movement,celf,orgf,2,AFFECTS_CELFafctORGF
C0014139,C0678723,AFFECTS,Endocytosis,Biologic Development,celf,orgf,1,AFFECTS_CELFafctORGF
C0014139,C1749719,AFFECTS,Endocytosis,Adaptive Immune Response,celf,orgf,1,AFFECTS_CELFafctORGF
C0015283,C0011065,AFFECTS,Exocytosis,Cessation of life,celf,orgf,1,AFFECTS_CELFafctORGF
C0019595,C2936375,AFFECTS,Histamine Release,Th1-Th2 Balance,celf,orgf,1,AFFECTS_CELFafctORGF
C0024426,C0011065,AFFECTS,Macrophage Activation,Cessation of life,celf,orgf,2,AFFECTS_CELFafctORGF
C0025251,C0014653,AFFECTS,Membrane Potentials,Equilibrium,celf,orgf,1,AFFECTS_CELFafctORGF
