cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007447,C0020517,AFFECTS,Cations,Hypersensitivity,chvs,patf,1,AFFECTS_CHVSafctPATF
C0036140,C0595916,AFFECTS,Salts,Toxic nephropathy,chvs,patf,1,AFFECTS_CHVSafctPATF
C0038739,C0021368,AFFECTS,Sulfides,Inflammation,chvs,patf,1,AFFECTS_CHVSafctPATF
C0302969,C0021368,AFFECTS,Inorganic sulfide compound,Inflammation,chvs,patf,1,AFFECTS_CHVSafctPATF
C0596383,C0028778,AFFECTS,Copolymer,Obstruction,chvs,patf,1,AFFECTS_CHVSafctPATF
C0597177,C0020517,AFFECTS,Particle,Hypersensitivity,chvs,patf,1,AFFECTS_CHVSafctPATF
C0597177,C0028778,AFFECTS,Particle,Obstruction,chvs,patf,1,AFFECTS_CHVSafctPATF
C0597177,C0036679,AFFECTS,Particle,Diastasis,chvs,patf,1,AFFECTS_CHVSafctPATF
C0597177,C0854457,AFFECTS,Particle,Direct disease transmission,chvs,patf,1,AFFECTS_CHVSafctPATF
C0597177,C3714514,AFFECTS,Particle,Infection,chvs,patf,2,AFFECTS_CHVSafctPATF
C0597177,C4287874,AFFECTS,Particle,Droplet Transmission,chvs,patf,3,AFFECTS_CHVSafctPATF
C1704241,C0020517,AFFECTS,complex (molecular entity),Hypersensitivity,chvs,patf,1,AFFECTS_CHVSafctPATF
C1704241,C0021368,AFFECTS,complex (molecular entity),Inflammation,chvs,patf,1,AFFECTS_CHVSafctPATF
C1704241,C1520005,AFFECTS,complex (molecular entity),Viral Pathogenesis,chvs,patf,1,AFFECTS_CHVSafctPATF
C1704241,C3714514,AFFECTS,complex (molecular entity),Infection,chvs,patf,2,AFFECTS_CHVSafctPATF
