cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007009,C0599844,AFFECTS,Carbon,molecular recognition,elii,moft,1,AFFECTS_ELIIafctMOFT
C0007009,C1154734,AFFECTS,Carbon,aflatoxin biosynthetic process,elii,moft,1,AFFECTS_ELIIafctMOFT
C0018026,C0599844,AFFECTS,Gold,molecular recognition,elii,moft,1,AFFECTS_ELIIafctMOFT
C0023870,C0034782,AFFECTS,Lithium,Receptor-Mediated Signal Transduction,elii,moft,1,AFFECTS_ELIIafctMOFT
C0033727,C1152633,AFFECTS,Protons,receptor activity,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C0025246,AFFECTS,Calcium ion,Membrane Fusion,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C0031715,AFFECTS,Calcium ion,Phosphorylation,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C0086982,AFFECTS,Calcium ion,Signal Transduction Pathways,elii,moft,2,AFFECTS_ELIIafctMOFT
C0596235,C0162847,AFFECTS,Calcium ion,protein folding,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C1148583,AFFECTS,Calcium ion,polysaccharide binding,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C1328948,AFFECTS,Calcium ion,RNA biosynthesis,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C1513094,AFFECTS,Calcium ion,Melanogenesis,elii,moft,1,AFFECTS_ELIIafctMOFT
C0596235,C1537044,AFFECTS,Calcium ion,protein activity,elii,moft,1,AFFECTS_ELIIafctMOFT
C0723796,C0030011,AFFECTS,Trace metal,Oxidation,elii,moft,1,AFFECTS_ELIIafctMOFT
C2346927,C0301641,AFFECTS,Magnesium Cation,Macromolecular alteration,elii,moft,1,AFFECTS_ELIIafctMOFT
C2346927,C1149650,AFFECTS,Magnesium Cation,nucleoside triphosphatase activity,elii,moft,1,AFFECTS_ELIIafctMOFT
