cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002844,C1817899,AFFECTS,Androgens,lymphocyte mediated immunity,horm,biof,1,AFFECTS_HORMafctBIOF
C0002845,C0220781,AFFECTS,"Androgens, Synthetic",Anabolism,horm,biof,1,AFFECTS_HORMafctBIOF
C0010124,C0683168,AFFECTS,Corticosterone,synergistic drug interaction,horm,biof,1,AFFECTS_HORMafctBIOF
C0012472,C0220781,AFFECTS,Dinoprostone,Anabolism,horm,biof,1,AFFECTS_HORMafctBIOF
C0014939,C2754819,AFFECTS,Estrogens,granzyme B production,horm,biof,1,AFFECTS_HORMafctBIOF
C0020268,C0019868,AFFECTS,Hydrocortisone,Homeostasis,horm,biof,1,AFFECTS_HORMafctBIOF
C0025219,C0003261,AFFECTS,Melatonin,Antibody Formation,horm,biof,1,AFFECTS_HORMafctBIOF
C0025219,C3714634,AFFECTS,Melatonin,Biological Processes,horm,biof,1,AFFECTS_HORMafctBIOF
C0028351,C0220781,AFFECTS,Norepinephrine,Anabolism,horm,biof,1,AFFECTS_HORMafctBIOF
C0032952,C3714634,AFFECTS,Prednisone,Biological Processes,horm,biof,1,AFFECTS_HORMafctBIOF
C0033554,C3714634,AFFECTS,Prostaglandins,Biological Processes,horm,biof,1,AFFECTS_HORMafctBIOF
C0036884,C0019868,AFFECTS,Gonadal Steroid Hormones,Homeostasis,horm,biof,1,AFFECTS_HORMafctBIOF
C0039601,C0003261,AFFECTS,Testosterone,Antibody Formation,horm,biof,1,AFFECTS_HORMafctBIOF
C0732611,C1537068,AFFECTS,Selective Estrogen Receptor Modulators,Virus Internalization,horm,biof,1,AFFECTS_HORMafctBIOF
C1445654,C0019868,AFFECTS,Adrenal hormone preparation,Homeostasis,horm,biof,1,AFFECTS_HORMafctBIOF
