cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0019010,AFFECTS,Adrenal Cortex Hormones,Hemodynamics,horm,ortf,3,AFFECTS_HORMafctORTF
C0001617,C0231921,AFFECTS,Adrenal Cortex Hormones,Pulmonary function,horm,ortf,2,AFFECTS_HORMafctORTF
C0001617,C0231940,AFFECTS,Adrenal Cortex Hormones,Alveolar ventilation function,horm,ortf,4,AFFECTS_HORMafctORTF
C0001617,C0260043,AFFECTS,Adrenal Cortex Hormones,neuromuscular transmission,horm,ortf,1,AFFECTS_HORMafctORTF
C0001617,C0301872,AFFECTS,Adrenal Cortex Hormones,Immune response,horm,ortf,3,AFFECTS_HORMafctORTF
C0001617,C0517349,AFFECTS,Adrenal Cortex Hormones,Muscle Strength,horm,ortf,1,AFFECTS_HORMafctORTF
C0001617,C0596204,AFFECTS,Adrenal Cortex Hormones,bone metabolism,horm,ortf,2,AFFECTS_HORMafctORTF
C0002006,C0019010,AFFECTS,Aldosterone,Hemodynamics,horm,ortf,1,AFFECTS_HORMafctORTF
C0002844,C0018129,AFFECTS,Androgens,Graft Rejection,horm,ortf,1,AFFECTS_HORMafctORTF
C0002844,C0237858,AFFECTS,Androgens,gland secretion,horm,ortf,1,AFFECTS_HORMafctORTF
C0002844,C0301872,AFFECTS,Androgens,Immune response,horm,ortf,4,AFFECTS_HORMafctORTF
C0010961,C0596204,AFFECTS,Danazol,bone metabolism,horm,ortf,2,AFFECTS_HORMafctORTF
C0011185,C1817756,AFFECTS,prasterone,Immune System Processes,horm,ortf,1,AFFECTS_HORMafctORTF
C0012471,C0010096,AFFECTS,Dinoprost,Luteolysis,horm,ortf,1,AFFECTS_HORMafctORTF
C0012471,C0029965,AFFECTS,Dinoprost,Ovulation,horm,ortf,1,AFFECTS_HORMafctORTF
C0012472,C0042401,AFFECTS,Dinoprostone,Vasodilation,horm,ortf,1,AFFECTS_HORMafctORTF
C0012472,C0162337,AFFECTS,Dinoprostone,Vascular Permeability,horm,ortf,1,AFFECTS_HORMafctORTF
C0012472,C0301872,AFFECTS,Dinoprostone,Immune response,horm,ortf,2,AFFECTS_HORMafctORTF
C0012472,C0302600,AFFECTS,Dinoprostone,Angiogenic Process,horm,ortf,1,AFFECTS_HORMafctORTF
C0012472,C0596138,AFFECTS,Dinoprostone,autocrine,horm,ortf,2,AFFECTS_HORMafctORTF
C0014563,C0007227,AFFECTS,Epinephrine,Cardiovascular Physiological Phenomena,horm,ortf,1,AFFECTS_HORMafctORTF
C0014563,C0023773,AFFECTS,Epinephrine,Lipid Mobilization,horm,ortf,1,AFFECTS_HORMafctORTF
C0014939,C0021838,AFFECTS,Estrogens,Intestinal Motility,horm,ortf,1,AFFECTS_HORMafctORTF
C0014939,C0029965,AFFECTS,Estrogens,Ovulation,horm,ortf,1,AFFECTS_HORMafctORTF
C0014939,C0231921,AFFECTS,Estrogens,Pulmonary function,horm,ortf,1,AFFECTS_HORMafctORTF
C0014939,C0237858,AFFECTS,Estrogens,gland secretion,horm,ortf,1,AFFECTS_HORMafctORTF
C0014939,C0301872,AFFECTS,Estrogens,Immune response,horm,ortf,4,AFFECTS_HORMafctORTF
C0014939,C0596984,AFFECTS,Estrogens,muscle metabolism,horm,ortf,1,AFFECTS_HORMafctORTF
