cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0220781,AFFECTS,Alkalies,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0002371,C0003261,AFFECTS,Aluminum Hydroxide,Antibody Formation,inch,biof,3,AFFECTS_INCHafctBIOF
C0002607,C2936397,AFFECTS,Ammonia,Nitrogen Cycle,inch,biof,1,AFFECTS_INCHafctBIOF
C0006222,C0220781,AFFECTS,Bromides,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0007027,C0019868,AFFECTS,Carbonic Acid,Homeostasis,inch,biof,1,AFFECTS_INCHafctBIOF
C0008203,C1537068,AFFECTS,Chlorides,Virus Internalization,inch,biof,1,AFFECTS_INCHafctBIOF
C0013832,C0019868,AFFECTS,Electrolytes,Homeostasis,inch,biof,1,AFFECTS_INCHafctBIOF
C0016327,C4277607,AFFECTS,Fluorides,"Immunogenicity, Vaccine",inch,biof,1,AFFECTS_INCHafctBIOF
C0020281,C0220781,AFFECTS,Hydrogen Peroxide,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0020746,C0220781,AFFECTS,Ice,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0021966,C0220781,AFFECTS,Iodides,Anabolism,inch,biof,2,AFFECTS_INCHafctBIOF
C0025552,C0019868,AFFECTS,Metals,Homeostasis,inch,biof,1,AFFECTS_INCHafctBIOF
C0025552,C0220781,AFFECTS,Metals,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0025552,C3714634,AFFECTS,Metals,Biological Processes,inch,biof,1,AFFECTS_INCHafctBIOF
C0036085,C0220781,AFFECTS,"Saline Solution, Hypertonic",Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0043047,C0019868,AFFECTS,Water,Homeostasis,inch,biof,1,AFFECTS_INCHafctBIOF
C0043047,C0220781,AFFECTS,Water,Anabolism,inch,biof,3,AFFECTS_INCHafctBIOF
C0043047,C0232478,AFFECTS,Water,Ingestion,inch,biof,1,AFFECTS_INCHafctBIOF
C0043047,C0282629,AFFECTS,Water,Virus Assembly,inch,biof,1,AFFECTS_INCHafctBIOF
C0043491,C0003261,AFFECTS,Zinc Oxide,Antibody Formation,inch,biof,1,AFFECTS_INCHafctBIOF
C0071767,C0220781,AFFECTS,Potassium Hydroxide,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0074748,C0220781,AFFECTS,sodium nitrate,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0122723,C0220781,AFFECTS,hydrazine hydrate,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0589329,C0220781,AFFECTS,copper(II) nitrate,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0729394,C0220781,AFFECTS,Silica dust,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
C0772313,C0220781,AFFECTS,colloidal silver,Anabolism,inch,biof,1,AFFECTS_INCHafctBIOF
