cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002607,C0037284,AFFECTS,Ammonia,Skin lesion,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0002607,C0220994,AFFECTS,Ammonia,Hyperammonemia,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0002615,C0035235,AFFECTS,Ammonium Chloride,Respiratory Syncytial Virus Infections,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0002615,C0276289,AFFECTS,Ammonium Chloride,Zika Virus Infection,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0008203,C0014335,AFFECTS,Chlorides,Enteritis,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0008203,C3687385,AFFECTS,Chlorides,Intestinal ileus,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0013832,C0011175,AFFECTS,Electrolytes,Dehydration,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0013832,C0036992,AFFECTS,Electrolytes,Short Bowel Syndrome,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0016327,C0023529,AFFECTS,Fluorides,"Leukomalacia, Periventricular",inch,dsyn,1,AFFECTS_INCHafctDSYN
C0020281,C0206750,AFFECTS,Hydrogen Peroxide,Coronavirus Infections,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0020362,C0155685,AFFECTS,Hydroxylamine,Acute bacterial endocarditis,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0021966,C0018021,AFFECTS,Iodides,Goiter,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0021966,C0033860,AFFECTS,Iodides,Psoriasis,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0043047,C0008354,AFFECTS,Water,Cholera,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0043047,C0009450,AFFECTS,Water,Communicable Diseases,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0043047,C0011175,AFFECTS,Water,Dehydration,inch,dsyn,2,AFFECTS_INCHafctDSYN
C0043047,C0041582,AFFECTS,Water,Ulcer,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0043047,C0206750,AFFECTS,Water,Coronavirus Infections,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0062185,C0001883,AFFECTS,heliox,Airway Obstruction,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0062185,C0010340,AFFECTS,heliox,Critical Illness,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0064990,C0010418,AFFECTS,Calcium oxide,Cryptosporidiosis,inch,dsyn,2,AFFECTS_INCHafctDSYN
C0065088,C0027765,AFFECTS,Lithium Chloride,nervous system disorder,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0351669,C0009443,AFFECTS,Zinc salts,Common Cold,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0445115,C0035078,AFFECTS,Normal saline,Kidney Failure,inch,dsyn,1,AFFECTS_INCHafctDSYN
C0596917,C0042769,AFFECTS,metal oxide,Virus Diseases,inch,dsyn,1,AFFECTS_INCHafctDSYN
C2350022,C0002390,AFFECTS,Water Vapor,Extrinsic allergic alveolitis,inch,dsyn,1,AFFECTS_INCHafctDSYN
C3536832,C0035243,AFFECTS,Air,Respiratory Tract Infections,inch,dsyn,1,AFFECTS_INCHafctDSYN
C3536832,C0205721,AFFECTS,Air,"Infections, Hospital",inch,dsyn,1,AFFECTS_INCHafctDSYN
C3536832,C1854664,AFFECTS,Air,LETHAL CONGENITAL CONTRACTURE SYNDROME 1,inch,dsyn,1,AFFECTS_INCHafctDSYN
