cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003125,C0015674,AFFECTS,Anorexia Nervosa,Chronic Fatigue Syndrome,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0003467,C0024117,AFFECTS,Anxiety,Chronic Obstructive Airway Disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0003467,C0264408,AFFECTS,Anxiety,Childhood asthma,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0003467,C0948089,AFFECTS,Anxiety,Acute Coronary Syndrome,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0003467,C1175175,AFFECTS,Anxiety,Severe Acute Respiratory Syndrome,mobd,dsyn,2,AFFECTS_MOBDafctDSYN
C0003467,C1855229,AFFECTS,Anxiety,"Spondylometaphyseal dysplasia, Sedaghatian type",mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0004936,C0007222,AFFECTS,Mental disorders,Cardiovascular Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0004936,C4505065,AFFECTS,Mental disorders,Noncommunicable Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0009676,C0206750,AFFECTS,Confusion,Coronavirus Infections,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0009676,C0235840,AFFECTS,Confusion,Neonatal diarrhea,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0009676,C4505065,AFFECTS,Confusion,Noncommunicable Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0011206,C0262405,AFFECTS,Delirium,Cerebral dysfunction,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0011570,C0020625,AFFECTS,Mental Depression,Hyponatremia,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0011581,C0002395,AFFECTS,Depressive disorder,Alzheimer's Disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0011581,C0004096,AFFECTS,Depressive disorder,Asthma,mobd,dsyn,3,AFFECTS_MOBDafctDSYN
C0011581,C0028754,AFFECTS,Depressive disorder,Obesity,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0011581,C1175175,AFFECTS,Depressive disorder,Severe Acute Respiratory Syndrome,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0011581,C1855229,AFFECTS,Depressive disorder,"Spondylometaphyseal dysplasia, Sedaghatian type",mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0024809,C1836438,AFFECTS,Marijuana Abuse,Familial neurocardiogenic syncope,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0038436,C0272302,AFFECTS,Post-Traumatic Stress Disorder,Gray Platelet Syndrome,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0038443,C0008679,AFFECTS,"Stress, Psychological",Chronic disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0038443,C0009443,AFFECTS,"Stress, Psychological",Common Cold,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0038443,C0035204,AFFECTS,"Stress, Psychological",Respiration Disorders,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0038443,C0555971,AFFECTS,"Stress, Psychological",Oral infection,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0038443,C0729531,AFFECTS,"Stress, Psychological",Viral respiratory infection,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0041696,C0015674,AFFECTS,Unipolar Depression,Chronic Fatigue Syndrome,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0042693,C0009450,AFFECTS,Violence,Communicable Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0085628,C0740690,AFFECTS,Stupor,Multiple abscesses,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0085628,C1299888,AFFECTS,Stupor,Laminitis,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0085762,C0019693,AFFECTS,Alcohol abuse,HIV Infections,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0085762,C0041327,AFFECTS,Alcohol abuse,"Tuberculosis, Pulmonary",mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0086181,C0041296,AFFECTS,Intravenous Drug Abuse,Tuberculosis,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0206073,C0007222,AFFECTS,Domestic Violence,Cardiovascular Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233494,C0009450,AFFECTS,Tension,Communicable Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233494,C0271561,AFFECTS,Tension,Somatotropin deficiency,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233514,C0009450,AFFECTS,Abnormal behavior,Communicable Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233514,C3534575,AFFECTS,Abnormal behavior,Animal Health,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233532,C0042769,AFFECTS,Maladaptive behavior associated with physical illness,Virus Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233577,C0004364,AFFECTS,Mimicry,Autoimmune Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233577,C0027059,AFFECTS,Mimicry,Myocarditis,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233577,C0041234,AFFECTS,Mimicry,Chagas Disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0233795,C0700323,AFFECTS,"Amnesia, Anterograde",Observation of Neuromuscular Block,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0234985,C0009421,AFFECTS,Mental deterioration,Comatose,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0242510,C0554628,AFFECTS,Drug usage,Group A Streptococcal Infections,mobd,dsyn,2,AFFECTS_MOBDafctDSYN
C0338656,C0524851,AFFECTS,Impaired cognition,Neurodegenerative Disorders,mobd,dsyn,2,AFFECTS_MOBDafctDSYN
C0376338,C1175175,AFFECTS,"Diagnosis, Psychiatric",Severe Acute Respiratory Syndrome,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0424295,C0019151,AFFECTS,Hyperactive behavior,Hepatic Encephalopathy,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0424295,C0021364,AFFECTS,Hyperactive behavior,Male infertility,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0497327,C0002395,AFFECTS,Dementia,Alzheimer's Disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0497327,C1285162,AFFECTS,Dementia,Degenerative disorder,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0858952,C0019693,AFFECTS,silence,HIV Infections,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0858952,C0042769,AFFECTS,silence,Virus Diseases,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0858952,C1264606,AFFECTS,silence,Persistent infection,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0858952,C4288963,AFFECTS,silence,Hepatitis C Virus Infection,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0871388,C0002726,AFFECTS,social stress,Amyloidosis,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0871388,C0275518,AFFECTS,social stress,Acute infectious disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0871388,C0343752,AFFECTS,social stress,Acute HIV infection,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0935572,C0011175,AFFECTS,Stalking (behavior),Dehydration,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C0935572,C0034067,AFFECTS,Stalking (behavior),Pulmonary Emphysema,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C1522520,C0277548,AFFECTS,Adaptation reaction,Epidemic disease,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C2748208,C0010340,AFFECTS,Executive dysfunction,Critical Illness,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
C4042834,C3534575,AFFECTS,Compassion Fatigue,Animal Health,mobd,dsyn,1,AFFECTS_MOBDafctDSYN
