cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003467,C0005615,AFFECTS,Anxiety,Birth,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0003467,C0037313,AFFECTS,Anxiety,Sleep,mobd,orgf,2,AFFECTS_MOBDafctORGF
C0003467,C2584321,AFFECTS,Anxiety,Reaching,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0004352,C0001811,AFFECTS,Autistic Disorder,Aging,mobd,orgf,2,AFFECTS_MOBDafctORGF
C0004936,C0011065,AFFECTS,Mental disorders,Cessation of life,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0009676,C0001811,AFFECTS,Confusion,Aging,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0011581,C0021144,AFFECTS,Depressive disorder,Inbreeding,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0021122,C0678723,AFFECTS,"Disruptive, Impulse Control, and Conduct Disorders",Biologic Development,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0024809,C0000934,AFFECTS,Marijuana Abuse,Acclimatization,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0036341,C0014653,AFFECTS,Schizophrenia,Equilibrium,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0038436,C0037313,AFFECTS,Post-Traumatic Stress Disorder,Sleep,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0038441,C0043240,AFFECTS,"Stress Disorders, Traumatic",Wound Healing,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0086168,C0678723,AFFECTS,Dissociation,Biologic Development,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233494,C0018270,AFFECTS,Tension,Growth,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233514,C0025519,AFFECTS,Abnormal behavior,Metabolism,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233514,C0035150,AFFECTS,Abnormal behavior,Reproduction,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233514,C0220843,AFFECTS,Abnormal behavior,grasp,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233514,C0950151,AFFECTS,Abnormal behavior,Estrous Cycle,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233622,C0011065,AFFECTS,Ritual compulsion,Cessation of life,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0233697,C0011065,AFFECTS,Obsessions,Cessation of life,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0281875,C0009253,AFFECTS,Illicit medication use,Coitus,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0338656,C0003618,AFFECTS,Impaired cognition,Desire for food,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0338656,C0037313,AFFECTS,Impaired cognition,Sleep,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0497327,C0001811,AFFECTS,Dementia,Aging,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0497327,C0011065,AFFECTS,Dementia,Cessation of life,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0598853,C0011065,AFFECTS,forgetting,Cessation of life,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0677660,C0011065,AFFECTS,Emotional problems,Cessation of life,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0854193,C0870921,AFFECTS,Cognitive deterioration,motor performance,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0858952,C0005615,AFFECTS,silence,Birth,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0858952,C0018270,AFFECTS,silence,Growth,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0858952,C0020967,AFFECTS,silence,Humoral Immunity,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0858952,C0678723,AFFECTS,silence,Biologic Development,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0871388,C0008071,AFFECTS,social stress,Child Development,mobd,orgf,1,AFFECTS_MOBDafctORGF
C0871388,C0037313,AFFECTS,social stress,Sleep,mobd,orgf,1,AFFECTS_MOBDafctORGF
