cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010711,C0023470,AFFECTS,Cytarabine,Myeloid Leukemia,nnon,neop,1,AFFECTS_NNONafctNEOP
C0012476,C0027651,AFFECTS,Dinucleoside Phosphates,Neoplasms,nnon,neop,1,AFFECTS_NNONafctNEOP
C0017066,C0036220,AFFECTS,Ganciclovir,Kaposi Sarcoma,nnon,neop,1,AFFECTS_NNONafctNEOP
C0033755,C0024299,AFFECTS,Proviruses,Lymphoma,nnon,neop,1,AFFECTS_NNONafctNEOP
C0059985,C0920571,AFFECTS,fludarabine,lymphatic cancer,nnon,neop,1,AFFECTS_NNONafctNEOP
C0118305,C0006826,AFFECTS,FTC-092,Malignant Neoplasms,nnon,neop,1,AFFECTS_NNONafctNEOP
C0286079,C0036220,AFFECTS,Cidofovir,Kaposi Sarcoma,nnon,neop,1,AFFECTS_NNONafctNEOP
C0540529,C0598766,AFFECTS,Epstein-Barr virus encoded RNA 2,Leukemogenesis,nnon,neop,1,AFFECTS_NNONafctNEOP
C0600500,C0598934,AFFECTS,Peptide Nucleic Acids,tumor growth,nnon,neop,1,AFFECTS_NNONafctNEOP
C0887909,C0002793,AFFECTS,"RNA, Untranslated",Anaplasia,nnon,neop,1,AFFECTS_NNONafctNEOP
C0887909,C0598766,AFFECTS,"RNA, Untranslated",Leukemogenesis,nnon,neop,1,AFFECTS_NNONafctNEOP
C0887909,C2239176,AFFECTS,"RNA, Untranslated",Liver carcinoma,nnon,neop,1,AFFECTS_NNONafctNEOP
C0914671,C0006826,AFFECTS,CPG-ODN,Malignant Neoplasms,nnon,neop,2,AFFECTS_NNONafctNEOP
C0914671,C0027651,AFFECTS,CPG-ODN,Neoplasms,nnon,neop,1,AFFECTS_NNONafctNEOP
C1510800,C0027651,AFFECTS,Adenoviral Vector,Neoplasms,nnon,neop,1,AFFECTS_NNONafctNEOP
C2930586,C0027651,AFFECTS,Short Hairpin RNA,Neoplasms,nnon,neop,1,AFFECTS_NNONafctNEOP
C2930586,C0598934,AFFECTS,Short Hairpin RNA,tumor growth,nnon,neop,1,AFFECTS_NNONafctNEOP
C2930586,C2939419,AFFECTS,Short Hairpin RNA,Secondary Neoplasm,nnon,neop,1,AFFECTS_NNONafctNEOP
C2982391,C0006826,AFFECTS,Long Intergenic Non-Protein Coding RNA,Malignant Neoplasms,nnon,neop,4,AFFECTS_NNONafctNEOP
C2982391,C0346210,AFFECTS,Long Intergenic Non-Protein Coding RNA,Vulval intraepithelial neoplasia,nnon,neop,1,AFFECTS_NNONafctNEOP
C2982391,C0596263,AFFECTS,Long Intergenic Non-Protein Coding RNA,Carcinogenesis,nnon,neop,1,AFFECTS_NNONafctNEOP
C2982391,C0598935,AFFECTS,Long Intergenic Non-Protein Coding RNA,Tumor Initiation,nnon,neop,1,AFFECTS_NNONafctNEOP
C2982391,C1335302,AFFECTS,Long Intergenic Non-Protein Coding RNA,Pancreatic Ductal Adenocarcinoma,nnon,neop,1,AFFECTS_NNONafctNEOP
C3828339,C0027651,AFFECTS,Replication Competent Retrovirus,Neoplasms,nnon,neop,1,AFFECTS_NNONafctNEOP
C3830308,C0007621,AFFECTS,Epstein-Barr Virus Early RNA,Neoplastic Cell Transformation,nnon,neop,1,AFFECTS_NNONafctNEOP
