cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004178,C0220781,AFFECTS,"Atmosphere, planetary",Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0005495,C0220781,AFFECTS,Origin of Life,Anabolism,npop,biof,2,AFFECTS_NPOPafctBIOF
C0010546,C0220781,AFFECTS,Cyclization,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0011682,C0242735,AFFECTS,Desiccation,Germination,npop,biof,1,AFFECTS_NPOPafctBIOF
C0013140,C0220781,AFFECTS,Droughts,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0013777,C0220781,AFFECTS,Electric Conductivity,Anabolism,npop,biof,2,AFFECTS_NPOPafctBIOF
C0013790,C0220781,AFFECTS,Electricity,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0017982,C0042765,AFFECTS,glycosylation,Virulence,npop,biof,5,AFFECTS_NPOPafctBIOF
C0017982,C0220781,AFFECTS,glycosylation,Anabolism,npop,biof,3,AFFECTS_NPOPafctBIOF
C0017982,C1160638,AFFECTS,glycosylation,Viral life cycle,npop,biof,1,AFFECTS_NPOPafctBIOF
C0017982,C1537068,AFFECTS,glycosylation,Virus Internalization,npop,biof,4,AFFECTS_NPOPafctBIOF
C0017982,C1721019,AFFECTS,glycosylation,Virus Attachment,npop,biof,3,AFFECTS_NPOPafctBIOF
C0017982,C1721020,AFFECTS,glycosylation,Virus Membrane Fusion,npop,biof,1,AFFECTS_NPOPafctBIOF
C0017982,C3714634,AFFECTS,glycosylation,Biological Processes,npop,biof,3,AFFECTS_NPOPafctBIOF
C0020286,C0220781,AFFECTS,Hydrogenation,Anabolism,npop,biof,1,AFFECTS_NPOPafctBIOF
C0020291,C0220781,AFFECTS,Hydrolysis,Anabolism,npop,biof,5,AFFECTS_NPOPafctBIOF
C0022203,C1537068,AFFECTS,Isomerism,Virus Internalization,npop,biof,1,AFFECTS_NPOPafctBIOF
C0022702,C0003261,AFFECTS,Kinetics,Antibody Formation,npop,biof,1,AFFECTS_NPOPafctBIOF
C0022702,C0019868,AFFECTS,Kinetics,Homeostasis,npop,biof,1,AFFECTS_NPOPafctBIOF
C0022702,C0042765,AFFECTS,Kinetics,Virulence,npop,biof,1,AFFECTS_NPOPafctBIOF
C0022702,C0220781,AFFECTS,Kinetics,Anabolism,npop,biof,2,AFFECTS_NPOPafctBIOF
