cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0030498,AFFECTS,Acclimatization,Parasites,orgf,euka,2,AFFECTS_ORGFafctEUKA
C0000934,C0323351,AFFECTS,Acclimatization,Apis mellifera,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0001811,C1031740,AFFECTS,Aging,Lethe,orgf,euka,2,AFFECTS_ORGFafctEUKA
C0006159,C0018893,AFFECTS,Breeding,Helminths,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0006159,C0026584,AFFECTS,Breeding,Culicidae,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0011065,C0030498,AFFECTS,Cessation of life,Parasites,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0012238,C1938044,AFFECTS,Digestion,Halys,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0014653,C1225105,AFFECTS,Equilibrium,Sia,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0015895,C0030498,AFFECTS,Fertility,Parasites,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0018270,C0030498,AFFECTS,Growth,Parasites,orgf,euka,2,AFFECTS_ORGFafctEUKA
C0018270,C1304606,AFFECTS,Growth,Shellfish,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0018270,C1665050,AFFECTS,Growth,Cricotopus bicinctus,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0020966,C0030498,AFFECTS,Cellular Immunity,Parasites,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0023946,C1006096,AFFECTS,Locomotion,Gerridae,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0025516,C1938044,AFFECTS,"Metabolic Detoxication, Drug",Halys,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0026649,C0018882,AFFECTS,Movement,Helix (Snails),orgf,euka,1,AFFECTS_ORGFafctEUKA
C0026649,C0021585,AFFECTS,Movement,Insecta,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0026649,C0600240,AFFECTS,Movement,Whiteflies,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0026649,C2625439,AFFECTS,Movement,Andes,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0030596,C0020415,AFFECTS,Parthenogenesis,Hymenoptera,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0043240,C1067936,AFFECTS,Wound Healing,Phasis,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0560560,C1067936,AFFECTS,Moving,Phasis,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0596433,C0013139,AFFECTS,Diapause,Drosophila melanogaster,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0598941,C1067936,AFFECTS,Biological Neural Networks,Phasis,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0699900,C0003562,AFFECTS,Catabolism,Aphids,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0699900,C0032699,AFFECTS,Catabolism,Porifera,orgf,euka,1,AFFECTS_ORGFafctEUKA
C0871354,C0030498,AFFECTS,sexual reproduction,Parasites,orgf,euka,1,AFFECTS_ORGFafctEUKA
C1327441,C0030498,AFFECTS,negative regulation of inflammatory response,Parasites,orgf,euka,1,AFFECTS_ORGFafctEUKA
C3658355,C0684063,AFFECTS,CRISPR-Cas Systems,Eukaryota,orgf,euka,1,AFFECTS_ORGFafctEUKA
