cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0020969,AFFECTS,Acclimatization,"Immunity, Innate",orgf,orga,2,AFFECTS_ORGFafctORGA
C0000934,C0085732,AFFECTS,Acclimatization,Ability,orgf,orga,5,AFFECTS_ORGFafctORGA
C0000934,C0599954,AFFECTS,Acclimatization,virus tropism,orgf,orga,1,AFFECTS_ORGFafctORGA
C0000934,C1136169,AFFECTS,Acclimatization,Pathogenicity,orgf,orga,2,AFFECTS_ORGFafctORGA
C0001811,C0020969,AFFECTS,Aging,"Immunity, Innate",orgf,orga,2,AFFECTS_ORGFafctORGA
C0001811,C0036866,AFFECTS,Aging,Sex Characteristics,orgf,orga,1,AFFECTS_ORGFafctORGA
C0001811,C0079399,AFFECTS,Aging,Gender,orgf,orga,1,AFFECTS_ORGFafctORGA
C0001811,C0085732,AFFECTS,Aging,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0001811,C0220898,AFFECTS,Aging,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0001811,C1136169,AFFECTS,Aging,Pathogenicity,orgf,orga,1,AFFECTS_ORGFafctORGA
C0004048,C0085732,AFFECTS,Inspiration function,Ability,orgf,orga,3,AFFECTS_ORGFafctORGA
C0004048,C0220898,AFFECTS,Inspiration function,Predisposition -- attribute,orgf,orga,2,AFFECTS_ORGFafctORGA
C0004048,C0597140,AFFECTS,Inspiration function,oral tolerance,orgf,orga,1,AFFECTS_ORGFafctORGA
C0005615,C0085732,AFFECTS,Birth,Ability,orgf,orga,2,AFFECTS_ORGFafctORGA
C0005615,C0220898,AFFECTS,Birth,Predisposition -- attribute,orgf,orga,3,AFFECTS_ORGFafctORGA
C0005615,C0314657,AFFECTS,Birth,Genetic Predisposition to Disease,orgf,orga,1,AFFECTS_ORGFafctORGA
C0005615,C0597140,AFFECTS,Birth,oral tolerance,orgf,orga,2,AFFECTS_ORGFafctORGA
C0006147,C0005901,AFFECTS,Breast Feeding,Body Size,orgf,orga,2,AFFECTS_ORGFafctORGA
C0006147,C0005910,AFFECTS,Breast Feeding,Body Weight,orgf,orga,1,AFFECTS_ORGFafctORGA
C0006147,C0220898,AFFECTS,Breast Feeding,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0006159,C0005612,AFFECTS,Breeding,Birth Weight,orgf,orga,2,AFFECTS_ORGFafctORGA
C0006159,C0005901,AFFECTS,Breeding,Body Size,orgf,orga,1,AFFECTS_ORGFafctORGA
C0006159,C0079399,AFFECTS,Breeding,Gender,orgf,orga,1,AFFECTS_ORGFafctORGA
C0006159,C0220898,AFFECTS,Breeding,Predisposition -- attribute,orgf,orga,3,AFFECTS_ORGFafctORGA
C0009253,C0079399,AFFECTS,Coitus,Gender,orgf,orga,1,AFFECTS_ORGFafctORGA
C0009253,C0086287,AFFECTS,Coitus,Females,orgf,orga,2,AFFECTS_ORGFafctORGA
C0009253,C0086582,AFFECTS,Coitus,Males,orgf,orga,1,AFFECTS_ORGFafctORGA
C0009253,C0220898,AFFECTS,Coitus,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0011065,C0019904,AFFECTS,Cessation of life,Homozygote,orgf,orga,1,AFFECTS_ORGFafctORGA
C0011065,C0085732,AFFECTS,Cessation of life,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0011065,C0086582,AFFECTS,Cessation of life,Males,orgf,orga,1,AFFECTS_ORGFafctORGA
C0011065,C0946401,AFFECTS,Cessation of life,ocular sphere,orgf,orga,1,AFFECTS_ORGFafctORGA
C0011065,C0949285,AFFECTS,Cessation of life,"Antibiotic Resistance, Microbial",orgf,orga,1,AFFECTS_ORGFafctORGA
C0011065,C2733260,AFFECTS,Cessation of life,Developmental age,orgf,orga,1,AFFECTS_ORGFafctORGA
C0013123,C0005903,AFFECTS,Water consumption,Body Temperature,orgf,orga,2,AFFECTS_ORGFafctORGA
C0013123,C0005910,AFFECTS,Water consumption,Body Weight,orgf,orga,1,AFFECTS_ORGFafctORGA
C0013470,C0007608,AFFECTS,Eating,cell motility,orgf,orga,1,AFFECTS_ORGFafctORGA
C0013470,C0085732,AFFECTS,Eating,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0013470,C3656665,AFFECTS,Eating,Body fat mass,orgf,orga,1,AFFECTS_ORGFafctORGA
C0013529,C0085732,AFFECTS,Echolocation,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0014653,C0020969,AFFECTS,Equilibrium,"Immunity, Innate",orgf,orga,1,AFFECTS_ORGFafctORGA
C0014653,C0085732,AFFECTS,Equilibrium,Ability,orgf,orga,2,AFFECTS_ORGFafctORGA
C0014653,C0162657,AFFECTS,Equilibrium,Cell Shape,orgf,orga,1,AFFECTS_ORGFafctORGA
C0014653,C0220898,AFFECTS,Equilibrium,Predisposition -- attribute,orgf,orga,2,AFFECTS_ORGFafctORGA
C0014653,C0949285,AFFECTS,Equilibrium,"Antibiotic Resistance, Microbial",orgf,orga,1,AFFECTS_ORGFafctORGA
C0014653,C1136169,AFFECTS,Equilibrium,Pathogenicity,orgf,orga,1,AFFECTS_ORGFafctORGA
C0018270,C0005903,AFFECTS,Growth,Body Temperature,orgf,orga,1,AFFECTS_ORGFafctORGA
C0018270,C0020969,AFFECTS,Growth,"Immunity, Innate",orgf,orga,1,AFFECTS_ORGFafctORGA
C0018270,C0085732,AFFECTS,Growth,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0019516,C0005903,AFFECTS,Hibernation,Body Temperature,orgf,orga,1,AFFECTS_ORGFafctORGA
C0020966,C0085732,AFFECTS,Cellular Immunity,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0020967,C0036866,AFFECTS,Humoral Immunity,Sex Characteristics,orgf,orga,1,AFFECTS_ORGFafctORGA
C0020967,C0220898,AFFECTS,Humoral Immunity,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0021080,C0020969,AFFECTS,Natural immunosuppression,"Immunity, Innate",orgf,orga,1,AFFECTS_ORGFafctORGA
C0021080,C0086287,AFFECTS,Natural immunosuppression,Females,orgf,orga,1,AFFECTS_ORGFafctORGA
C0025329,C0220898,AFFECTS,Menstrual cycle,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0025519,C0005903,AFFECTS,Metabolism,Body Temperature,orgf,orga,1,AFFECTS_ORGFafctORGA
C0025519,C0020969,AFFECTS,Metabolism,"Immunity, Innate",orgf,orga,2,AFFECTS_ORGFafctORGA
C0025519,C0220898,AFFECTS,Metabolism,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0025519,C0314657,AFFECTS,Metabolism,Genetic Predisposition to Disease,orgf,orga,1,AFFECTS_ORGFafctORGA
C0026649,C0007608,AFFECTS,Movement,cell motility,orgf,orga,1,AFFECTS_ORGFafctORGA
C0026649,C0036866,AFFECTS,Movement,Sex Characteristics,orgf,orga,1,AFFECTS_ORGFafctORGA
C0026649,C0085732,AFFECTS,Movement,Ability,orgf,orga,2,AFFECTS_ORGFafctORGA
C0032961,C0005612,AFFECTS,Pregnancy,Birth Weight,orgf,orga,2,AFFECTS_ORGFafctORGA
C0032961,C0005903,AFFECTS,Pregnancy,Body Temperature,orgf,orga,1,AFFECTS_ORGFafctORGA
C0032961,C0037294,AFFECTS,Pregnancy,Skin Temperature,orgf,orga,1,AFFECTS_ORGFafctORGA
C0032961,C0518035,AFFECTS,Pregnancy,growth (children),orgf,orga,1,AFFECTS_ORGFafctORGA
C0032961,C1113661,AFFECTS,Pregnancy,brain shape,orgf,orga,1,AFFECTS_ORGFafctORGA
C0037313,C0005903,AFFECTS,Sleep,Body Temperature,orgf,orga,2,AFFECTS_ORGFafctORGA
C0037313,C0946401,AFFECTS,Sleep,ocular sphere,orgf,orga,1,AFFECTS_ORGFafctORGA
C0037361,C0036866,AFFECTS,Smell Perception,Sex Characteristics,orgf,orga,1,AFFECTS_ORGFafctORGA
C0037361,C0086287,AFFECTS,Smell Perception,Females,orgf,orga,2,AFFECTS_ORGFafctORGA
C0037817,C0020969,AFFECTS,Speech,"Immunity, Innate",orgf,orga,1,AFFECTS_ORGFafctORGA
C0231800,C0220898,AFFECTS,"Expiration, function",Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0233324,C0017504,AFFECTS,Term Birth,Gestational Age,orgf,orga,1,AFFECTS_ORGFafctORGA
C0282576,C0029218,AFFECTS,Molting,Organ Weight,orgf,orga,1,AFFECTS_ORGFafctORGA
C0333953,C0220898,AFFECTS,Involution,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0596935,C0020969,AFFECTS,Microbial Interactions,"Immunity, Innate",orgf,orga,1,AFFECTS_ORGFafctORGA
C0596935,C1136169,AFFECTS,Microbial Interactions,Pathogenicity,orgf,orga,1,AFFECTS_ORGFafctORGA
C0597987,C0086287,AFFECTS,energy balance,Females,orgf,orga,1,AFFECTS_ORGFafctORGA
C0598016,C0020969,AFFECTS,hatching,"Immunity, Innate",orgf,orga,1,AFFECTS_ORGFafctORGA
C0678723,C0085732,AFFECTS,Biologic Development,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
C0678723,C0162657,AFFECTS,Biologic Development,Cell Shape,orgf,orga,1,AFFECTS_ORGFafctORGA
C0678723,C0220898,AFFECTS,Biologic Development,Predisposition -- attribute,orgf,orga,1,AFFECTS_ORGFafctORGA
C0678723,C1136169,AFFECTS,Biologic Development,Pathogenicity,orgf,orga,1,AFFECTS_ORGFafctORGA
C0699900,C0007608,AFFECTS,Catabolism,cell motility,orgf,orga,1,AFFECTS_ORGFafctORGA
C0699900,C0020969,AFFECTS,Catabolism,"Immunity, Innate",orgf,orga,3,AFFECTS_ORGFafctORGA
C0699900,C0085732,AFFECTS,Catabolism,Ability,orgf,orga,1,AFFECTS_ORGFafctORGA
