cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0005615,AFFECTS,Acclimatization,Birth,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0000934,C0025519,AFFECTS,Acclimatization,Metabolism,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0000934,C0039478,AFFECTS,Acclimatization,Thermosensing,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0000934,C1327413,AFFECTS,Acclimatization,cytokine production,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0001811,C0037313,AFFECTS,Aging,Sleep,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0001811,C0037361,AFFECTS,Aging,Smell Perception,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0001811,C0042789,AFFECTS,Aging,Vision,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0003618,C0597987,AFFECTS,Desire for food,energy balance,orgf,orgf,2,AFFECTS_ORGFafctORGF
C0004048,C0005615,AFFECTS,Inspiration function,Birth,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0004048,C0037313,AFFECTS,Inspiration function,Sleep,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0011065,AFFECTS,Birth,Cessation of life,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0014948,AFFECTS,Birth,Estrus,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0018270,AFFECTS,Birth,Growth,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0026649,AFFECTS,Birth,Movement,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0032961,AFFECTS,Birth,Pregnancy,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0035150,AFFECTS,Birth,Reproduction,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C0678723,AFFECTS,Birth,Biologic Development,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C1160185,AFFECTS,Birth,transduction,orgf,orgf,1,AFFECTS_ORGFafctORGF
C0005615,C1510470,AFFECTS,Birth,Motility,orgf,orgf,1,AFFECTS_ORGFafctORGF
