cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004372,C0333712,AFFECTS,Autolysis,Chromatolysis,patf,comd,1,AFFECTS_PATFafctCOMD
C0011164,C0162735,AFFECTS,Abnormal degeneration,Point Mutation,patf,comd,1,AFFECTS_PATFafctCOMD
C0015376,C0599732,AFFECTS,Extravasation,cell injury,patf,comd,1,AFFECTS_PATFafctCOMD
C0016059,C0025570,AFFECTS,Fibrosis,Squamous metaplasia,patf,comd,1,AFFECTS_PATFafctCOMD
C0016059,C0333961,AFFECTS,Fibrosis,Secondary hypertrophy,patf,comd,1,AFFECTS_PATFafctCOMD
C0016059,C1516373,AFFECTS,Fibrosis,Cellular Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C0020564,C1516373,AFFECTS,Hypertrophy,Cellular Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C0021368,C0242606,AFFECTS,Inflammation,Oxidative Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C0021368,C0596402,AFFECTS,Inflammation,cytotoxicity,patf,comd,2,AFFECTS_PATFafctCOMD
C0021368,C0599732,AFFECTS,Inflammation,cell injury,patf,comd,2,AFFECTS_PATFafctCOMD
C0021376,C0025570,AFFECTS,Chronic inflammation,Squamous metaplasia,patf,comd,1,AFFECTS_PATFafctCOMD
C0021655,C0242606,AFFECTS,Insulin Resistance,Oxidative Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C0032914,C0242606,AFFECTS,Pre-Eclampsia,Oxidative Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C0268000,C0242606,AFFECTS,Body fluid retention,Oxidative Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C0332448,C0027746,AFFECTS,Infiltration,Nerve Degeneration,patf,comd,1,AFFECTS_PATFafctCOMD
C0332448,C0392769,AFFECTS,Infiltration,Patch formation,patf,comd,1,AFFECTS_PATFafctCOMD
C0333138,C0025568,AFFECTS,Stasis,Metaplasia,patf,comd,1,AFFECTS_PATFafctCOMD
C0333586,C0599732,AFFECTS,Complement deposit,cell injury,patf,comd,2,AFFECTS_PATFafctCOMD
C0333641,C0333961,AFFECTS,Atrophic,Secondary hypertrophy,patf,comd,1,AFFECTS_PATFafctCOMD
C0334094,C0012860,AFFECTS,Proliferation (morphologic abnormality),DNA Damage,patf,comd,1,AFFECTS_PATFafctCOMD
C1096176,C3178870,AFFECTS,mitochondrial toxicity,Endoplasmic Reticulum Stress,patf,comd,1,AFFECTS_PATFafctCOMD
C1155266,C0596402,AFFECTS,inflammatory response,cytotoxicity,patf,comd,1,AFFECTS_PATFafctCOMD
C1155266,C0920672,AFFECTS,inflammatory response,virus pathogenesis,patf,comd,2,AFFECTS_PATFafctCOMD
C2717792,C0025568,AFFECTS,Airway Remodeling,Metaplasia,patf,comd,1,AFFECTS_PATFafctCOMD
C3714514,C0025570,AFFECTS,Infection,Squamous metaplasia,patf,comd,1,AFFECTS_PATFafctCOMD
