cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000786,C0016215,AFFECTS,Spontaneous abortion,Flavivirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0000786,C0085391,AFFECTS,Spontaneous abortion,Reassortant Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0001511,C0042776,AFFECTS,Tissue Adhesions,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0003130,C0019185,AFFECTS,Anoxia,Murine hepatitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0004366,C0318356,AFFECTS,Autoimmune Response,Human virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0010356,C0597404,AFFECTS,Cross Infection,Respiratory viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0010356,C0598902,AFFECTS,Cross Infection,murine nodule inducing virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0010356,C1175743,AFFECTS,Cross Infection,SARS coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0011071,C0014080,AFFECTS,Sudden death,Encephalomyocarditis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0011071,C0086971,AFFECTS,Sudden death,Seoul virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0011304,C0014644,AFFECTS,Demyelination,Epstein-Barr Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0011304,C0042776,AFFECTS,Demyelination,Virus,patf,virs,8,AFFECTS_PATFafctVIRS
C0015376,C0029347,AFFECTS,Extravasation,Influenza A virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0016059,C1175743,AFFECTS,Fibrosis,SARS coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0018273,C1050028,AFFECTS,Growth Disorders,Avian nephritis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0019080,C0042776,AFFECTS,Hemorrhage,Virus,patf,virs,2,AFFECTS_PATFafctVIRS
C0020517,C0001483,AFFECTS,Hypersensitivity,Adenoviruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0014644,AFFECTS,Hypersensitivity,Epstein-Barr Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0019704,AFFECTS,Hypersensitivity,HIV-1,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0028586,AFFECTS,Hypersensitivity,Nucleopolyhedrovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0035236,AFFECTS,Hypersensitivity,Respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0035473,AFFECTS,Hypersensitivity,Rhinovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0042776,AFFECTS,Hypersensitivity,Virus,patf,virs,7,AFFECTS_PATFafctVIRS
C0020517,C0079005,AFFECTS,Hypersensitivity,Baculoviridae,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0085305,AFFECTS,Hypersensitivity,Feline infectious peritonitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C0206545,AFFECTS,Hypersensitivity,Human respiratory syncytial virus,patf,virs,2,AFFECTS_PATFafctVIRS
C0020517,C0949920,AFFECTS,Hypersensitivity,Norovirus,patf,virs,2,AFFECTS_PATFafctVIRS
C0020517,C0949945,AFFECTS,Hypersensitivity,Foot-and-Mouth Disease Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0020517,C1175743,AFFECTS,Hypersensitivity,SARS coronavirus,patf,virs,3,AFFECTS_PATFafctVIRS
C0020542,C0019682,AFFECTS,Pulmonary Hypertension,HIV,patf,virs,1,AFFECTS_PATFafctVIRS
C0020963,C0024267,AFFECTS,Immune Tolerance,Lymphocytic choriomeningitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0021368,C0014644,AFFECTS,Inflammation,Epstein-Barr Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0021368,C0019186,AFFECTS,Inflammation,Hepatitis Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0021368,C0019682,AFFECTS,Inflammation,HIV,patf,virs,1,AFFECTS_PATFafctVIRS
C0021368,C0029347,AFFECTS,Inflammation,Influenza A virus,patf,virs,2,AFFECTS_PATFafctVIRS
C0021368,C0042338,AFFECTS,Inflammation,Human herpesvirus 3,patf,virs,2,AFFECTS_PATFafctVIRS
C0021368,C0042776,AFFECTS,Inflammation,Virus,patf,virs,3,AFFECTS_PATFafctVIRS
C0021368,C0206423,AFFECTS,Inflammation,"Coronavirus, Rat",patf,virs,1,AFFECTS_PATFafctVIRS
C0021368,C0318602,AFFECTS,Inflammation,Avian enteric calicivirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0021368,C0597404,AFFECTS,Inflammation,Respiratory viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0021376,C0019682,AFFECTS,Chronic inflammation,HIV,patf,virs,1,AFFECTS_PATFafctVIRS
C0021376,C0206545,AFFECTS,Chronic inflammation,Human respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0021376,C0220847,AFFECTS,Chronic inflammation,Hepatitis C virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0021655,C0220847,AFFECTS,Insulin Resistance,Hepatitis C virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0024348,C0001483,AFFECTS,Lysis,Adenoviruses,patf,virs,2,AFFECTS_PATFafctVIRS
C0024348,C0012923,AFFECTS,Lysis,DNA Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0024348,C0024267,AFFECTS,Lysis,Lymphocytic choriomeningitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0024348,C0035691,AFFECTS,Lysis,RNA Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0024348,C0042776,AFFECTS,Lysis,Virus,patf,virs,5,AFFECTS_PATFafctVIRS
C0024348,C0376526,AFFECTS,Lysis,human herpesvirus 8,patf,virs,1,AFFECTS_PATFafctVIRS
C0026766,C3698360,AFFECTS,Multiple Organ Failure,Middle East Respiratory Syndrome Coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0028778,C0042776,AFFECTS,Obstruction,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0030660,C0032556,AFFECTS,Pathologic Processes,Polyomavirus,patf,virs,2,AFFECTS_PATFafctVIRS
C0035410,C0042776,AFFECTS,Rhabdomyolysis,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0036679,C0042776,AFFECTS,Diastasis,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0036679,C2806447,AFFECTS,Diastasis,Alphacoronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0036974,C1175743,AFFECTS,Shock,SARS coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0036982,C0013480,AFFECTS,"Shock, Hemorrhagic",Ebola virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0036982,C0035691,AFFECTS,"Shock, Hemorrhagic",RNA Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0151686,C0042776,AFFECTS,Growth retardation,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0152254,C0220847,AFFECTS,Fatty degeneration,Hepatitis C virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0161818,C0029341,AFFECTS,Respiratory complication,Orthomyxoviridae,patf,virs,1,AFFECTS_PATFafctVIRS
C0161818,C0206419,AFFECTS,Respiratory complication,Genus: Coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0161818,C0206545,AFFECTS,Respiratory complication,Human respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0162633,C0004419,AFFECTS,Viral Shedding,Infectious bronchitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0162633,C0042776,AFFECTS,Viral Shedding,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0162633,C0597404,AFFECTS,Viral Shedding,Respiratory viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0162633,C0949920,AFFECTS,Viral Shedding,Norovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0235029,C0016215,AFFECTS,neurological complication,Flavivirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0235029,C0318793,AFFECTS,neurological complication,Zika Virus,patf,virs,4,AFFECTS_PATFafctVIRS
C0235063,C0035473,AFFECTS,Respiratory Depression,Rhinovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0242649,C0376536,AFFECTS,"Infectious Disease Transmission, Horizontal",Porcine respiratory and reproductive syndrome virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0242656,C0029347,AFFECTS,Disease Progression,Influenza A virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0242656,C0037224,AFFECTS,Disease Progression,Simian immunodeficiency virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0242656,C0042776,AFFECTS,Disease Progression,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0242781,C2986384,AFFECTS,disease transmission,Enveloped Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0242973,C0014383,AFFECTS,Ventricular Dysfunction,Enterovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0243083,C0206545,AFFECTS,associated disease,Human respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0281169,C0029341,AFFECTS,pulmonary complications,Orthomyxoviridae,patf,virs,1,AFFECTS_PATFafctVIRS
C0281169,C0042776,AFFECTS,pulmonary complications,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0282474,C0042776,AFFECTS,Maternal-Fetal Infection Transmission,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0332448,C0011315,AFFECTS,Infiltration,Dengue Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0332448,C0029345,AFFECTS,Infiltration,"Orthomyxovirus Type A, Porcine",patf,virs,1,AFFECTS_PATFafctVIRS
C0332448,C0042776,AFFECTS,Infiltration,Virus,patf,virs,5,AFFECTS_PATFafctVIRS
C0332448,C0206425,AFFECTS,Infiltration,"Encephalomyelitis Virus, Murine, Theiler",patf,virs,1,AFFECTS_PATFafctVIRS
C0332448,C1175743,AFFECTS,Infiltration,SARS coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333456,C0042776,AFFECTS,Primary demyelination,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0025011,AFFECTS,Cytopathic effect,Measles virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0026783,AFFECTS,Cytopathic effect,Mumps virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0027984,AFFECTS,Cytopathic effect,Newcastle disease virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0036638,AFFECTS,Cytopathic effect,Sendai virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0042776,AFFECTS,Cytopathic effect,Virus,patf,virs,5,AFFECTS_PATFafctVIRS
C0333467,C0206545,AFFECTS,Cytopathic effect,Human respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0318793,AFFECTS,Cytopathic effect,Zika Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0546788,AFFECTS,Cytopathic effect,Parainfluenza Virus 5,patf,virs,1,AFFECTS_PATFafctVIRS
C0333467,C0949934,AFFECTS,Cytopathic effect,"Parainfluenza Virus 4, Human",patf,virs,1,AFFECTS_PATFafctVIRS
C0334094,C0027984,AFFECTS,Proliferation (morphologic abnormality),Newcastle disease virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0349506,C0004651,AFFECTS,Photosensitivity of skin,Bacteriophages,patf,virs,1,AFFECTS_PATFafctVIRS
C0392707,C0042776,AFFECTS,Atopy,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0392707,C0206545,AFFECTS,Atopy,Human respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0432485,C0005670,AFFECTS,complication of transplant,BK Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0443146,C0019185,AFFECTS,Autoimmune reaction,Murine hepatitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0543419,C0019169,AFFECTS,Sequela of disorder,Hepatitis B Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0543419,C0206545,AFFECTS,Sequela of disorder,Human respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0599878,C0597404,AFFECTS,disease characteristic,Respiratory viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C0599878,C3698360,AFFECTS,disease characteristic,Middle East Respiratory Syndrome Coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C0854457,C0042776,AFFECTS,Direct disease transmission,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C0919661,C0004651,AFFECTS,alternation,Bacteriophages,patf,virs,1,AFFECTS_PATFafctVIRS
C0948496,C0042776,AFFECTS,abortion late,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C1155266,C0042776,AFFECTS,inflammatory response,Virus,patf,virs,3,AFFECTS_PATFafctVIRS
C1155266,C3698360,AFFECTS,inflammatory response,Middle East Respiratory Syndrome Coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C1373218,C0001483,AFFECTS,Decreased Immunologic Activity [PE],Adenoviruses,patf,virs,2,AFFECTS_PATFafctVIRS
C1373218,C0014644,AFFECTS,Decreased Immunologic Activity [PE],Epstein-Barr Virus,patf,virs,2,AFFECTS_PATFafctVIRS
C1373218,C0019682,AFFECTS,Decreased Immunologic Activity [PE],HIV,patf,virs,1,AFFECTS_PATFafctVIRS
C1373218,C0042776,AFFECTS,Decreased Immunologic Activity [PE],Virus,patf,virs,2,AFFECTS_PATFafctVIRS
C1373218,C0376526,AFFECTS,Decreased Immunologic Activity [PE],human herpesvirus 8,patf,virs,1,AFFECTS_PATFafctVIRS
C1373218,C0682458,AFFECTS,Decreased Immunologic Activity [PE],immunodeficiency virus,patf,virs,1,AFFECTS_PATFafctVIRS
C1373218,C1234164,AFFECTS,Decreased Immunologic Activity [PE],Anelloviridae,patf,virs,1,AFFECTS_PATFafctVIRS
C1510411,C0019186,AFFECTS,metaplastic cell transformation,Hepatitis Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C1520005,C0004419,AFFECTS,Viral Pathogenesis,Infectious bronchitis virus,patf,virs,1,AFFECTS_PATFafctVIRS
C1520005,C0042776,AFFECTS,Viral Pathogenesis,Virus,patf,virs,6,AFFECTS_PATFafctVIRS
C1520005,C0376526,AFFECTS,Viral Pathogenesis,human herpesvirus 8,patf,virs,1,AFFECTS_PATFafctVIRS
C1520005,C1265386,AFFECTS,Viral Pathogenesis,Porcine circovirus type II,patf,virs,1,AFFECTS_PATFafctVIRS
C1692321,C0042776,AFFECTS,Cellular infiltrate,Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C2699153,C0011315,AFFECTS,Cell Invasion,Dengue Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3658208,C0019682,AFFECTS,Dysbiosis,HIV,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0001483,AFFECTS,Infection,Adenoviruses,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0003725,AFFECTS,Infection,Arboviruses,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0004120,AFFECTS,Infection,Astrovirus,patf,virs,3,AFFECTS_PATFafctVIRS
C3714514,C0004420,AFFECTS,Infection,"Herpesvirus 1, Gallid",patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0008056,AFFECTS,Infection,Chikungunya virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0016215,AFFECTS,Infection,Flavivirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0019369,AFFECTS,Infection,Herpesviridae,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0019682,AFFECTS,Infection,HIV,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0021338,AFFECTS,Infection,Infectious bursal disease virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0027984,AFFECTS,Infection,Newcastle disease virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0029341,AFFECTS,Infection,Orthomyxoviridae,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0029343,AFFECTS,Infection,"Influenza A Virus, Avian",patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0029348,AFFECTS,Infection,Influenza B virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0035236,AFFECTS,Infection,Respiratory syncytial virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0035473,AFFECTS,Infection,Rhinovirus,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0035691,AFFECTS,Infection,RNA Viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0035870,AFFECTS,Infection,Rotavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0042338,AFFECTS,Infection,Human herpesvirus 3,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0042776,AFFECTS,Infection,Virus,patf,virs,35,AFFECTS_PATFafctVIRS
C3714514,C0079337,AFFECTS,Infection,Feline Immunodeficiency Virus,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0085294,AFFECTS,Infection,Hepatitis E virus,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0086776,AFFECTS,Infection,Parvovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0206419,AFFECTS,Infection,Genus: Coronavirus,patf,virs,4,AFFECTS_PATFafctVIRS
C3714514,C0206422,AFFECTS,Infection,Human coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0206545,AFFECTS,Infection,Human respiratory syncytial virus,patf,virs,6,AFFECTS_PATFafctVIRS
C3714514,C0206558,AFFECTS,Infection,Simplexvirus,patf,virs,4,AFFECTS_PATFafctVIRS
C3714514,C0318793,AFFECTS,Infection,Zika Virus,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C0597065,AFFECTS,Infection,neurotropic virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C0597404,AFFECTS,Infection,Respiratory viruses,patf,virs,2,AFFECTS_PATFafctVIRS
C3714514,C1002306,AFFECTS,Infection,Rotavirus group A,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1071061,AFFECTS,Infection,Rhinovirus A,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1079230,AFFECTS,Infection,Subgroup A Nepoviruses,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1145669,AFFECTS,Infection,Influenza C Virus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1175743,AFFECTS,Infection,SARS coronavirus,patf,virs,4,AFFECTS_PATFafctVIRS
C3714514,C1216700,AFFECTS,Infection,Kobuvirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1300303,AFFECTS,Infection,"Avian influenza virus, highly pathogenic",patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1470637,AFFECTS,Infection,Avastrovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1613950,AFFECTS,Infection,"Influenza A Virus, H5N1 Subtype",patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C1646817,AFFECTS,Infection,Human bocavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C2290915,AFFECTS,Infection,Rhinovirus C,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C2806453,AFFECTS,Infection,Betacoronavirus,patf,virs,4,AFFECTS_PATFafctVIRS
C3714514,C3697872,AFFECTS,Infection,Genus Betacoronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C3714514,C3698360,AFFECTS,Infection,Middle East Respiratory Syndrome Coronavirus,patf,virs,2,AFFECTS_PATFafctVIRS
C4061114,C0001483,AFFECTS,Acute illness,Adenoviruses,patf,virs,1,AFFECTS_PATFafctVIRS
C4061114,C0035111,AFFECTS,Acute illness,Reoviridae,patf,virs,1,AFFECTS_PATFafctVIRS
C4061114,C0042776,AFFECTS,Acute illness,Virus,patf,virs,2,AFFECTS_PATFafctVIRS
C4061114,C0318428,AFFECTS,Acute illness,Human enterovirus 68,patf,virs,2,AFFECTS_PATFafctVIRS
C4061114,C0318467,AFFECTS,Acute illness,Human rhinovirus,patf,virs,2,AFFECTS_PATFafctVIRS
C4061114,C0597404,AFFECTS,Acute illness,Respiratory viruses,patf,virs,1,AFFECTS_PATFafctVIRS
C4061114,C1258014,AFFECTS,Acute illness,Human Metapneumovirus,patf,virs,1,AFFECTS_PATFafctVIRS
C4061114,C1478824,AFFECTS,Acute illness,Human coronavirus NL63,patf,virs,1,AFFECTS_PATFafctVIRS
C4061114,C1676985,AFFECTS,Acute illness,Human coronavirus HKU1,patf,virs,1,AFFECTS_PATFafctVIRS
C4061114,C3698360,AFFECTS,Acute illness,Middle East Respiratory Syndrome Coronavirus,patf,virs,1,AFFECTS_PATFafctVIRS
C4288028,C0003725,AFFECTS,Vector Transmission,Arboviruses,patf,virs,1,AFFECTS_PATFafctVIRS
C4289744,C0043125,AFFECTS,Contact Transmission,West Nile virus,patf,virs,1,AFFECTS_PATFafctVIRS
