cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0032042,C0870602,AFFECTS,Placebos,geriatric patients,topp,humn,1,AFFECTS_TOPPafctHUMN
C0032740,C0206194,AFFECTS,Positive End-Expiratory Pressure,Survivors,topp,humn,1,AFFECTS_TOPPafctHUMN
C0034386,C0018724,AFFECTS,Quarantine,Health Personnel,topp,humn,1,AFFECTS_TOPPafctHUMN
C0040739,C0376387,AFFECTS,"Transplantation, Homologous",Transplant Recipients,topp,humn,1,AFFECTS_TOPPafctHUMN
C0040739,C0870602,AFFECTS,"Transplantation, Homologous",geriatric patients,topp,humn,1,AFFECTS_TOPPafctHUMN
C0042200,C0031831,AFFECTS,Influenza vaccination,Physicians,topp,humn,1,AFFECTS_TOPPafctHUMN
C0152060,C0376387,AFFECTS,Transection (procedure),Transplant Recipients,topp,humn,1,AFFECTS_TOPPafctHUMN
C0206058,C0870668,AFFECTS,Elective Surgical Procedures,hospitalized patients,topp,humn,1,AFFECTS_TOPPafctHUMN
C0280274,C0376387,AFFECTS,Antiviral Therapy,Transplant Recipients,topp,humn,1,AFFECTS_TOPPafctHUMN
C0920425,C1516213,AFFECTS,cancer therapy,Cancer Patient,topp,humn,1,AFFECTS_TOPPafctHUMN
C1511790,C0008098,AFFECTS,Detection,"Child, Hospitalized",topp,humn,1,AFFECTS_TOPPafctHUMN
C4289797,C0376387,AFFECTS,Chimeric Antigen Receptor T-Cell Therapy,Transplant Recipients,topp,humn,1,AFFECTS_TOPPafctHUMN
