cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001563,C0005615,AFFECTS,"Administration, Oral",Birth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002766,C0043240,AFFECTS,Pain management,Wound Healing,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002766,C1510470,AFFECTS,Pain management,Motility,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002769,C1510470,AFFECTS,"Analgesia, Epidural",Motility,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002903,C0011065,AFFECTS,Anesthesia procedures,Cessation of life,topp,orgf,2,AFFECTS_TOPPafctORGF
C0002903,C0012238,AFFECTS,Anesthesia procedures,Digestion,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002903,C0025519,AFFECTS,Anesthesia procedures,Metabolism,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002915,C0005615,AFFECTS,General Anesthesia,Birth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0002928,C0018270,AFFECTS,Spinal Anesthesia,Growth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0005491,C0013470,AFFECTS,Biofeedback,Eating,topp,orgf,1,AFFECTS_TOPPafctORGF
C0005976,C0043240,AFFECTS,Bone Transplantation,Wound Healing,topp,orgf,2,AFFECTS_TOPPafctORGF
C0007430,C0004614,AFFECTS,Catheterization,Bacterial Adhesion,topp,orgf,1,AFFECTS_TOPPafctORGF
C0007876,C0022864,AFFECTS,Cesarean section,Labor (Childbirth),topp,orgf,1,AFFECTS_TOPPafctORGF
C0008971,C0005615,AFFECTS,Clinical Protocols,Birth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0009429,C0018270,AFFECTS,Combined Modality Therapy,Growth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0009429,C1155328,AFFECTS,Combined Modality Therapy,Antiviral Response,topp,orgf,1,AFFECTS_TOPPafctORGF
C0013216,C0011065,AFFECTS,Pharmacotherapy,Cessation of life,topp,orgf,1,AFFECTS_TOPPafctORGF
C0013216,C0018270,AFFECTS,Pharmacotherapy,Growth,topp,orgf,1,AFFECTS_TOPPafctORGF
C0013786,C0037361,AFFECTS,Electric stimulation technique,Smell Perception,topp,orgf,1,AFFECTS_TOPPafctORGF
C0013806,C0014653,AFFECTS,Electroconvulsive Therapy,Equilibrium,topp,orgf,1,AFFECTS_TOPPafctORGF
C0014327,C0020966,AFFECTS,Enteral Nutrition,Cellular Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0014935,C0029260,AFFECTS,Estrogen Replacement Therapy,Orgasm,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015250,C0043240,AFFECTS,Complete excision,Wound Healing,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015250,C1160185,AFFECTS,Complete excision,transduction,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015252,C0037361,AFFECTS,removal technique,Smell Perception,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015357,C0011065,AFFECTS,Extracorporeal Membrane Oxygenation,Cessation of life,topp,orgf,1,AFFECTS_TOPPafctORGF
C0015357,C1516559,AFFECTS,Extracorporeal Membrane Oxygenation,Circulatory Process,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017118,C0020966,AFFECTS,Gastrectomy,Cellular Immunity,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C0001811,AFFECTS,gene therapy,Aging,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C0011065,AFFECTS,gene therapy,Cessation of life,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C0678723,AFFECTS,gene therapy,Biologic Development,topp,orgf,1,AFFECTS_TOPPafctORGF
C0017296,C1160185,AFFECTS,gene therapy,transduction,topp,orgf,1,AFFECTS_TOPPafctORGF
