cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001126,C1158770,ASSOCIATED_WITH,Renal tubular acidosis,Transcriptional Regulation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0001175,C0040649,ASSOCIATED_WITH,Acquired Immunodeficiency Syndrome,"Transcription, Genetic",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0001311,C0017262,ASSOCIATED_WITH,Acute bronchiolitis,Gene Expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0002395,C1156210,ASSOCIATED_WITH,Alzheimer's Disease,chromatin remodeling,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0003873,C0032529,ASSOCIATED_WITH,Rheumatoid Arthritis,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004030,C0032529,ASSOCIATED_WITH,Aspergillosis,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004096,C0032529,ASSOCIATED_WITH,Asthma,Genetic Polymorphism,dsyn,genf,7,ASSOCIATED_WITH_DSYNaswtGENF
C0004096,C0678951,ASSOCIATED_WITH,Asthma,gene polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004096,C1516924,ASSOCIATED_WITH,Asthma,Epigenetic Process,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004096,C1956002,ASSOCIATED_WITH,Asthma,INDEL Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004135,C1152412,ASSOCIATED_WITH,Ataxia Telangiectasia,RNA-directed RNA polymerase activity,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004364,C0026882,ASSOCIATED_WITH,Autoimmune Diseases,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0004364,C0032529,ASSOCIATED_WITH,Autoimmune Diseases,Genetic Polymorphism,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0005944,C1622984,ASSOCIATED_WITH,Metabolic Bone Disorder,mRNA synthesis,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0006271,C0032529,ASSOCIATED_WITH,Bronchiolitis,Genetic Polymorphism,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0006309,C0678951,ASSOCIATED_WITH,Brucellosis,gene polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0006845,C0026882,ASSOCIATED_WITH,"Candidiasis, Chronic Mucocutaneous",Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0007570,C0032529,ASSOCIATED_WITH,Celiac Disease,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0007785,C0017263,ASSOCIATED_WITH,Cerebral Infarction,Gene Expression Regulation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0008679,C0026882,ASSOCIATED_WITH,Chronic disease,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0008679,C0040649,ASSOCIATED_WITH,Chronic disease,"Transcription, Genetic",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0008679,C0598496,ASSOCIATED_WITH,Chronic disease,Gene Silencing,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0008679,C1136031,ASSOCIATED_WITH,Chronic disease,RNA Interference,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009324,C0026882,ASSOCIATED_WITH,Ulcerative Colitis,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009450,C0017262,ASSOCIATED_WITH,Communicable Diseases,Gene Expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009450,C0032529,ASSOCIATED_WITH,Communicable Diseases,Genetic Polymorphism,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0009450,C0282572,ASSOCIATED_WITH,Communicable Diseases,"Frameshifting, Ribosomal",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0009450,C1171362,ASSOCIATED_WITH,Communicable Diseases,protein expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0010051,C0032529,ASSOCIATED_WITH,Coronary Aneurysm,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0010346,C0026882,ASSOCIATED_WITH,Crohn Disease,Mutation,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0010346,C0032529,ASSOCIATED_WITH,Crohn Disease,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0010346,C0678951,ASSOCIATED_WITH,Crohn Disease,gene polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0011119,C0598312,ASSOCIATED_WITH,Decompression Sickness,DNA Replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0011119,C1158770,ASSOCIATED_WITH,Decompression Sickness,Transcriptional Regulation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0011615,C0026882,ASSOCIATED_WITH,"Dermatitis, Atopic",Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0011615,C1515670,ASSOCIATED_WITH,"Dermatitis, Atopic",mRNA Expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0011847,C0032529,ASSOCIATED_WITH,Diabetes,Genetic Polymorphism,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0011854,C0032529,ASSOCIATED_WITH,"Diabetes Mellitus, Insulin-Dependent",Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C0026882,ASSOCIATED_WITH,"Ecthyma, Contagious",Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C0683143,ASSOCIATED_WITH,"Ecthyma, Contagious",RNA metabolic process,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1152412,ASSOCIATED_WITH,"Ecthyma, Contagious",RNA-directed RNA polymerase activity,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1328949,ASSOCIATED_WITH,"Ecthyma, Contagious",RNA replication,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1519592,ASSOCIATED_WITH,"Ecthyma, Contagious",Transcription Process,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C1622984,ASSOCIATED_WITH,"Ecthyma, Contagious",mRNA synthesis,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0013570,C2753337,ASSOCIATED_WITH,"Ecthyma, Contagious",rolling circle DNA replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014175,C1158016,ASSOCIATED_WITH,Endometriosis,rRNA catabolic process,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014179,C1515670,ASSOCIATED_WITH,Endometritis,mRNA Expression,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014335,C0026882,ASSOCIATED_WITH,Enteritis,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014356,C4505109,ASSOCIATED_WITH,Enterocolitis,Gain of Function Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014518,C0314648,ASSOCIATED_WITH,Toxic Epidermal Necrolysis,Allotype,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014518,C0599773,ASSOCIATED_WITH,Toxic Epidermal Necrolysis,Homologous Recombination,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014518,C1152412,ASSOCIATED_WITH,Toxic Epidermal Necrolysis,RNA-directed RNA polymerase activity,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014544,C0026882,ASSOCIATED_WITH,Epilepsy,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0014548,C0026882,ASSOCIATED_WITH,"Epilepsy, Generalized",Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0015625,C0026882,ASSOCIATED_WITH,Fanconi Anemia,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0016627,C0026882,ASSOCIATED_WITH,Influenza in Birds,Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0016627,C0162493,ASSOCIATED_WITH,Influenza in Birds,Transcriptional Activation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0016667,C0241764,ASSOCIATED_WITH,Fragile X Syndrome,X-linked inheritance,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0018081,C0598312,ASSOCIATED_WITH,Gonorrhea,DNA Replication,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0018609,C0026882,ASSOCIATED_WITH,Hartnup Disease,Mutation,dsyn,genf,2,ASSOCIATED_WITH_DSYNaswtGENF
C0018784,C0026882,ASSOCIATED_WITH,Sensorineural Hearing Loss (disorder),Mutation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0018889,C0598496,ASSOCIATED_WITH,Helminthiasis,Gene Silencing,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019158,C0032529,ASSOCIATED_WITH,Hepatitis,Genetic Polymorphism,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019187,C0162493,ASSOCIATED_WITH,"Hepatitis, Alcoholic",Transcriptional Activation,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019196,C1152411,ASSOCIATED_WITH,Hepatitis C,RNA-directed DNA polymerase activity,dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
C0019243,C0040667,ASSOCIATED_WITH,"Angioedemas, Hereditary","Transduction, Genetic",dsyn,genf,1,ASSOCIATED_WITH_DSYNaswtGENF
