cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003818,C0161818,ASSOCIATED_WITH,Arsenic,Respiratory complication,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0003818,C3714514,ASSOCIATED_WITH,Arsenic,Infection,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0005642,C3658208,ASSOCIATED_WITH,Bismuth,Dysbiosis,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0011744,C0011304,ASSOCIATED_WITH,Deuterium,Demyelination,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0011744,C0332448,ASSOCIATED_WITH,Deuterium,Infiltration,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0022023,C0020517,ASSOCIATED_WITH,Ions,Hypersensitivity,elii,patf,2,ASSOCIATED_WITH_ELIIaswtPATF
C0022023,C0745283,ASSOCIATED_WITH,Ions,INFECTIOUS PROCESS,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0033727,C0242184,ASSOCIATED_WITH,Protons,Hypoxia,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0303225,C0302158,ASSOCIATED_WITH,Gallium-67,Leucocytic infiltrate,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0567415,C0028778,ASSOCIATED_WITH,Atom (substance),Obstruction,elii,patf,2,ASSOCIATED_WITH_ELIIaswtPATF
C0596235,C0340515,ASSOCIATED_WITH,Calcium ion,Myocardial dysfunction,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C0596235,C0745283,ASSOCIATED_WITH,Calcium ion,INFECTIOUS PROCESS,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C2346927,C0919924,ASSOCIATED_WITH,Magnesium Cation,pulmonary toxicity,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
C2347816,C0020517,ASSOCIATED_WITH,cobaltous cation,Hypersensitivity,elii,patf,1,ASSOCIATED_WITH_ELIIaswtPATF
