cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0006826,ASSOCIATED_WITH,Immunologic Adjuvants,Malignant Neoplasms,imft,neop,2,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C0007097,ASSOCIATED_WITH,Immunologic Adjuvants,Carcinoma,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C0007131,ASSOCIATED_WITH,Immunologic Adjuvants,Non-Small Cell Lung Carcinoma,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C0023467,ASSOCIATED_WITH,Immunologic Adjuvants,"Leukemia, Myelocytic, Acute",imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C0278484,ASSOCIATED_WITH,Immunologic Adjuvants,Malignant neoplasm of colon stage IV,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C0677949,ASSOCIATED_WITH,Immunologic Adjuvants,Stage III Colorectal Cancer,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C0948380,ASSOCIATED_WITH,Immunologic Adjuvants,metastatic colorectal cancer,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0001551,C3463824,ASSOCIATED_WITH,Immunologic Adjuvants,MYELODYSPLASTIC SYNDROME,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0002092,C0007847,ASSOCIATED_WITH,Allergens,Malignant tumor of cervix,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0002092,C0242379,ASSOCIATED_WITH,Allergens,Malignant neoplasm of lung,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003316,C0006826,ASSOCIATED_WITH,Epitopes,Malignant Neoplasms,imft,neop,3,ASSOCIATED_WITH_IMFTaswtNEOP
C0003316,C0027627,ASSOCIATED_WITH,Epitopes,Neoplasm Metastasis,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003316,C0027651,ASSOCIATED_WITH,Epitopes,Neoplasms,imft,neop,4,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0006826,ASSOCIATED_WITH,Antigens,Malignant Neoplasms,imft,neop,6,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0007097,ASSOCIATED_WITH,Antigens,Carcinoma,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0009402,ASSOCIATED_WITH,Antigens,Colorectal Carcinoma,imft,neop,2,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0023434,ASSOCIATED_WITH,Antigens,Chronic Lymphocytic Leukemia,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0023903,ASSOCIATED_WITH,Antigens,Liver neoplasms,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0024299,ASSOCIATED_WITH,Antigens,Lymphoma,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0024897,ASSOCIATED_WITH,Antigens,Mastocytoma,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0026640,ASSOCIATED_WITH,Antigens,Mouth Neoplasms,imft,neop,1,ASSOCIATED_WITH_IMFTaswtNEOP
C0003320,C0027651,ASSOCIATED_WITH,Antigens,Neoplasms,imft,neop,5,ASSOCIATED_WITH_IMFTaswtNEOP
