cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0018188,ASSOCIATED_WITH,Alkalies,Granuloma,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0002607,C0003130,ASSOCIATED_WITH,Ammonia,Anoxia,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0002607,C0026766,ASSOCIATED_WITH,Ammonia,Multiple Organ Failure,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0002607,C0341950,ASSOCIATED_WITH,Ammonia,Severe pre-eclampsia,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0002607,C1306571,ASSOCIATED_WITH,Ammonia,Hepatic Insufficiency,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0002615,C0021368,ASSOCIATED_WITH,Ammonium Chloride,Inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0005367,C0001122,ASSOCIATED_WITH,Bicarbonates,Acidosis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0005367,C0034088,ASSOCIATED_WITH,Bicarbonates,Pulmonary Valve Insufficiency,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0008203,C0002064,ASSOCIATED_WITH,Chlorides,"Alkalosis, Respiratory",inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0008203,C0021368,ASSOCIATED_WITH,Chlorides,Inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0008203,C0220981,ASSOCIATED_WITH,Chlorides,Metabolic acidosis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0013239,C0021359,ASSOCIATED_WITH,Dry Ice,Infertility,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0020281,C0235063,ASSOCIATED_WITH,Hydrogen Peroxide,Respiratory Depression,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0025552,C0151686,ASSOCIATED_WITH,Metals,Growth retardation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0029356,C0006663,ASSOCIATED_WITH,Orthophosphate,Calcinosis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C0003130,ASSOCIATED_WITH,Water,Anoxia,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C0020564,ASSOCIATED_WITH,Water,Hypertrophy,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C0024348,ASSOCIATED_WITH,Water,Lysis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C0220981,ASSOCIATED_WITH,Water,Metabolic acidosis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C0235395,ASSOCIATED_WITH,Water,Fluid loss,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C0242781,ASSOCIATED_WITH,Water,disease transmission,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0043047,C3714514,ASSOCIATED_WITH,Water,Infection,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0062185,C0022116,ASSOCIATED_WITH,heliox,Ischemia,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0086983,C0553697,ASSOCIATED_WITH,Silicates,Granulomatous inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0103202,C0016059,ASSOCIATED_WITH,anatase,Fibrosis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0103202,C0021368,ASSOCIATED_WITH,anatase,Inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0141060,C0016059,ASSOCIATED_WITH,rutile,Fibrosis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0141060,C0021368,ASSOCIATED_WITH,rutile,Inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0163748,C0021368,ASSOCIATED_WITH,Diosmectite,Inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0757156,C1520005,ASSOCIATED_WITH,fortune,Viral Pathogenesis,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0772313,C0021375,ASSOCIATED_WITH,colloidal silver,allergic inflammation,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C0790233,C0028778,ASSOCIATED_WITH,Distilled water,Obstruction,inch,patf,1,ASSOCIATED_WITH_INCHaswtPATF
C3536832,C0242781,ASSOCIATED_WITH,Air,disease transmission,inch,patf,2,ASSOCIATED_WITH_INCHaswtPATF
