cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002607,C0013604,ASSOCIATED_WITH,Ammonia,Edema,inch,sosy,2,ASSOCIATED_WITH_INCHaswtSOSY
C0005367,C0231239,ASSOCIATED_WITH,Bicarbonates,Fluctuation,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0005367,C2129214,ASSOCIATED_WITH,Bicarbonates,Loose stool,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0008203,C2129214,ASSOCIATED_WITH,Chlorides,Loose stool,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0013832,C0011991,ASSOCIATED_WITH,Electrolytes,Diarrhea,inch,sosy,2,ASSOCIATED_WITH_INCHaswtSOSY
C0013832,C0026821,ASSOCIATED_WITH,Electrolytes,Muscle Cramp,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0013832,C0042963,ASSOCIATED_WITH,Electrolytes,Vomiting,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0013832,C1443924,ASSOCIATED_WITH,Electrolytes,Severe diarrhea,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0013832,C2129214,ASSOCIATED_WITH,Electrolytes,Loose stool,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0043047,C0011991,ASSOCIATED_WITH,Water,Diarrhea,inch,sosy,2,ASSOCIATED_WITH_INCHaswtSOSY
C0043047,C0013604,ASSOCIATED_WITH,Water,Edema,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0043047,C0022346,ASSOCIATED_WITH,Water,Icterus,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0043047,C1443924,ASSOCIATED_WITH,Water,Severe diarrhea,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0043047,C2129214,ASSOCIATED_WITH,Water,Loose stool,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0163748,C0042963,ASSOCIATED_WITH,Diosmectite,Vomiting,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0173834,C0003862,ASSOCIATED_WITH,Procera,Arthralgia,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0721226,C0010200,ASSOCIATED_WITH,Kato,Coughing,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C0757156,C0011991,ASSOCIATED_WITH,fortune,Diarrhea,inch,sosy,1,ASSOCIATED_WITH_INCHaswtSOSY
C3536832,C0010200,ASSOCIATED_WITH,Air,Coughing,inch,sosy,2,ASSOCIATED_WITH_INCHaswtSOSY
