cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0004096,ASSOCIATED_WITH,Acclimatization,Asthma,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0008679,ASSOCIATED_WITH,Acclimatization,Chronic disease,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0010340,ASSOCIATED_WITH,Acclimatization,Critical Illness,orgf,dsyn,2,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0014038,ASSOCIATED_WITH,Acclimatization,Encephalitis,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0016627,ASSOCIATED_WITH,Acclimatization,Influenza in Birds,orgf,dsyn,2,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0021400,ASSOCIATED_WITH,Acclimatization,Influenza,orgf,dsyn,2,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0027341,ASSOCIATED_WITH,Acclimatization,Nail-Patella Syndrome,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0032285,ASSOCIATED_WITH,Acclimatization,Pneumonia,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0036472,ASSOCIATED_WITH,Acclimatization,Scrub Typhus,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0038826,ASSOCIATED_WITH,Acclimatization,Superinfection,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0162429,ASSOCIATED_WITH,Acclimatization,Malnutrition,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C0275524,ASSOCIATED_WITH,Acclimatization,Coinfection,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C1175175,ASSOCIATED_WITH,Acclimatization,Severe Acute Respiratory Syndrome,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C1852406,ASSOCIATED_WITH,Acclimatization,Cutis Gyrata Syndrome of Beare And Stevenson,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C1857775,ASSOCIATED_WITH,Acclimatization,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism",orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0000934,C3694279,ASSOCIATED_WITH,Acclimatization,Middle East Respiratory Syndrome,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0001811,C0002395,ASSOCIATED_WITH,Aging,Alzheimer's Disease,orgf,dsyn,2,ASSOCIATED_WITH_ORGFaswtDSYN
C0001811,C0003864,ASSOCIATED_WITH,Aging,Arthritis,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
C0001811,C0003873,ASSOCIATED_WITH,Aging,Rheumatoid Arthritis,orgf,dsyn,1,ASSOCIATED_WITH_ORGFaswtDSYN
