cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C0026597,AUGMENTS,Actins,Motion,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0001271,C0031164,AUGMENTS,Actins,Permeability,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0001271,C0042784,AUGMENTS,Actins,Viscosity,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0001291,C0026597,AUGMENTS,Actomyosin,Motion,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0001924,C0031164,AUGMENTS,Albumins,Permeability,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0002520,C0007382,AUGMENTS,Amino Acids,Catalysis,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0002520,C0016315,AUGMENTS,Amino Acids,Fluorescence,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0002520,C0031164,AUGMENTS,Amino Acids,Permeability,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0002723,C2348693,AUGMENTS,Serum amyloid A protein,Flux,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003009,C0031164,AUGMENTS,angiotensin II,Permeability,aapp,npop,3,AUGMENTS_AAPPaugmNPOP
C0003011,C0031164,AUGMENTS,"Receptor, Angiotensin II",Permeability,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003241,C0017982,AUGMENTS,Antibodies,glycosylation,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0003241,C0031164,AUGMENTS,Antibodies,Permeability,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003241,C0162524,AUGMENTS,Antibodies,Chemiluminescence,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0003241,C2348693,AUGMENTS,Antibodies,Flux,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003241,C3826426,AUGMENTS,Antibodies,Dynamics,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003241,C4042908,AUGMENTS,Antibodies,Seroconversion,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003242,C0032931,AUGMENTS,"Antibodies, Anti-Idiotypic",Precipitation,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003242,C0038887,AUGMENTS,"Antibodies, Anti-Idiotypic",Surface Tension,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003250,C0016315,AUGMENTS,Monoclonal Antibodies,Fluorescence,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0003250,C0017982,AUGMENTS,Monoclonal Antibodies,glycosylation,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0003765,C0031164,AUGMENTS,Arginine,Permeability,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0006100,C0031164,AUGMENTS,Bradykinin,Permeability,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0006685,C0031164,AUGMENTS,Calcium Channel,Permeability,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0006938,C0042333,AUGMENTS,Captopril,Variation (Genetics),aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0007578,C0022702,AUGMENTS,Cell Adhesion Molecules,Kinetics,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0008356,C2348693,AUGMENTS,Cholera Toxin,Flux,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0009498,C0004645,AUGMENTS,Complement System Proteins,Bacteriolysis,aapp,npop,2,AUGMENTS_AAPPaugmNPOP
C0010289,C0016701,AUGMENTS,"Creatine Kinase, BB Form",Freezing,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
C0010590,C0022702,AUGMENTS,Cycloserine,Kinetics,aapp,npop,1,AUGMENTS_AAPPaugmNPOP
