cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002645,C0150312,AUGMENTS,Amoxicillin,Present,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0003240,C3160879,AUGMENTS,Macrolide Antibiotics,Macrolide resistance,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0007561,C3845714,AUGMENTS,Ceftriaxone,Several days,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0008947,C0150312,AUGMENTS,Clindamycin,Present,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0013089,C1545588,AUGMENTS,Doxorubicin,Protection,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0013089,C4055506,AUGMENTS,Doxorubicin,Accumulation,antb,fndg,2,AUGMENTS_ANTBaugmFNDG
C0013090,C3845714,AUGMENTS,Doxycycline,Several days,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0014806,C0150312,AUGMENTS,Erythromycin,Present,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0020933,C3890735,AUGMENTS,Imipenem,Complete Response with Incomplete Platelet Recovery,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0022914,C4289767,AUGMENTS,Lactams,Colonization,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0030827,C0150312,AUGMENTS,Penicillin G,Present,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0035608,C0150312,AUGMENTS,Rifampin,Present,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0038425,C0442797,AUGMENTS,Streptomycin,Decreasing,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0039644,C1516998,AUGMENTS,Tetracycline,Exogenous Factors,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0052796,C0003811,AUGMENTS,Azithromycin,Cardiac Arrhythmia,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0052796,C0151878,AUGMENTS,Azithromycin,Prolonged QT interval,antb,fndg,3,AUGMENTS_ANTBaugmFNDG
C0052796,C0683521,AUGMENTS,Azithromycin,patient condition,antb,fndg,2,AUGMENTS_ANTBaugmFNDG
C0052796,C0855333,AUGMENTS,Azithromycin,Corrected Prolonged QT Interval by ECG Finding,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0055003,C4289767,AUGMENTS,cefepime,Colonization,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0055856,C0700292,AUGMENTS,Clarithromycin,Hypoxemia,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0066005,C0743284,AUGMENTS,meropenem,drug exposure,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0072980,C0544966,AUGMENTS,Sirolimus,Autophagic vaculoes (finding),antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0072980,C1545588,AUGMENTS,Sirolimus,Protection,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0072980,C4055506,AUGMENTS,Sirolimus,Accumulation,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C0038435,AUGMENTS,rosoxacin,Stress,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C0221198,AUGMENTS,rosoxacin,Lesion,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C0332149,AUGMENTS,rosoxacin,Possible,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C0424589,AUGMENTS,rosoxacin,Vitality,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C0439662,AUGMENTS,rosoxacin,Immune,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C0860803,AUGMENTS,rosoxacin,glucose high,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0073591,C4021734,AUGMENTS,rosoxacin,Abnormality of mitochondrial metabolism,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0076681,C1545588,AUGMENTS,tilmicosin,Protection,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0304317,C4289767,AUGMENTS,First generation cephalosporin,Colonization,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C0310367,C0679836,AUGMENTS,Today,diagnostic problem,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
C3536856,C0150312,AUGMENTS,Cephalosporins,Present,antb,fndg,1,AUGMENTS_ANTBaugmFNDG
