cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002680,C1171362,AUGMENTS,Ampicillin,protein expression,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0003232,C0026882,AUGMENTS,Antibiotics,Mutation,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0003232,C0037211,AUGMENTS,Antibiotics,Sister Chromatid Exchange,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0003232,C0040649,AUGMENTS,Antibiotics,"Transcription, Genetic",antb,genf,1,AUGMENTS_ANTBaugmGENF
C0003232,C1171362,AUGMENTS,Antibiotics,protein expression,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0010572,C1157562,AUGMENTS,Cycloheximide,translational elongation,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0013089,C0162493,AUGMENTS,Doxorubicin,Transcriptional Activation,antb,genf,3,AUGMENTS_ANTBaugmGENF
C0013089,C1152412,AUGMENTS,Doxorubicin,RNA-directed RNA polymerase activity,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0013090,C0162493,AUGMENTS,Doxycycline,Transcriptional Activation,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0013090,C1152412,AUGMENTS,Doxycycline,RNA-directed RNA polymerase activity,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0013090,C1171362,AUGMENTS,Doxycycline,protein expression,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0029983,C0040649,AUGMENTS,Oxacillin,"Transcription, Genetic",antb,genf,1,AUGMENTS_ANTBaugmGENF
C0039644,C0017262,AUGMENTS,Tetracycline,Gene Expression,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0073591,C0026882,AUGMENTS,rosoxacin,Mutation,antb,genf,1,AUGMENTS_ANTBaugmGENF
C0073591,C0040649,AUGMENTS,rosoxacin,"Transcription, Genetic",antb,genf,1,AUGMENTS_ANTBaugmGENF
C0073591,C1511695,AUGMENTS,rosoxacin,DNA Sequence Rearrangement,antb,genf,2,AUGMENTS_ANTBaugmGENF
C0085795,C1515670,AUGMENTS,Amphotericin,mRNA Expression,antb,genf,1,AUGMENTS_ANTBaugmGENF
