cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002367,C1817907,AUGMENTS,Aluminum,T cell mediated immunity,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0017479,C0025519,AUGMENTS,Germanium,Metabolism,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0018880,C0005615,AUGMENTS,Helium,Birth,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0022023,C0011065,AUGMENTS,Ions,Cessation of life,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0022023,C0026559,AUGMENTS,Ions,Morphogenesis,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0022023,C1516559,AUGMENTS,Ions,Circulatory Process,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0043506,C0018270,AUGMENTS,Zirconium,Growth,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0108600,C3159140,AUGMENTS,cationic polyelectrolytes,interferon production,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0301294,C0011065,AUGMENTS,Nitrogen gas,Cessation of life,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0596235,C1510470,AUGMENTS,Calcium ion,Motility,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C0597484,C0026649,AUGMENTS,Sodium Cation,Movement,elii,orgf,2,AUGMENTS_ELIIaugmORGF
C0723796,C0018270,AUGMENTS,Trace metal,Growth,elii,orgf,1,AUGMENTS_ELIIaugmORGF
C1601799,C0005615,AUGMENTS,phosphate ion,Birth,elii,orgf,3,AUGMENTS_ELIIaugmORGF
C2346661,C0000934,AUGMENTS,Pb2+,Acclimatization,elii,orgf,3,AUGMENTS_ELIIaugmORGF
C2346661,C0018270,AUGMENTS,Pb2+,Growth,elii,orgf,1,AUGMENTS_ELIIaugmORGF
