cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0001811,AUGMENTS,Immunologic Adjuvants,Aging,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C0005615,AUGMENTS,Immunologic Adjuvants,Birth,imft,orgf,4,AUGMENTS_IMFTaugmORGF
C0001551,C0011065,AUGMENTS,Immunologic Adjuvants,Cessation of life,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C0020966,AUGMENTS,Immunologic Adjuvants,Cellular Immunity,imft,orgf,3,AUGMENTS_IMFTaugmORGF
C0001551,C0020967,AUGMENTS,Immunologic Adjuvants,Humoral Immunity,imft,orgf,2,AUGMENTS_IMFTaugmORGF
C0001551,C0678723,AUGMENTS,Immunologic Adjuvants,Biologic Development,imft,orgf,4,AUGMENTS_IMFTaugmORGF
C0001551,C1136180,AUGMENTS,Immunologic Adjuvants,Disease Resistance,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C1155328,AUGMENTS,Immunologic Adjuvants,Antiviral Response,imft,orgf,2,AUGMENTS_IMFTaugmORGF
C0001551,C1752856,AUGMENTS,Immunologic Adjuvants,Host-Pathogen Interactions,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C1817907,AUGMENTS,Immunologic Adjuvants,T cell mediated immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C3156592,AUGMENTS,Immunologic Adjuvants,T-helper 17 type immune response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0003342,C0020966,AUGMENTS,"Antigens, Viral",Cellular Immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0004886,C0678889,AUGMENTS,BCG Vaccine,Immunoregulation,imft,orgf,2,AUGMENTS_IMFTaugmORGF
C0019168,C1155328,AUGMENTS,Hepatitis B Surface Antigens,Antiviral Response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0021081,C0043240,AUGMENTS,Immunosuppressive Agents,Wound Healing,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0021403,C0020967,AUGMENTS,Influenza virus vaccine,Humoral Immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0025010,C0020966,AUGMENTS,Measles Vaccine,Cellular Immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0037355,C0020966,AUGMENTS,Smallpox Vaccine,Cellular Immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0039620,C1819437,AUGMENTS,Tetanus Vaccine,interleukin-10 production,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0042210,C0001811,AUGMENTS,Vaccines,Aging,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0042210,C0005615,AUGMENTS,Vaccines,Birth,imft,orgf,8,AUGMENTS_IMFTaugmORGF
C0042210,C0018270,AUGMENTS,Vaccines,Growth,imft,orgf,3,AUGMENTS_IMFTaugmORGF
C0042210,C0020966,AUGMENTS,Vaccines,Cellular Immunity,imft,orgf,22,AUGMENTS_IMFTaugmORGF
C0042210,C0020967,AUGMENTS,Vaccines,Humoral Immunity,imft,orgf,30,AUGMENTS_IMFTaugmORGF
C0042210,C0021059,AUGMENTS,Vaccines,Immunologic Surveillance,imft,orgf,1,AUGMENTS_IMFTaugmORGF
