cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006556,C0023884,AUGMENTS,"DNA, Complementary",Liver,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0012132,C0023884,AUGMENTS,Zalcitabine,Liver,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0023978,C0005854,AUGMENTS,Long Terminal Repeat,Blood - brain barrier anatomy,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0032414,C0006104,AUGMENTS,Poly I-C,Brain,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0032414,C0021853,AUGMENTS,Poly I-C,Intestines,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0032414,C0023884,AUGMENTS,Poly I-C,Liver,nnon,bpoc,5,AUGMENTS_NNONaugmBPOC
C0032414,C0024109,AUGMENTS,Poly I-C,Lung,nnon,bpoc,4,AUGMENTS_NNONaugmBPOC
C0032414,C0028429,AUGMENTS,Poly I-C,Nose,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0032414,C0037993,AUGMENTS,Poly I-C,Spleen,nnon,bpoc,2,AUGMENTS_NNONaugmBPOC
C0032414,C0459385,AUGMENTS,Poly I-C,Brain tissue,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0033755,C0006104,AUGMENTS,Proviruses,Brain,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0035525,C0024109,AUGMENTS,Ribavirin,Lung,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0035736,C0037993,AUGMENTS,"RNA, Viral",Spleen,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0035736,C0458578,AUGMENTS,"RNA, Viral",Upper respiratory tract,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0206415,C0021853,AUGMENTS,Oligonucleotide Primers,Intestines,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0206415,C0037949,AUGMENTS,Oligonucleotide Primers,Vertebral column,nnon,bpoc,3,AUGMENTS_NNONaugmBPOC
C0245085,C0006104,AUGMENTS,H-DNA,Brain,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0815050,C0005854,AUGMENTS,adenosine receptor antagonist,Blood - brain barrier anatomy,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C0914671,C0023884,AUGMENTS,CPG-ODN,Liver,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C1519595,C0006104,AUGMENTS,Transcript,Brain,nnon,bpoc,2,AUGMENTS_NNONaugmBPOC
C1519595,C0021853,AUGMENTS,Transcript,Intestines,nnon,bpoc,2,AUGMENTS_NNONaugmBPOC
C1519595,C0022646,AUGMENTS,Transcript,Kidney,nnon,bpoc,2,AUGMENTS_NNONaugmBPOC
C1519595,C0023884,AUGMENTS,Transcript,Liver,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C1519595,C0029939,AUGMENTS,Transcript,Ovary,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C1519595,C0037925,AUGMENTS,Transcript,Spinal Cord,nnon,bpoc,2,AUGMENTS_NNONaugmBPOC
C1519595,C0040578,AUGMENTS,Transcript,Trachea,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C1519595,C1552132,AUGMENTS,Transcript,Supernumerary mandibular left second molar,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C1519595,C3178921,AUGMENTS,Transcript,Head Kidney,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C2982391,C0020885,AUGMENTS,Long Intergenic Non-Protein Coding RNA,ileum,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C2982391,C0023884,AUGMENTS,Long Intergenic Non-Protein Coding RNA,Liver,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
C3272455,C4280042,AUGMENTS,"DNA, Ancient",Human Remains,nnon,bpoc,1,AUGMENTS_NNONaugmBPOC
