cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0005615,AUGMENTS,Acyclovir,Birth,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0012133,C0005615,AUGMENTS,Didanosine,Birth,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0012924,C1819459,AUGMENTS,"DNA, Bacterial",interleukin-6 production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0012930,C0678723,AUGMENTS,"DNA, Neoplasm",Biologic Development,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0012939,C0005615,AUGMENTS,"DNA, Viral",Birth,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0018321,C1819431,AUGMENTS,Guanine,interferon-alpha production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0022230,C1819436,AUGMENTS,Inosine Pranobex,interleukin-1 production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0022230,C1819447,AUGMENTS,Inosine Pranobex,interleukin-2 production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0023978,C0678723,AUGMENTS,Long Terminal Repeat,Biologic Development,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C0028953,C0043240,AUGMENTS,Oligonucleotides,Wound Healing,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032411,C1819431,AUGMENTS,Poly G,interferon-alpha production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032413,C1155328,AUGMENTS,Poly I,Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C0011065,AUGMENTS,Poly I-C,Cessation of life,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C0032414,C0037361,AUGMENTS,Poly I-C,Smell Perception,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C0678723,AUGMENTS,Poly I-C,Biologic Development,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C1155328,AUGMENTS,Poly I-C,Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C1327413,AUGMENTS,Poly I-C,cytokine production,nnon,orgf,3,AUGMENTS_NNONaugmORGF
C0032414,C1819430,AUGMENTS,Poly I-C,type I interferon production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C1819431,AUGMENTS,Poly I-C,interferon-alpha production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C1819459,AUGMENTS,Poly I-C,interleukin-6 production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C1819464,AUGMENTS,Poly I-C,tumor necrosis factor production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0032414,C3156137,AUGMENTS,Poly I-C,thymic stromal lymphopoietin production,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C0032550,C3159140,AUGMENTS,Polynucleotides,interferon production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0035525,C0020966,AUGMENTS,Ribavirin,Cellular Immunity,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0035525,C0699900,AUGMENTS,Ribavirin,Catabolism,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0035525,C1155328,AUGMENTS,Ribavirin,Antiviral Response,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C0035525,C1817907,AUGMENTS,Ribavirin,T cell mediated immunity,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0035736,C1155328,AUGMENTS,"RNA, Viral",Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0035736,C1327413,AUGMENTS,"RNA, Viral",cytokine production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0046841,C0011065,AUGMENTS,3'-O-(4-benzoyl)benzoyladenosine 5'-triphosphate,Cessation of life,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0049065,C0678723,AUGMENTS,decitabine,Biologic Development,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0050063,C0043240,AUGMENTS,8-chloro-cyclic adenosine monophosphate,Wound Healing,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0053697,C0678723,AUGMENTS,"bis(3',5')-cyclic diguanylic acid",Biologic Development,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0071359,C1155328,AUGMENTS,poly ICLC,Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0599013,C0005615,AUGMENTS,aptamer,Birth,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C0599013,C0011065,AUGMENTS,aptamer,Cessation of life,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0599013,C0699900,AUGMENTS,aptamer,Catabolism,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0600680,C1155328,AUGMENTS,Untranslated Regions,Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0815050,C3546669,AUGMENTS,adenosine receptor antagonist,response to diuretic,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0914671,C0020966,AUGMENTS,CPG-ODN,Cellular Immunity,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0914671,C0678723,AUGMENTS,CPG-ODN,Biologic Development,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0914671,C1155328,AUGMENTS,CPG-ODN,Antiviral Response,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C0914671,C1327413,AUGMENTS,CPG-ODN,cytokine production,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C0914671,C1819431,AUGMENTS,CPG-ODN,interferon-alpha production,nnon,orgf,2,AUGMENTS_NNONaugmORGF
C1510800,C0014653,AUGMENTS,Adenoviral Vector,Equilibrium,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1510800,C0020966,AUGMENTS,Adenoviral Vector,Cellular Immunity,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1510800,C1155328,AUGMENTS,Adenoviral Vector,Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1514926,C0018270,AUGMENTS,retroviral vector,Growth,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1519595,C0233324,AUGMENTS,Transcript,Term Birth,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1519595,C0699900,AUGMENTS,Transcript,Catabolism,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1519595,C1654934,AUGMENTS,Transcript,Immune Evasion,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1567954,C0699900,AUGMENTS,RNA Aptamers,Catabolism,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C1881903,C3159140,AUGMENTS,Morpholinos,interferon production,nnon,orgf,3,AUGMENTS_NNONaugmORGF
C2930586,C0005615,AUGMENTS,Short Hairpin RNA,Birth,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C2982391,C0699900,AUGMENTS,Long Intergenic Non-Protein Coding RNA,Catabolism,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C3272452,C1155328,AUGMENTS,Single-Stranded RNA,Antiviral Response,nnon,orgf,1,AUGMENTS_NNONaugmORGF
C3537372,C0699900,AUGMENTS,Bacterial 16S RNA,Catabolism,nnon,orgf,1,AUGMENTS_NNONaugmORGF
