cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0162326,C0010357,AUGMENTS,DNA Sequence,Cross Reactions,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C0162326,C0243102,AUGMENTS,DNA Sequence,enzyme activity,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C0162326,C0301641,AUGMENTS,DNA Sequence,Macromolecular alteration,nusq,moft,2,AUGMENTS_NUSQaugmMOFT
C0162326,C0949765,AUGMENTS,DNA Sequence,Polyadenylation,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C0162326,C1328948,AUGMENTS,DNA Sequence,RNA biosynthesis,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C0242610,C0597295,AUGMENTS,"Codon, Initiator",Protein Biosynthesis,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C1512886,C0031715,AUGMENTS,Internal Ribosome Entry Sites,Phosphorylation,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C1512886,C0301641,AUGMENTS,Internal Ribosome Entry Sites,Macromolecular alteration,nusq,moft,4,AUGMENTS_NUSQaugmMOFT
C1512886,C0597295,AUGMENTS,Internal Ribosome Entry Sites,Protein Biosynthesis,nusq,moft,5,AUGMENTS_NUSQaugmMOFT
C1512886,C0597304,AUGMENTS,Internal Ribosome Entry Sites,Proteolysis,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C1512886,C3178791,AUGMENTS,Internal Ribosome Entry Sites,RNA Cleavage,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C1512886,C3268327,AUGMENTS,Internal Ribosome Entry Sites,cytoplasmic translation,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C1517336,C0597295,AUGMENTS,G-Quadruplexes,Protein Biosynthesis,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C3178797,C2247737,AUGMENTS,RNA Motifs,toll-like receptor 7 signaling pathway,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
C3178797,C2247741,AUGMENTS,RNA Motifs,toll-like receptor 8 signaling pathway,nusq,moft,1,AUGMENTS_NUSQaugmMOFT
