cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002598,C0007637,AUGMENTS,Amiodarone,Inclusion Bodies,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0002598,C0042219,AUGMENTS,Amiodarone,Vacuole,orch,celc,3,AUGMENTS_ORCHaugmCELC
C0006790,C1166781,AUGMENTS,Calusterone,Microtubule cytoskeleton,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0006931,C0086697,AUGMENTS,Capsaicin,"Nerve Endings, Sensory",orch,celc,1,AUGMENTS_ORCHaugmCELC
C0007004,C1511625,AUGMENTS,Carbohydrates,Cytoplasmic Domain,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0008269,C0024369,AUGMENTS,Chloroquine,Lysosomes,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0009262,C1178974,AUGMENTS,Colchicine,Vimentin filament,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0015684,C0596901,AUGMENTS,Fatty Acids,Membrane,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0016295,C0596901,AUGMENTS,Flunarizine,Membrane,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0017082,C1167250,AUGMENTS,Gangliosides,lipid raft,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0022020,C1325742,AUGMENTS,Ionomycin,Pore,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0022239,C1749467,AUGMENTS,Isopropyl Thiogalactoside,soluble,orch,celc,2,AUGMENTS_ORCHaugmCELC
C0023779,C0007603,AUGMENTS,Lipids,Plasma membrane,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0021868,AUGMENTS,Lipids,Intracellular Membranes,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0024369,AUGMENTS,Lipids,Lysosomes,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0029219,AUGMENTS,Lipids,Organelles,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0034850,AUGMENTS,Lipids,Endosomes,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0042760,AUGMENTS,Lipids,Virion,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0230704,AUGMENTS,Lipids,Lipid droplet,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0805525,AUGMENTS,Lipids,Cell Fraction,orch,celc,1,AUGMENTS_ORCHaugmCELC
C0023779,C0887868,AUGMENTS,Lipids,Membrane Microdomains,orch,celc,1,AUGMENTS_ORCHaugmCELC
