cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001648,C1151015,AUGMENTS,Adrenergic Agonists,adenylate cyclase activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003015,C1150587,AUGMENTS,Angiotensin-Converting Enzyme Inhibitors,JUN kinase activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003209,C1158366,AUGMENTS,Anti-Inflammatory Agents,fatty acid oxidation,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003209,C1704259,AUGMENTS,Anti-Inflammatory Agents,Biochemical Pathway,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003211,C1157324,AUGMENTS,"Anti-Inflammatory Agents, Non-Steroidal",prostaglandin biosynthetic process,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003374,C1148926,AUGMENTS,Antimalarials,adenosinetriphosphatase activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003402,C0243102,AUGMENTS,Antioxidants,enzyme activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003402,C1148564,AUGMENTS,Antioxidants,antioxidant activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003402,C3269144,AUGMENTS,Antioxidants,intrinsic apoptosis,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003451,C0596177,AUGMENTS,Antiviral Agents,Biocompatibility,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0003451,C1518094,AUGMENTS,Antiviral Agents,Lytic Phase,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0051821,C0301641,AUGMENTS,andrographolide,Macromolecular alteration,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0056331,C1520113,AUGMENTS,cordycepin,Wnt Signaling Pathway,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0063469,C1324745,AUGMENTS,indirubin,glycine N-choloyltransferase activity,phsu,moft,3,AUGMENTS_PHSUaugmMOFT
C0242912,C1515844,AUGMENTS,Neuroprotective Agents,AKT Signaling Pathway,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0295217,C1721094,AUGMENTS,NB 506,DNA Cleavage,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C0935929,C0031715,AUGMENTS,Antidiabetics,Phosphorylation,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1514560,C0031715,AUGMENTS,Protein Phosphatase Inhibitor,Phosphorylation,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1518041,C1157310,AUGMENTS,Luteinizing Hormone-releasing Hormone Agonist,estrogen biosynthetic process,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1519059,C3178791,AUGMENTS,Phosphorothioate Oligonucleotides,RNA Cleavage,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1532411,C0752319,AUGMENTS,Transferase inhibitor,MAP Kinase Cascade,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1874451,C0031715,AUGMENTS,Basis,Phosphorylation,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1874451,C1150639,AUGMENTS,Basis,pyruvate dehydrogenase (acetyl-transferring) kinase activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C1874451,C1518440,AUGMENTS,Basis,Nuclear Translocation,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2347168,C1328948,AUGMENTS,Mitogen-Activated Protein Kinase Kinase Inhibitor,RNA biosynthesis,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2703131,C1817666,AUGMENTS,CAL 101,phosphatidylinositol 3-kinase signaling,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2954564,C0031715,AUGMENTS,Suppressor,Phosphorylation,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2954564,C0597295,AUGMENTS,Suppressor,Protein Biosynthesis,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2987634,C0031715,AUGMENTS,Agonist,Phosphorylation,phsu,moft,5,AUGMENTS_PHSUaugmMOFT
C2987634,C1148926,AUGMENTS,Agonist,adenosinetriphosphatase activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2987634,C1149036,AUGMENTS,Agonist,GTPase activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2987634,C1325936,AUGMENTS,Agonist,receptor clustering,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2987634,C1520113,AUGMENTS,Agonist,Wnt Signaling Pathway,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C2987634,C3268357,AUGMENTS,Agonist,p38 MAPK signaling,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C3539125,C0162847,AUGMENTS,other medicated shampoos in ATC,protein folding,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C3539125,C1153410,AUGMENTS,other medicated shampoos in ATC,channel activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C3539957,C1149306,AUGMENTS,opium alkaloids and derivative combination cough suppressants,immunoglobulin binding,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C3653518,C0086982,AUGMENTS,CALCIUM HOMEOSTASIS,Signal Transduction Pathways,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C4305982,C0025246,AUGMENTS,R667,Membrane Fusion,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
C4305982,C1513109,AUGMENTS,R667,Membrane Fusion Activity,phsu,moft,1,AUGMENTS_PHSUaugmMOFT
