cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002475,C3714552,CAUSES,Mitomycin,Weakness,antb,sosy,1,CAUSES_ANTBcausSOSY
C0002645,C0011991,CAUSES,Amoxicillin,Diarrhea,antb,sosy,2,CAUSES_ANTBcausSOSY
C0002645,C0022346,CAUSES,Amoxicillin,Icterus,antb,sosy,1,CAUSES_ANTBcausSOSY
C0002679,C0015967,CAUSES,Amphotericin B,Fever,antb,sosy,1,CAUSES_ANTBcausSOSY
C0002679,C0043144,CAUSES,Amphotericin B,Wheezing,antb,sosy,1,CAUSES_ANTBcausSOSY
C0002680,C0015230,CAUSES,Ampicillin,Exanthema,antb,sosy,1,CAUSES_ANTBcausSOSY
C0003232,C0010200,CAUSES,Antibiotics,Coughing,antb,sosy,3,CAUSES_ANTBcausSOSY
C0003232,C0011991,CAUSES,Antibiotics,Diarrhea,antb,sosy,5,CAUSES_ANTBcausSOSY
C0003232,C1397014,CAUSES,Antibiotics,Imbalance,antb,sosy,1,CAUSES_ANTBcausSOSY
C0003232,C2074680,CAUSES,Antibiotics,chronic Discharging ear,antb,sosy,1,CAUSES_ANTBcausSOSY
C0004635,C0015967,CAUSES,bactericide,Fever,antb,sosy,1,CAUSES_ANTBcausSOSY
C0006968,C0085631,CAUSES,Carbapenems,Agitation,antb,sosy,2,CAUSES_ANTBcausSOSY
C0007561,C0015230,CAUSES,Ceftriaxone,Exanthema,antb,sosy,1,CAUSES_ANTBcausSOSY
C0008168,C0011991,CAUSES,Chloramphenicol,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0008947,C0011991,CAUSES,Clindamycin,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0013089,C0042963,CAUSES,Doxorubicin,Vomiting,antb,sosy,1,CAUSES_ANTBcausSOSY
C0013089,C0152030,CAUSES,Doxorubicin,Skin irritation,antb,sosy,1,CAUSES_ANTBcausSOSY
C0013089,C0239182,CAUSES,Doxorubicin,Watery diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0013089,C3714552,CAUSES,Doxorubicin,Weakness,antb,sosy,1,CAUSES_ANTBcausSOSY
C0020933,C0015230,CAUSES,Imipenem,Exanthema,antb,sosy,1,CAUSES_ANTBcausSOSY
C0023726,C0011991,CAUSES,Lincomycin,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0030842,C0085631,CAUSES,Penicillins,Agitation,antb,sosy,2,CAUSES_ANTBcausSOSY
C0038675,C0011991,CAUSES,Sulfadiazine,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0040341,C0010201,CAUSES,Tobramycin,Chronic cough,antb,sosy,1,CAUSES_ANTBcausSOSY
C0052796,C0015230,CAUSES,Azithromycin,Exanthema,antb,sosy,1,CAUSES_ANTBcausSOSY
C0059374,C0011991,CAUSES,enrofloxacin,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0072980,C0037088,CAUSES,Sirolimus,Signs and Symptoms,antb,sosy,1,CAUSES_ANTBcausSOSY
C0073591,C0013604,CAUSES,rosoxacin,Edema,antb,sosy,2,CAUSES_ANTBcausSOSY
C0073591,C0349410,CAUSES,rosoxacin,Single organ dysfunction,antb,sosy,1,CAUSES_ANTBcausSOSY
C0073591,C1397014,CAUSES,rosoxacin,Imbalance,antb,sosy,2,CAUSES_ANTBcausSOSY
C0085795,C0013404,CAUSES,Amphotericin,Dyspnea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0085795,C0232292,CAUSES,Amphotericin,Chest tightness,antb,sosy,1,CAUSES_ANTBcausSOSY
C0112317,C0011991,CAUSES,danofloxacin,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C0304324,C0015230,CAUSES,Aminopenicillin,Exanthema,antb,sosy,1,CAUSES_ANTBcausSOSY
C0310367,C0006625,CAUSES,Today,Cachexia,antb,sosy,1,CAUSES_ANTBcausSOSY
C0310367,C0011991,CAUSES,Today,Diarrhea,antb,sosy,1,CAUSES_ANTBcausSOSY
C1145701,C0013404,CAUSES,amphotericin B liposomal,Dyspnea,antb,sosy,1,CAUSES_ANTBcausSOSY
C1145701,C0232292,CAUSES,amphotericin B liposomal,Chest tightness,antb,sosy,1,CAUSES_ANTBcausSOSY
