cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012854,C0205557,CAUSES,DNA,False Positive,bacs,lbtr,5,CAUSES_BACScausLBTR
C0012854,C0427861,CAUSES,DNA,Human cells,bacs,lbtr,1,CAUSES_BACScausLBTR
C0012854,C0428536,CAUSES,DNA,Immunoglobulin level - finding,bacs,lbtr,1,CAUSES_BACScausLBTR
C0012854,C1516006,CAUSES,DNA,Antibody Repertoire,bacs,lbtr,1,CAUSES_BACScausLBTR
C0019588,C1335386,CAUSES,Histamine,Peripheral Blood Eosinophilia,bacs,lbtr,1,CAUSES_BACScausLBTR
C0027303,C0034917,CAUSES,NADP,Reduced Glutathione,bacs,lbtr,1,CAUSES_BACScausLBTR
C0028606,C0205557,CAUSES,Nucleic Acids,False Positive,bacs,lbtr,2,CAUSES_BACScausLBTR
C0028606,C0205558,CAUSES,Nucleic Acids,False Negative,bacs,lbtr,2,CAUSES_BACScausLBTR
C0035693,C0427861,CAUSES,"RNA, Double-Stranded",Human cells,bacs,lbtr,1,CAUSES_BACScausLBTR
C0062496,C0205558,CAUSES,hemozoin,False Negative,bacs,lbtr,1,CAUSES_BACScausLBTR
C0162772,C0428396,CAUSES,Reactive Oxygen Species,Cortisol level,bacs,lbtr,1,CAUSES_BACScausLBTR
C1101610,C0205558,CAUSES,MicroRNAs,False Negative,bacs,lbtr,1,CAUSES_BACScausLBTR
C1519315,C0427861,CAUSES,Signaling Molecule,Human cells,bacs,lbtr,1,CAUSES_BACScausLBTR
C1566558,C0205557,CAUSES,Natural Products,False Positive,bacs,lbtr,1,CAUSES_BACScausLBTR
