cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001884,C0021400,CAUSES,Airway Resistance Test,Influenza,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0001884,C0030424,CAUSES,Airway Resistance Test,Paragonimiasis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004339,C0008679,CAUSES,Auscultation,Chronic disease,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C0004364,CAUSES,Autopsy,Autoimmune Diseases,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C0009421,CAUSES,Autopsy,Comatose,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C0009450,CAUSES,Autopsy,Communicable Diseases,diap,dsyn,3,CAUSES_DIAPcausDSYN
C0004398,C0032285,CAUSES,Autopsy,Pneumonia,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C0033581,CAUSES,Autopsy,prostatitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C0035222,CAUSES,Autopsy,"Respiratory Distress Syndrome, Adult",diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C1145670,CAUSES,Autopsy,Respiratory Failure,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0004398,C1845609,CAUSES,Autopsy,Lymphoid depletion,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0009450,CAUSES,Biopsy,Communicable Diseases,diap,dsyn,3,CAUSES_DIAPcausDSYN
C0005558,C0019163,CAUSES,Biopsy,Hepatitis B,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0030305,CAUSES,Biopsy,Pancreatitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0035222,CAUSES,Biopsy,"Respiratory Distress Syndrome, Adult",diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0037284,CAUSES,Biopsy,Skin lesion,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0042164,CAUSES,Biopsy,Uveitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0042749,CAUSES,Biopsy,Viremia,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0205710,CAUSES,Biopsy,Alpers Syndrome (disorder),diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C0206062,CAUSES,Biopsy,"Lung Diseases, Interstitial",diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005558,C1299898,CAUSES,Biopsy,Cholangiohepatitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0005893,C0018801,CAUSES,Body mass index procedure,Heart failure,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0006290,C0009450,CAUSES,Bronchoscopy,Communicable Diseases,diap,dsyn,5,CAUSES_DIAPcausDSYN
C0006290,C0035436,CAUSES,Bronchoscopy,Rheumatic Fever,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0006290,C0205710,CAUSES,Bronchoscopy,Alpers Syndrome (disorder),diap,dsyn,1,CAUSES_DIAPcausDSYN
C0008310,C0001339,CAUSES,Endoscopic Retrograde Cholangiopancreatography,Acute pancreatitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0008310,C0030305,CAUSES,Endoscopic Retrograde Cholangiopancreatography,Pancreatitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0009450,CAUSES,Differential Diagnosis,Communicable Diseases,diap,dsyn,5,CAUSES_DIAPcausDSYN
C0011906,C0014038,CAUSES,Differential Diagnosis,Encephalitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0016627,CAUSES,Differential Diagnosis,Influenza in Birds,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0032285,CAUSES,Differential Diagnosis,Pneumonia,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0035222,CAUSES,Differential Diagnosis,"Respiratory Distress Syndrome, Adult",diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0151313,CAUSES,Differential Diagnosis,Sensory neuropathy,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0264490,CAUSES,Differential Diagnosis,Acute respiratory failure,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011906,C0543888,CAUSES,Differential Diagnosis,Epileptic encephalopathy,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011911,C0025297,CAUSES,Laboratory Diagnosis,Viral meningitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0011911,C0035243,CAUSES,Laboratory Diagnosis,Respiratory Tract Infections,diap,dsyn,2,CAUSES_DIAPcausDSYN
C0011911,C2880123,CAUSES,Laboratory Diagnosis,Viral gastroenteropathy NOS,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0013516,C0034063,CAUSES,Echocardiography,Pulmonary Edema,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0013819,C0038454,CAUSES,Electroencephalography,Cerebrovascular accident,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0013839,C1836764,CAUSES,Electromyography,RESPIRATORY RHYTHMICITY IN SLEEP,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0015945,C0854706,CAUSES,Fetal Monitoring,neonatal infection,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0021044,C3670505,CAUSES,Immunohistochemistry,Nonsuppurative encephalomyelitis,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0021044,C3814825,CAUSES,Immunohistochemistry,Sudden Unexplained Infant Death,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0024119,C0004096,CAUSES,Pulmonary function tests,Asthma,diap,dsyn,1,CAUSES_DIAPcausDSYN
C0024119,C0014867,CAUSES,Pulmonary function tests,Esophageal Varices,diap,dsyn,1,CAUSES_DIAPcausDSYN
