cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003818,C0021359,CAUSES,Arsenic,Infertility,elii,patf,1,CAUSES_ELIIcausPATF
C0007009,C0036679,CAUSES,Carbon,Diastasis,elii,patf,1,CAUSES_ELIIcausPATF
C0008209,C0036974,CAUSES,Chlorine,Shock,elii,patf,1,CAUSES_ELIIcausPATF
C0020275,C0004044,CAUSES,Hydrogen,Asphyxia,elii,patf,1,CAUSES_ELIIcausPATF
C0022023,C0015376,CAUSES,Ions,Extravasation,elii,patf,1,CAUSES_ELIIcausPATF
C0022023,C0021368,CAUSES,Ions,Inflammation,elii,patf,1,CAUSES_ELIIcausPATF
C0022023,C0024348,CAUSES,Ions,Lysis,elii,patf,2,CAUSES_ELIIcausPATF
C0022023,C1155266,CAUSES,Ions,inflammatory response,elii,patf,1,CAUSES_ELIIcausPATF
C0022262,C0020517,CAUSES,Isotopes,Hypersensitivity,elii,patf,1,CAUSES_ELIIcausPATF
C0025424,C0004366,CAUSES,Mercury,Autoimmune Response,elii,patf,3,CAUSES_ELIIcausPATF
C0033727,C0001122,CAUSES,Protons,Acidosis,elii,patf,1,CAUSES_ELIIcausPATF
C0038836,C0021368,CAUSES,Superoxides,Inflammation,elii,patf,1,CAUSES_ELIIcausPATF
C0038836,C0022116,CAUSES,Superoxides,Ischemia,elii,patf,2,CAUSES_ELIIcausPATF
C0220853,C0021368,CAUSES,Hydroxide Ion,Inflammation,elii,patf,1,CAUSES_ELIIcausPATF
C0220853,C0024348,CAUSES,Hydroxide Ion,Lysis,elii,patf,1,CAUSES_ELIIcausPATF
C0220853,C0520893,CAUSES,Hydroxide Ion,Localized desquamation,elii,patf,1,CAUSES_ELIIcausPATF
C0347988,C0022116,CAUSES,"Metals, Heavy",Ischemia,elii,patf,1,CAUSES_ELIIcausPATF
C0596019,C0236013,CAUSES,Chloride Ion,hyperosmolar state,elii,patf,1,CAUSES_ELIIcausPATF
C0596235,C0015376,CAUSES,Calcium ion,Extravasation,elii,patf,1,CAUSES_ELIIcausPATF
C0596235,C0021368,CAUSES,Calcium ion,Inflammation,elii,patf,1,CAUSES_ELIIcausPATF
C0596235,C0043065,CAUSES,Calcium ion,Water-Electrolyte Imbalance,elii,patf,1,CAUSES_ELIIcausPATF
C0596235,C3714514,CAUSES,Calcium ion,Infection,elii,patf,1,CAUSES_ELIIcausPATF
C2346661,C0028778,CAUSES,Pb2+,Obstruction,elii,patf,1,CAUSES_ELIIcausPATF
C2347816,C0003130,CAUSES,cobaltous cation,Anoxia,elii,patf,1,CAUSES_ELIIcausPATF
