cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003811,C0011071,CAUSES,Cardiac Arrhythmia,Sudden death,fndg,patf,5,CAUSES_FNDGcausPATF
C0003811,C0016059,CAUSES,Cardiac Arrhythmia,Fibrosis,fndg,patf,1,CAUSES_FNDGcausPATF
C0003811,C0036983,CAUSES,Cardiac Arrhythmia,Septic Shock,fndg,patf,1,CAUSES_FNDGcausPATF
C0003811,C0161816,CAUSES,Cardiac Arrhythmia,Cardiac complication,fndg,patf,1,CAUSES_FNDGcausPATF
C0003811,C0428977,CAUSES,Cardiac Arrhythmia,Bradycardia,fndg,patf,1,CAUSES_FNDGcausPATF
C0003811,C1720824,CAUSES,Cardiac Arrhythmia,Sudden Cardiac Arrest,fndg,patf,1,CAUSES_FNDGcausPATF
C0003962,C0004144,CAUSES,Ascites,Atelectasis,fndg,patf,1,CAUSES_FNDGcausPATF
C0003962,C0042484,CAUSES,Ascites,Venous Engorgement,fndg,patf,1,CAUSES_FNDGcausPATF
C0003962,C0235395,CAUSES,Ascites,Fluid loss,fndg,patf,1,CAUSES_FNDGcausPATF
C0003962,C1262018,CAUSES,Ascites,Graft failure,fndg,patf,1,CAUSES_FNDGcausPATF
C0003962,C3714514,CAUSES,Ascites,Infection,fndg,patf,1,CAUSES_FNDGcausPATF
C0007166,C0022116,CAUSES,Low Cardiac Output,Ischemia,fndg,patf,1,CAUSES_FNDGcausPATF
C0007166,C0028778,CAUSES,Low Cardiac Output,Obstruction,fndg,patf,1,CAUSES_FNDGcausPATF
C0007294,C0021368,CAUSES,Genetic Carriers,Inflammation,fndg,patf,2,CAUSES_FNDGcausPATF
C0009488,C0242656,CAUSES,Comorbidity,Disease Progression,fndg,patf,1,CAUSES_FNDGcausPATF
C0009488,C0442856,CAUSES,Comorbidity,Hypoperfusion,fndg,patf,1,CAUSES_FNDGcausPATF
C0009488,C0544688,CAUSES,Comorbidity,complication of disease,fndg,patf,1,CAUSES_FNDGcausPATF
C0009488,C1155266,CAUSES,Comorbidity,inflammatory response,fndg,patf,1,CAUSES_FNDGcausPATF
C0009488,C1373218,CAUSES,Comorbidity,Decreased Immunologic Activity [PE],fndg,patf,1,CAUSES_FNDGcausPATF
C0009940,C3714514,CAUSES,Convalescence,Infection,fndg,patf,1,CAUSES_FNDGcausPATF
C0010840,C0011304,CAUSES,Vacuolation,Demyelination,fndg,patf,3,CAUSES_FNDGcausPATF
C0010840,C0028778,CAUSES,Vacuolation,Obstruction,fndg,patf,1,CAUSES_FNDGcausPATF
C0010840,C0333456,CAUSES,Vacuolation,Primary demyelination,fndg,patf,1,CAUSES_FNDGcausPATF
C0015663,C0151521,CAUSES,Fasting,Bacterial resistance,fndg,patf,1,CAUSES_FNDGcausPATF
C0015663,C3714514,CAUSES,Fasting,Infection,fndg,patf,1,CAUSES_FNDGcausPATF
C0020440,C0001122,CAUSES,Hypercapnia,Acidosis,fndg,patf,2,CAUSES_FNDGcausPATF
C0020440,C0428977,CAUSES,Hypercapnia,Bradycardia,fndg,patf,1,CAUSES_FNDGcausPATF
C0020461,C0022116,CAUSES,Hyperkalemia,Ischemia,fndg,patf,1,CAUSES_FNDGcausPATF
C0020461,C0024348,CAUSES,Hyperkalemia,Lysis,fndg,patf,2,CAUSES_FNDGcausPATF
C0020461,C0428977,CAUSES,Hyperkalemia,Bradycardia,fndg,patf,1,CAUSES_FNDGcausPATF
C0020505,C0021655,CAUSES,Hyperphagia,Insulin Resistance,fndg,patf,2,CAUSES_FNDGcausPATF
C0020578,C0001122,CAUSES,Hyperventilation,Acidosis,fndg,patf,1,CAUSES_FNDGcausPATF
C0020578,C0002064,CAUSES,Hyperventilation,"Alkalosis, Respiratory",fndg,patf,6,CAUSES_FNDGcausPATF
C0020578,C0022116,CAUSES,Hyperventilation,Ischemia,fndg,patf,1,CAUSES_FNDGcausPATF
C0020578,C0220981,CAUSES,Hyperventilation,Metabolic acidosis,fndg,patf,1,CAUSES_FNDGcausPATF
