cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006138,C0275070,CAUSES,Bread,Alimentary toxic aleukia,food,inpo,1,CAUSES_FOODcausINPO
C0007757,C0010957,CAUSES,Cereals,Tissue damage,food,inpo,1,CAUSES_FOODcausINPO
C0009237,C0600688,CAUSES,Coffee,Toxic effect,food,inpo,1,CAUSES_FOODcausINPO
C0012155,C0036114,CAUSES,Diet,Salmonella food poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0012155,C0160390,CAUSES,Diet,Injury of liver,food,inpo,1,CAUSES_FOODcausINPO
C0012155,C0274973,CAUSES,Diet,Selenium poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0012173,C0242488,CAUSES,Dietary Fiber,Acute Lung Injury,food,inpo,1,CAUSES_FOODcausINPO
C0013710,C0010957,CAUSES,Egg Food Product,Tissue damage,food,inpo,1,CAUSES_FOODcausINPO
C0013710,C0036114,CAUSES,Egg Food Product,Salmonella food poisoning,food,inpo,2,CAUSES_FOODcausINPO
C0016452,C0010957,CAUSES,Food,Tissue damage,food,inpo,1,CAUSES_FOODcausINPO
C0016452,C0016479,CAUSES,Food,Food Poisoning,food,inpo,5,CAUSES_FOODcausINPO
C0016452,C0032343,CAUSES,Food,Poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0016452,C0600688,CAUSES,Food,Toxic effect,food,inpo,1,CAUSES_FOODcausINPO
C0016452,C0679360,CAUSES,Food,Foodborne Disease,food,inpo,3,CAUSES_FOODcausINPO
C0016452,C1402312,CAUSES,Food,traumatic; lesion,food,inpo,1,CAUSES_FOODcausINPO
C0016452,C1710055,CAUSES,Food,Serious Injury,food,inpo,1,CAUSES_FOODcausINPO
C0016494,C0016479,CAUSES,"Food, Canned",Food Poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0025017,C0679360,CAUSES,Meat,Foodborne Disease,food,inpo,1,CAUSES_FOODcausINPO
C0042440,C0014714,CAUSES,Vegetables,Ergotism,food,inpo,1,CAUSES_FOODcausINPO
C0206208,C0016479,CAUSES,Seafood,Food Poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0242295,C0032343,CAUSES,Dietary Supplements,Poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0344355,C0679360,CAUSES,Fast Foods,Foodborne Disease,food,inpo,1,CAUSES_FOODcausINPO
C0452888,C0016479,CAUSES,Poultry Meat,Food Poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0453834,C0016479,CAUSES,Contaminated food,Food Poisoning,food,inpo,1,CAUSES_FOODcausINPO
C0681562,C0679360,CAUSES,food product,Foodborne Disease,food,inpo,1,CAUSES_FOODcausINPO
