cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000097,C0026244,CAUSES,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Mitochondrial Swelling,hops,comd,1,CAUSES_HOPScausCOMD
C0000097,C0027746,CAUSES,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Nerve Degeneration,hops,comd,1,CAUSES_HOPScausCOMD
C0000098,C0596402,CAUSES,1-Methyl-4-phenylpyridinium,cytotoxicity,hops,comd,2,CAUSES_HOPScausCOMD
C0000098,C0599732,CAUSES,1-Methyl-4-phenylpyridinium,cell injury,hops,comd,5,CAUSES_HOPScausCOMD
C0000511,C0598309,CAUSES,4-Nitroquinoline-1-oxide,genotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0001734,C0242606,CAUSES,Aflatoxins,Oxidative Stress,hops,comd,2,CAUSES_HOPScausCOMD
C0001869,C0242606,CAUSES,Air Pollutants,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0002073,C0012860,CAUSES,Alkylating Agents,DNA Damage,hops,comd,1,CAUSES_HOPScausCOMD
C0003947,C0242606,CAUSES,Asbestos,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0004519,C0012860,CAUSES,Azoxymethane,DNA Damage,hops,comd,2,CAUSES_HOPScausCOMD
C0005038,C0596402,CAUSES,Lindane,cytotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0005082,C0242606,CAUSES,Benzopyrenes,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0006628,C0544910,CAUSES,Cacodylic Acid,Nuclear accumulation,hops,comd,1,CAUSES_HOPScausCOMD
C0007090,C0012860,CAUSES,Carcinogens,DNA Damage,hops,comd,1,CAUSES_HOPScausCOMD
C0014264,C0242606,CAUSES,Endotoxins,Oxidative Stress,hops,comd,4,CAUSES_HOPScausCOMD
C0014417,C1705285,CAUSES,Environmental Pollutants,Mutation Abnormality,hops,comd,1,CAUSES_HOPScausCOMD
C0016564,C0025570,CAUSES,Formaldehyde,Squamous metaplasia,hops,comd,1,CAUSES_HOPScausCOMD
C0016564,C0162735,CAUSES,Formaldehyde,Point Mutation,hops,comd,1,CAUSES_HOPScausCOMD
C0020282,C0596402,CAUSES,Hydrogen Sulfide,cytotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0022108,C0025570,CAUSES,Irritants,Squamous metaplasia,hops,comd,1,CAUSES_HOPScausCOMD
C0024578,C0008625,CAUSES,Maleic Hydrazide,Chromosome Aberrations,hops,comd,1,CAUSES_HOPScausCOMD
C0026879,C0012860,CAUSES,Mutagens,DNA Damage,hops,comd,2,CAUSES_HOPScausCOMD
C0026879,C0598309,CAUSES,Mutagens,genotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0026879,C0599732,CAUSES,Mutagens,cell injury,hops,comd,1,CAUSES_HOPScausCOMD
C0027934,C0027746,CAUSES,Neurotoxins,Nerve Degeneration,hops,comd,1,CAUSES_HOPScausCOMD
C0028040,C0242606,CAUSES,Nicotine,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0030493,C0242606,CAUSES,Paraquat,Oxidative Stress,hops,comd,3,CAUSES_HOPScausCOMD
C0030493,C0596402,CAUSES,Paraquat,cytotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0031253,C0596402,CAUSES,Pesticides,cytotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0032346,C0599732,CAUSES,Poisons,cell injury,hops,comd,1,CAUSES_HOPScausCOMD
C0035871,C4476796,CAUSES,Rotenone,Increased reactive oxygen species production,hops,comd,1,CAUSES_HOPScausCOMD
C0037366,C0012860,CAUSES,Smoke,DNA Damage,hops,comd,1,CAUSES_HOPScausCOMD
C0037366,C0025570,CAUSES,Smoke,Squamous metaplasia,hops,comd,1,CAUSES_HOPScausCOMD
C0037366,C0242606,CAUSES,Smoke,Oxidative Stress,hops,comd,2,CAUSES_HOPScausCOMD
C0039533,C0012860,CAUSES,Triethylenephosphoramide,DNA Damage,hops,comd,1,CAUSES_HOPScausCOMD
C0051051,C0596402,CAUSES,alachlor,cytotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0051051,C1317977,CAUSES,alachlor,Epithelial metaplasia,hops,comd,1,CAUSES_HOPScausCOMD
C0052416,C0242606,CAUSES,arsenic trioxide,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0056502,C0012860,CAUSES,"Asbestos, Crocidolite",DNA Damage,hops,comd,1,CAUSES_HOPScausCOMD
C0085180,C0012860,CAUSES,Aflatoxin B1,DNA Damage,hops,comd,1,CAUSES_HOPScausCOMD
C0085180,C0242606,CAUSES,Aflatoxin B1,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0085180,C4476796,CAUSES,Aflatoxin B1,Increased reactive oxygen species production,hops,comd,1,CAUSES_HOPScausCOMD
C0239059,C0242606,CAUSES,Cigarette smoke (substance),Oxidative Stress,hops,comd,2,CAUSES_HOPScausCOMD
C0301181,C0596402,CAUSES,Dichloropropene,cytotoxicity,hops,comd,1,CAUSES_HOPScausCOMD
C0444631,C0242606,CAUSES,Toxic material,Oxidative Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0599786,C0242606,CAUSES,pollutant,Oxidative Stress,hops,comd,2,CAUSES_HOPScausCOMD
C0599786,C1516373,CAUSES,pollutant,Cellular Stress,hops,comd,1,CAUSES_HOPScausCOMD
C0599787,C0242606,CAUSES,toxicant,Oxidative Stress,hops,comd,2,CAUSES_HOPScausCOMD
