cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0017181,CAUSES,Adrenal Cortex Hormones,Gastrointestinal Hemorrhage,horm,patf,1,CAUSES_HORMcausPATF
C0001617,C0021368,CAUSES,Adrenal Cortex Hormones,Inflammation,horm,patf,1,CAUSES_HORMcausPATF
C0001617,C0026846,CAUSES,Adrenal Cortex Hormones,Muscular Atrophy,horm,patf,1,CAUSES_HORMcausPATF
C0001617,C0029445,CAUSES,Adrenal Cortex Hormones,Bone necrosis,horm,patf,3,CAUSES_HORMcausPATF
C0001617,C0035410,CAUSES,Adrenal Cortex Hormones,Rhabdomyolysis,horm,patf,1,CAUSES_HORMcausPATF
C0001617,C0162633,CAUSES,Adrenal Cortex Hormones,Viral Shedding,horm,patf,1,CAUSES_HORMcausPATF
C0001617,C0543419,CAUSES,Adrenal Cortex Hormones,Sequela of disorder,horm,patf,1,CAUSES_HORMcausPATF
C0001617,C1373218,CAUSES,Adrenal Cortex Hormones,Decreased Immunologic Activity [PE],horm,patf,8,CAUSES_HORMcausPATF
C0001617,C3714514,CAUSES,Adrenal Cortex Hormones,Infection,horm,patf,1,CAUSES_HORMcausPATF
C0002006,C0002994,CAUSES,Aldosterone,Angioedema,horm,patf,1,CAUSES_HORMcausPATF
C0002006,C0016059,CAUSES,Aldosterone,Fibrosis,horm,patf,1,CAUSES_HORMcausPATF
C0002006,C0020564,CAUSES,Aldosterone,Hypertrophy,horm,patf,1,CAUSES_HORMcausPATF
C0002006,C0021368,CAUSES,Aldosterone,Inflammation,horm,patf,1,CAUSES_HORMcausPATF
C0002006,C0268000,CAUSES,Aldosterone,Body fluid retention,horm,patf,1,CAUSES_HORMcausPATF
C0002844,C0011164,CAUSES,Androgens,Abnormal degeneration,horm,patf,1,CAUSES_HORMcausPATF
C0002844,C0020507,CAUSES,Androgens,Hyperplasia,horm,patf,1,CAUSES_HORMcausPATF
C0002844,C1511605,CAUSES,Androgens,Cystic Change,horm,patf,1,CAUSES_HORMcausPATF
C0010124,C1373218,CAUSES,Corticosterone,Decreased Immunologic Activity [PE],horm,patf,1,CAUSES_HORMcausPATF
C0012472,C0021368,CAUSES,Dinoprostone,Inflammation,horm,patf,1,CAUSES_HORMcausPATF
C0014563,C0020517,CAUSES,Epinephrine,Hypersensitivity,horm,patf,1,CAUSES_HORMcausPATF
C0014939,C0022116,CAUSES,Estrogens,Ischemia,horm,patf,2,CAUSES_HORMcausPATF
C0014939,C0028778,CAUSES,Estrogens,Obstruction,horm,patf,1,CAUSES_HORMcausPATF
C0014939,C0333641,CAUSES,Estrogens,Atrophic,horm,patf,1,CAUSES_HORMcausPATF
C0014939,C0700148,CAUSES,Estrogens,Congestion,horm,patf,3,CAUSES_HORMcausPATF
C0017710,C0017181,CAUSES,Glucocorticoids,Gastrointestinal Hemorrhage,horm,patf,1,CAUSES_HORMcausPATF
C0017710,C0029445,CAUSES,Glucocorticoids,Bone necrosis,horm,patf,3,CAUSES_HORMcausPATF
C0017710,C0036983,CAUSES,Glucocorticoids,Septic Shock,horm,patf,1,CAUSES_HORMcausPATF
C0017710,C0333641,CAUSES,Glucocorticoids,Atrophic,horm,patf,1,CAUSES_HORMcausPATF
C0017710,C1373218,CAUSES,Glucocorticoids,Decreased Immunologic Activity [PE],horm,patf,4,CAUSES_HORMcausPATF
C0017710,C3714514,CAUSES,Glucocorticoids,Infection,horm,patf,1,CAUSES_HORMcausPATF
C0017710,C3887513,CAUSES,Glucocorticoids,Avascular necrosis,horm,patf,1,CAUSES_HORMcausPATF
C0020268,C0021655,CAUSES,Hydrocortisone,Insulin Resistance,horm,patf,1,CAUSES_HORMcausPATF
C0020268,C1373218,CAUSES,Hydrocortisone,Decreased Immunologic Activity [PE],horm,patf,2,CAUSES_HORMcausPATF
C0028351,C0026766,CAUSES,Norepinephrine,Multiple Organ Failure,horm,patf,1,CAUSES_HORMcausPATF
C0032952,C0919924,CAUSES,Prednisone,pulmonary toxicity,horm,patf,1,CAUSES_HORMcausPATF
C0033308,C0022116,CAUSES,Progesterone,Ischemia,horm,patf,1,CAUSES_HORMcausPATF
C0033554,C0021368,CAUSES,Prostaglandins,Inflammation,horm,patf,1,CAUSES_HORMcausPATF
C0033554,C1155266,CAUSES,Prostaglandins,inflammatory response,horm,patf,1,CAUSES_HORMcausPATF
C0036884,C0022116,CAUSES,Gonadal Steroid Hormones,Ischemia,horm,patf,1,CAUSES_HORMcausPATF
C0039601,C0242656,CAUSES,Testosterone,Disease Progression,horm,patf,1,CAUSES_HORMcausPATF
C0040135,C0020564,CAUSES,Thyroid Hormones,Hypertrophy,horm,patf,1,CAUSES_HORMcausPATF
C0086123,C0595916,CAUSES,Deoxycholate,Toxic nephropathy,horm,patf,1,CAUSES_HORMcausPATF
C0813203,C0520863,CAUSES,Desoxycorticosterone acetate,Diastolic dysfunction,horm,patf,1,CAUSES_HORMcausPATF
C0813203,C0597849,CAUSES,Desoxycorticosterone acetate,low renin hypertension,horm,patf,1,CAUSES_HORMcausPATF
C3540777,C1373218,CAUSES,"Glucocorticoids, Systemic",Decreased Immunologic Activity [PE],horm,patf,1,CAUSES_HORMcausPATF
