cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004760,C3714552,CAUSES,Dysbarism,Weakness,inpo,sosy,1,CAUSES_INPOcausSOSY
C0005658,C0015967,CAUSES,bite injury,Fever,inpo,sosy,1,CAUSES_INPOcausSOSY
C0005658,C0030193,CAUSES,bite injury,Pain,inpo,sosy,1,CAUSES_INPOcausSOSY
C0006434,C0015967,CAUSES,Burn injury,Fever,inpo,sosy,3,CAUSES_INPOcausSOSY
C0006434,C0030193,CAUSES,Burn injury,Pain,inpo,sosy,1,CAUSES_INPOcausSOSY
C0010957,C0011991,CAUSES,Tissue damage,Diarrhea,inpo,sosy,1,CAUSES_INPOcausSOSY
C0010957,C0015967,CAUSES,Tissue damage,Fever,inpo,sosy,1,CAUSES_INPOcausSOSY
C0010957,C0030193,CAUSES,Tissue damage,Pain,inpo,sosy,2,CAUSES_INPOcausSOSY
C0010957,C0151828,CAUSES,Tissue damage,Injection site pain,inpo,sosy,1,CAUSES_INPOcausSOSY
C0010957,C0349410,CAUSES,Tissue damage,Single organ dysfunction,inpo,sosy,2,CAUSES_INPOcausSOSY
C0010957,C0858854,CAUSES,Tissue damage,Unrest,inpo,sosy,1,CAUSES_INPOcausSOSY
C0014412,C0476273,CAUSES,Environmental Exposure,Respiratory distress,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016479,C0011991,CAUSES,Food Poisoning,Diarrhea,inpo,sosy,2,CAUSES_INPOcausSOSY
C0016479,C0042963,CAUSES,Food Poisoning,Vomiting,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016542,C0010200,CAUSES,Foreign Bodies,Coughing,inpo,sosy,2,CAUSES_INPOcausSOSY
C0016542,C0011991,CAUSES,Foreign Bodies,Diarrhea,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016542,C0019079,CAUSES,Foreign Bodies,Hemoptysis,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016542,C0043144,CAUSES,Foreign Bodies,Wheezing,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016542,C0085631,CAUSES,Foreign Bodies,Agitation,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016542,C1260880,CAUSES,Foreign Bodies,Rhinorrhea,inpo,sosy,1,CAUSES_INPOcausSOSY
C0016658,C0030193,CAUSES,Fracture,Pain,inpo,sosy,1,CAUSES_INPOcausSOSY
C0023176,C0426576,CAUSES,Lead Poisoning,Gastrointestinal symptom,inpo,sosy,1,CAUSES_INPOcausSOSY
C0023176,C0812426,CAUSES,Lead Poisoning,Kidney problem,inpo,sosy,1,CAUSES_INPOcausSOSY
C0028798,C0233397,CAUSES,Occupational Exposure,Psychological symptom,inpo,sosy,1,CAUSES_INPOcausSOSY
C0032343,C0009806,CAUSES,Poisoning,Constipation,inpo,sosy,1,CAUSES_INPOcausSOSY
C0032343,C0026961,CAUSES,Poisoning,Mydriasis,inpo,sosy,1,CAUSES_INPOcausSOSY
C0032343,C0042963,CAUSES,Poisoning,Vomiting,inpo,sosy,1,CAUSES_INPOcausSOSY
C0032343,C1397014,CAUSES,Poisoning,Imbalance,inpo,sosy,1,CAUSES_INPOcausSOSY
