cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006118,C0006826,CAUSES,Brain Neoplasms,Malignant Neoplasms,neop,neop,1,CAUSES_NEOPcausNEOP
C0006142,C0006826,CAUSES,Malignant neoplasm of breast,Malignant Neoplasms,neop,neop,1,CAUSES_NEOPcausNEOP
C0006142,C0024305,CAUSES,Malignant neoplasm of breast,"Lymphoma, Non-Hodgkin",neop,neop,1,CAUSES_NEOPcausNEOP
C0006142,C0027651,CAUSES,Malignant neoplasm of breast,Neoplasms,neop,neop,2,CAUSES_NEOPcausNEOP
C0006413,C0019829,CAUSES,Burkitt Lymphoma,Hodgkin Disease,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C0027627,CAUSES,Malignant Neoplasms,Neoplasm Metastasis,neop,neop,2,CAUSES_NEOPcausNEOP
C0006826,C0027651,CAUSES,Malignant Neoplasms,Neoplasms,neop,neop,3,CAUSES_NEOPcausNEOP
C0006826,C0030472,CAUSES,Malignant Neoplasms,Paraneoplastic Syndromes,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C0085669,CAUSES,Malignant Neoplasms,Acute leukemia,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C0598934,CAUSES,Malignant Neoplasms,tumor growth,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C0677930,CAUSES,Malignant Neoplasms,primary tumor,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C0750979,CAUSES,Malignant Neoplasms,Primary malignant neoplasm of brain,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C1136085,CAUSES,Malignant Neoplasms,Monoclonal Gammapathies,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C1306459,CAUSES,Malignant Neoplasms,Primary malignant neoplasm,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C1519346,CAUSES,Malignant Neoplasms,Skin Carcinogenesis,neop,neop,1,CAUSES_NEOPcausNEOP
C0006826,C3825002,CAUSES,Malignant Neoplasms,Cancer in animals,neop,neop,1,CAUSES_NEOPcausNEOP
C0007097,C0007114,CAUSES,Carcinoma,Malignant neoplasm of skin,neop,neop,1,CAUSES_NEOPcausNEOP
C0007097,C0017638,CAUSES,Carcinoma,Glioma,neop,neop,1,CAUSES_NEOPcausNEOP
C0007097,C0030354,CAUSES,Carcinoma,Papilloma,neop,neop,1,CAUSES_NEOPcausNEOP
C0007097,C0347390,CAUSES,Carcinoma,Skin Papilloma,neop,neop,1,CAUSES_NEOPcausNEOP
C0007114,C0006826,CAUSES,Malignant neoplasm of skin,Malignant Neoplasms,neop,neop,1,CAUSES_NEOPcausNEOP
C0007120,C1384494,CAUSES,Bronchioloalveolar Adenocarcinoma,Metastatic Carcinoma,neop,neop,1,CAUSES_NEOPcausNEOP
C0007137,C0280313,CAUSES,Squamous cell carcinoma,Squamous cell carcinoma of oropharynx,neop,neop,1,CAUSES_NEOPcausNEOP
C0007621,C0006826,CAUSES,Neoplastic Cell Transformation,Malignant Neoplasms,neop,neop,1,CAUSES_NEOPcausNEOP
C0007621,C0027651,CAUSES,Neoplastic Cell Transformation,Neoplasms,neop,neop,1,CAUSES_NEOPcausNEOP
C0007621,C0178874,CAUSES,Neoplastic Cell Transformation,Tumor Progression,neop,neop,2,CAUSES_NEOPcausNEOP
