cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001483,C0858952,CAUSES,Adenoviruses,silence,virs,mobd,1,CAUSES_VIRScausMOBD
C0010825,C1535926,CAUSES,Cytomegalovirus,Neurodevelopmental Disorders,virs,mobd,1,CAUSES_VIRScausMOBD
C0013480,C0003467,CAUSES,Ebola virus,Anxiety,virs,mobd,1,CAUSES_VIRScausMOBD
C0014383,C0011581,CAUSES,Enterovirus,Depressive disorder,virs,mobd,1,CAUSES_VIRScausMOBD
C0015767,C0011581,CAUSES,Feline leukemia virus,Depressive disorder,virs,mobd,1,CAUSES_VIRScausMOBD
C0016215,C0858952,CAUSES,Flavivirus,silence,virs,mobd,1,CAUSES_VIRScausMOBD
C0019092,C0233514,CAUSES,Hantavirus,Abnormal behavior,virs,mobd,1,CAUSES_VIRScausMOBD
C0019381,C0497327,CAUSES,"Herpesvirus 6, Human",Dementia,virs,mobd,1,CAUSES_VIRScausMOBD
C0019682,C0338656,CAUSES,HIV,Impaired cognition,virs,mobd,1,CAUSES_VIRScausMOBD
C0019682,C0497327,CAUSES,HIV,Dementia,virs,mobd,3,CAUSES_VIRScausMOBD
C0019682,C0858952,CAUSES,HIV,silence,virs,mobd,1,CAUSES_VIRScausMOBD
C0019704,C0497327,CAUSES,HIV-1,Dementia,virs,mobd,1,CAUSES_VIRScausMOBD
C0026398,C0233577,CAUSES,Moloney Leukemia Virus,Mimicry,virs,mobd,1,CAUSES_VIRScausMOBD
C0027984,C0021122,CAUSES,Newcastle disease virus,"Disruptive, Impulse Control, and Conduct Disorders",virs,mobd,1,CAUSES_VIRScausMOBD
C0029341,C0011581,CAUSES,Orthomyxoviridae,Depressive disorder,virs,mobd,1,CAUSES_VIRScausMOBD
C0029341,C0349208,CAUSES,Orthomyxoviridae,manic episode,virs,mobd,1,CAUSES_VIRScausMOBD
C0034497,C0424295,CAUSES,Rabies virus,Hyperactive behavior,virs,mobd,1,CAUSES_VIRScausMOBD
C0035366,C0011581,CAUSES,Retroviridae,Depressive disorder,virs,mobd,1,CAUSES_VIRScausMOBD
C0036238,C0008073,CAUSES,Satellite Viruses,Developmental Disabilities,virs,mobd,1,CAUSES_VIRScausMOBD
C0042776,C0003467,CAUSES,Virus,Anxiety,virs,mobd,2,CAUSES_VIRScausMOBD
C0042776,C0004930,CAUSES,Virus,Behavior Disorders,virs,mobd,1,CAUSES_VIRScausMOBD
C0042776,C0009676,CAUSES,Virus,Confusion,virs,mobd,2,CAUSES_VIRScausMOBD
C0042776,C0011581,CAUSES,Virus,Depressive disorder,virs,mobd,4,CAUSES_VIRScausMOBD
C0042776,C0233577,CAUSES,Virus,Mimicry,virs,mobd,1,CAUSES_VIRScausMOBD
C0042776,C0424295,CAUSES,Virus,Hyperactive behavior,virs,mobd,1,CAUSES_VIRScausMOBD
C0042776,C0497327,CAUSES,Virus,Dementia,virs,mobd,1,CAUSES_VIRScausMOBD
C0042776,C0525045,CAUSES,Virus,Mood Disorders,virs,mobd,1,CAUSES_VIRScausMOBD
C0079337,C0424295,CAUSES,Feline Immunodeficiency Virus,Hyperactive behavior,virs,mobd,1,CAUSES_VIRScausMOBD
C0205725,C0025362,CAUSES,Human Herpesvirus 5 species,Mental Retardation,virs,mobd,1,CAUSES_VIRScausMOBD
C0206179,C0086168,CAUSES,Chicken anemia virus,Dissociation,virs,mobd,1,CAUSES_VIRScausMOBD
C0206273,C0338831,CAUSES,Potyvirus,Manic,virs,mobd,1,CAUSES_VIRScausMOBD
C0206425,C0233577,CAUSES,"Encephalomyelitis Virus, Murine, Theiler",Mimicry,virs,mobd,3,CAUSES_VIRScausMOBD
C0206545,C0338656,CAUSES,Human respiratory syncytial virus,Impaired cognition,virs,mobd,1,CAUSES_VIRScausMOBD
C0318467,C0009676,CAUSES,Human rhinovirus,Confusion,virs,mobd,1,CAUSES_VIRScausMOBD
C0318793,C0003467,CAUSES,Zika Virus,Anxiety,virs,mobd,1,CAUSES_VIRScausMOBD
C0318793,C0349231,CAUSES,Zika Virus,Phobic anxiety disorder,virs,mobd,1,CAUSES_VIRScausMOBD
C0597363,C0858952,CAUSES,recombinant virus,silence,virs,mobd,1,CAUSES_VIRScausMOBD
C0599614,C0004936,CAUSES,borna virus,Mental disorders,virs,mobd,1,CAUSES_VIRScausMOBD
C0751672,C0003467,CAUSES,Hendra Virus,Anxiety,virs,mobd,1,CAUSES_VIRScausMOBD
C1050028,C0588006,CAUSES,Avian nephritis virus,Mild depression,virs,mobd,1,CAUSES_VIRScausMOBD
C1175743,C0242151,CAUSES,SARS coronavirus,violent,virs,mobd,1,CAUSES_VIRScausMOBD
C1613950,C0424295,CAUSES,"Influenza A Virus, H5N1 Subtype",Hyperactive behavior,virs,mobd,1,CAUSES_VIRScausMOBD
C2986384,C0086168,CAUSES,Enveloped Virus,Dissociation,virs,mobd,1,CAUSES_VIRScausMOBD
