cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001483,C0000786,CAUSES,Adenoviruses,Spontaneous abortion,virs,patf,1,CAUSES_VIRScausPATF
C0001483,C0010356,CAUSES,Adenoviruses,Cross Infection,virs,patf,1,CAUSES_VIRScausPATF
C0001483,C0021368,CAUSES,Adenoviruses,Inflammation,virs,patf,3,CAUSES_VIRScausPATF
C0001483,C0035410,CAUSES,Adenoviruses,Rhabdomyolysis,virs,patf,1,CAUSES_VIRScausPATF
C0001483,C0333467,CAUSES,Adenoviruses,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0001483,C1155266,CAUSES,Adenoviruses,inflammatory response,virs,patf,3,CAUSES_VIRScausPATF
C0001483,C1262018,CAUSES,Adenoviruses,Graft failure,virs,patf,1,CAUSES_VIRScausPATF
C0001483,C3714514,CAUSES,Adenoviruses,Infection,virs,patf,16,CAUSES_VIRScausPATF
C0001483,C4061114,CAUSES,Adenoviruses,Acute illness,virs,patf,5,CAUSES_VIRScausPATF
C0001489,C1373218,CAUSES,Aviadenovirus,Decreased Immunologic Activity [PE],virs,patf,1,CAUSES_VIRScausPATF
C0001489,C3714514,CAUSES,Aviadenovirus,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0001490,C3714514,CAUSES,"Adenoviruses, Human",Infection,virs,patf,2,CAUSES_VIRScausPATF
C0002331,C0024348,CAUSES,Alphavirus,Lysis,virs,patf,1,CAUSES_VIRScausPATF
C0002331,C4061114,CAUSES,Alphavirus,Acute illness,virs,patf,3,CAUSES_VIRScausPATF
C0003060,C3714514,CAUSES,Animal Viruses,Infection,virs,patf,2,CAUSES_VIRScausPATF
C0003725,C3714514,CAUSES,Arboviruses,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0003755,C4061114,CAUSES,Arenaviridae,Acute illness,virs,patf,1,CAUSES_VIRScausPATF
C0004120,C0021368,CAUSES,Astrovirus,Inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0004120,C0333467,CAUSES,Astrovirus,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0004120,C3714514,CAUSES,Astrovirus,Infection,virs,patf,2,CAUSES_VIRScausPATF
C0004419,C0028778,CAUSES,Infectious bronchitis virus,Obstruction,virs,patf,1,CAUSES_VIRScausPATF
C0004422,C0151686,CAUSES,Avian leukosis virus,Growth retardation,virs,patf,1,CAUSES_VIRScausPATF
C0004422,C0333467,CAUSES,Avian leukosis virus,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0004422,C1373218,CAUSES,Avian leukosis virus,Decreased Immunologic Activity [PE],virs,patf,2,CAUSES_VIRScausPATF
C0004422,C3249873,CAUSES,Avian leukosis virus,Childbirth Problems,virs,patf,1,CAUSES_VIRScausPATF
C0004423,C1373218,CAUSES,Genus Alpharetrovirus,Decreased Immunologic Activity [PE],virs,patf,1,CAUSES_VIRScausPATF
C0004651,C0010356,CAUSES,Bacteriophages,Cross Infection,virs,patf,1,CAUSES_VIRScausPATF
C0004651,C0024348,CAUSES,Bacteriophages,Lysis,virs,patf,4,CAUSES_VIRScausPATF
C0004651,C3658208,CAUSES,Bacteriophages,Dysbiosis,virs,patf,1,CAUSES_VIRScausPATF
C0004651,C3714514,CAUSES,Bacteriophages,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0006024,C0018273,CAUSES,Borna disease virus,Growth Disorders,virs,patf,1,CAUSES_VIRScausPATF
C0006063,C0020963,CAUSES,Bovine Viral Diarrhea Viruses,Immune Tolerance,virs,patf,1,CAUSES_VIRScausPATF
C0006063,C0752350,CAUSES,Bovine Viral Diarrhea Viruses,Embryo Death,virs,patf,1,CAUSES_VIRScausPATF
C0006063,C1373218,CAUSES,Bovine Viral Diarrhea Viruses,Decreased Immunologic Activity [PE],virs,patf,3,CAUSES_VIRScausPATF
C0006063,C3714514,CAUSES,Bovine Viral Diarrhea Viruses,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0006395,C4061114,CAUSES,Bunyaviridae,Acute illness,virs,patf,1,CAUSES_VIRScausPATF
C0008056,C3714514,CAUSES,Chikungunya virus,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0008056,C4061114,CAUSES,Chikungunya virus,Acute illness,virs,patf,3,CAUSES_VIRScausPATF
C0010076,C3714514,CAUSES,Coronaviridae,Infection,virs,patf,3,CAUSES_VIRScausPATF
C0010247,C0021368,CAUSES,Coxsackie Viruses,Inflammation,virs,patf,2,CAUSES_VIRScausPATF
C0010247,C3714514,CAUSES,Coxsackie Viruses,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0010825,C0021368,CAUSES,Cytomegalovirus,Inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0010825,C1262018,CAUSES,Cytomegalovirus,Graft failure,virs,patf,1,CAUSES_VIRScausPATF
C0010825,C3714514,CAUSES,Cytomegalovirus,Infection,virs,patf,3,CAUSES_VIRScausPATF
C0011220,C0151763,CAUSES,Hepatitis Delta Virus,Liver damage,virs,patf,3,CAUSES_VIRScausPATF
C0011315,C0019080,CAUSES,Dengue Virus,Hemorrhage,virs,patf,1,CAUSES_VIRScausPATF
C0011315,C0036974,CAUSES,Dengue Virus,Shock,virs,patf,3,CAUSES_VIRScausPATF
C0011315,C0333467,CAUSES,Dengue Virus,Cytopathic effect,virs,patf,2,CAUSES_VIRScausPATF
C0011315,C0595938,CAUSES,Dengue Virus,effect increased,virs,patf,1,CAUSES_VIRScausPATF
C0011315,C1155266,CAUSES,Dengue Virus,inflammatory response,virs,patf,1,CAUSES_VIRScausPATF
C0011315,C1373218,CAUSES,Dengue Virus,Decreased Immunologic Activity [PE],virs,patf,1,CAUSES_VIRScausPATF
C0011315,C3714514,CAUSES,Dengue Virus,Infection,virs,patf,5,CAUSES_VIRScausPATF
C0012755,C0000786,CAUSES,"Distemper Virus, Canine",Spontaneous abortion,virs,patf,1,CAUSES_VIRScausPATF
C0012755,C0011304,CAUSES,"Distemper Virus, Canine",Demyelination,virs,patf,5,CAUSES_VIRScausPATF
C0012755,C0333979,CAUSES,"Distemper Virus, Canine",Secondary hyperplasia,virs,patf,1,CAUSES_VIRScausPATF
C0012755,C3714514,CAUSES,"Distemper Virus, Canine",Infection,virs,patf,1,CAUSES_VIRScausPATF
C0012923,C0333467,CAUSES,DNA Viruses,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0012923,C3714514,CAUSES,DNA Viruses,Infection,virs,patf,7,CAUSES_VIRScausPATF
C0013480,C0011071,CAUSES,Ebola virus,Sudden death,virs,patf,1,CAUSES_VIRScausPATF
C0013480,C0019080,CAUSES,Ebola virus,Hemorrhage,virs,patf,1,CAUSES_VIRScausPATF
C0013480,C0036974,CAUSES,Ebola virus,Shock,virs,patf,1,CAUSES_VIRScausPATF
C0013480,C0745283,CAUSES,Ebola virus,INFECTIOUS PROCESS,virs,patf,1,CAUSES_VIRScausPATF
C0013480,C1155266,CAUSES,Ebola virus,inflammatory response,virs,patf,1,CAUSES_VIRScausPATF
C0013480,C3714514,CAUSES,Ebola virus,Infection,virs,patf,4,CAUSES_VIRScausPATF
C0013534,C0235029,CAUSES,Echovirus,neurological complication,virs,patf,1,CAUSES_VIRScausPATF
C0013590,C0021359,CAUSES,Mouse Pox Virus,Infertility,virs,patf,1,CAUSES_VIRScausPATF
C0014047,C3714514,CAUSES,Japanese encephalitis virus,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0014048,C3714514,CAUSES,"Encephalitis Virus, St. Louis",Infection,virs,patf,1,CAUSES_VIRScausPATF
C0014051,C3714514,CAUSES,Encephalitis Viruses,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0014080,C0011071,CAUSES,Encephalomyocarditis virus,Sudden death,virs,patf,1,CAUSES_VIRScausPATF
C0014080,C0333467,CAUSES,Encephalomyocarditis virus,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0014080,C3714514,CAUSES,Encephalomyocarditis virus,Infection,virs,patf,2,CAUSES_VIRScausPATF
C0014338,C3714514,CAUSES,"Coronavirus, Turkey",Infection,virs,patf,1,CAUSES_VIRScausPATF
C0014383,C0010356,CAUSES,Enterovirus,Cross Infection,virs,patf,1,CAUSES_VIRScausPATF
C0014383,C0021368,CAUSES,Enterovirus,Inflammation,virs,patf,2,CAUSES_VIRScausPATF
C0014383,C0024348,CAUSES,Enterovirus,Lysis,virs,patf,1,CAUSES_VIRScausPATF
C0014383,C0333467,CAUSES,Enterovirus,Cytopathic effect,virs,patf,2,CAUSES_VIRScausPATF
C0014383,C3714514,CAUSES,Enterovirus,Infection,virs,patf,12,CAUSES_VIRScausPATF
C0014383,C4061114,CAUSES,Enterovirus,Acute illness,virs,patf,2,CAUSES_VIRScausPATF
C0014644,C0021368,CAUSES,Epstein-Barr Virus,Inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0014644,C0301889,CAUSES,Epstein-Barr Virus,Immune defect,virs,patf,1,CAUSES_VIRScausPATF
C0014644,C1262018,CAUSES,Epstein-Barr Virus,Graft failure,virs,patf,1,CAUSES_VIRScausPATF
C0014644,C1373218,CAUSES,Epstein-Barr Virus,Decreased Immunologic Activity [PE],virs,patf,1,CAUSES_VIRScausPATF
C0014644,C2699153,CAUSES,Epstein-Barr Virus,Cell Invasion,virs,patf,2,CAUSES_VIRScausPATF
C0014644,C3714514,CAUSES,Epstein-Barr Virus,Infection,virs,patf,5,CAUSES_VIRScausPATF
C0014662,C0019080,CAUSES,"Infectious Anemia Virus, Equine",Hemorrhage,virs,patf,1,CAUSES_VIRScausPATF
C0014662,C0021368,CAUSES,"Infectious Anemia Virus, Equine",Inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0014665,C3670572,CAUSES,"Herpesvirus 1, Equid",Perivascular hemorrhage,virs,patf,1,CAUSES_VIRScausPATF
C0014665,C3714514,CAUSES,"Herpesvirus 1, Equid",Infection,virs,patf,1,CAUSES_VIRScausPATF
C0015763,C0333467,CAUSES,"Calicivirus, Feline",Cytopathic effect,virs,patf,2,CAUSES_VIRScausPATF
C0015767,C0010828,CAUSES,Feline leukemia virus,Cytopenia,virs,patf,1,CAUSES_VIRScausPATF
C0015767,C0020507,CAUSES,Feline leukemia virus,Hyperplasia,virs,patf,2,CAUSES_VIRScausPATF
C0015767,C0334094,CAUSES,Feline leukemia virus,Proliferation (morphologic abnormality),virs,patf,1,CAUSES_VIRScausPATF
C0015767,C1373218,CAUSES,Feline leukemia virus,Decreased Immunologic Activity [PE],virs,patf,4,CAUSES_VIRScausPATF
C0016215,C0036982,CAUSES,Flavivirus,"Shock, Hemorrhagic",virs,patf,1,CAUSES_VIRScausPATF
C0016215,C0333467,CAUSES,Flavivirus,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0016215,C3714514,CAUSES,Flavivirus,Infection,virs,patf,7,CAUSES_VIRScausPATF
C0017161,C0004366,CAUSES,Transmissible gastroenteritis virus,Autoimmune Response,virs,patf,1,CAUSES_VIRScausPATF
C0017161,C3714514,CAUSES,Transmissible gastroenteritis virus,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0019089,C0019080,CAUSES,Junin virus,Hemorrhage,virs,patf,1,CAUSES_VIRScausPATF
C0019092,C0015376,CAUSES,Hantavirus,Extravasation,virs,patf,1,CAUSES_VIRScausPATF
C0019092,C0036974,CAUSES,Hantavirus,Shock,virs,patf,1,CAUSES_VIRScausPATF
C0019092,C3714514,CAUSES,Hantavirus,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0019169,C0021376,CAUSES,Hepatitis B Virus,Chronic inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0019169,C0151763,CAUSES,Hepatitis B Virus,Liver damage,virs,patf,1,CAUSES_VIRScausPATF
C0019169,C3714514,CAUSES,Hepatitis B Virus,Infection,virs,patf,2,CAUSES_VIRScausPATF
C0019185,C0011304,CAUSES,Murine hepatitis virus,Demyelination,virs,patf,23,CAUSES_VIRScausPATF
C0019185,C0021368,CAUSES,Murine hepatitis virus,Inflammation,virs,patf,2,CAUSES_VIRScausPATF
C0019185,C0242656,CAUSES,Murine hepatitis virus,Disease Progression,virs,patf,1,CAUSES_VIRScausPATF
C0019185,C0332448,CAUSES,Murine hepatitis virus,Infiltration,virs,patf,2,CAUSES_VIRScausPATF
C0019185,C1155266,CAUSES,Murine hepatitis virus,inflammatory response,virs,patf,1,CAUSES_VIRScausPATF
C0019185,C1373218,CAUSES,Murine hepatitis virus,Decreased Immunologic Activity [PE],virs,patf,1,CAUSES_VIRScausPATF
C0019185,C1817978,CAUSES,Murine hepatitis virus,acute inflammatory response,virs,patf,2,CAUSES_VIRScausPATF
C0019186,C0011304,CAUSES,Hepatitis Viruses,Demyelination,virs,patf,1,CAUSES_VIRScausPATF
C0019186,C3714514,CAUSES,Hepatitis Viruses,Infection,virs,patf,4,CAUSES_VIRScausPATF
C0019351,C0011304,CAUSES,Human Herpesvirus 2,Demyelination,virs,patf,2,CAUSES_VIRScausPATF
C0019351,C0333467,CAUSES,Human Herpesvirus 2,Cytopathic effect,virs,patf,2,CAUSES_VIRScausPATF
C0019351,C1155266,CAUSES,Human Herpesvirus 2,inflammatory response,virs,patf,1,CAUSES_VIRScausPATF
C0019351,C3714514,CAUSES,Human Herpesvirus 2,Infection,virs,patf,2,CAUSES_VIRScausPATF
C0019369,C0016059,CAUSES,Herpesviridae,Fibrosis,virs,patf,1,CAUSES_VIRScausPATF
C0019369,C0021368,CAUSES,Herpesviridae,Inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0019369,C0024348,CAUSES,Herpesviridae,Lysis,virs,patf,1,CAUSES_VIRScausPATF
C0019369,C0333467,CAUSES,Herpesviridae,Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0019369,C1155266,CAUSES,Herpesviridae,inflammatory response,virs,patf,1,CAUSES_VIRScausPATF
C0019369,C3714514,CAUSES,Herpesviridae,Infection,virs,patf,13,CAUSES_VIRScausPATF
C0019378,C0235029,CAUSES,"Herpesvirus 1, Cercopithecine",neurological complication,virs,patf,1,CAUSES_VIRScausPATF
C0019378,C0333467,CAUSES,"Herpesvirus 1, Cercopithecine",Cytopathic effect,virs,patf,1,CAUSES_VIRScausPATF
C0019381,C0004366,CAUSES,"Herpesvirus 6, Human",Autoimmune Response,virs,patf,1,CAUSES_VIRScausPATF
C0019381,C0011304,CAUSES,"Herpesvirus 6, Human",Demyelination,virs,patf,1,CAUSES_VIRScausPATF
C0019381,C0235029,CAUSES,"Herpesvirus 6, Human",neurological complication,virs,patf,2,CAUSES_VIRScausPATF
C0019381,C1167870,CAUSES,"Herpesvirus 6, Human",Graft dysfunction,virs,patf,2,CAUSES_VIRScausPATF
C0019381,C1262018,CAUSES,"Herpesvirus 6, Human",Graft failure,virs,patf,1,CAUSES_VIRScausPATF
C0019381,C3714514,CAUSES,"Herpesvirus 6, Human",Infection,virs,patf,2,CAUSES_VIRScausPATF
C0019381,C4061114,CAUSES,"Herpesvirus 6, Human",Acute illness,virs,patf,2,CAUSES_VIRScausPATF
C0019682,C0015376,CAUSES,HIV,Extravasation,virs,patf,1,CAUSES_VIRScausPATF
C0019682,C0021376,CAUSES,HIV,Chronic inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0019682,C0040038,CAUSES,HIV,Thromboembolism,virs,patf,1,CAUSES_VIRScausPATF
C0019682,C0333467,CAUSES,HIV,Cytopathic effect,virs,patf,2,CAUSES_VIRScausPATF
C0019682,C0334044,CAUSES,HIV,Dysplasia,virs,patf,1,CAUSES_VIRScausPATF
C0019682,C0443146,CAUSES,HIV,Autoimmune reaction,virs,patf,1,CAUSES_VIRScausPATF
C0019682,C1373218,CAUSES,HIV,Decreased Immunologic Activity [PE],virs,patf,4,CAUSES_VIRScausPATF
C0019682,C3714514,CAUSES,HIV,Infection,virs,patf,7,CAUSES_VIRScausPATF
C0019704,C0333467,CAUSES,HIV-1,Cytopathic effect,virs,patf,5,CAUSES_VIRScausPATF
C0019704,C1155266,CAUSES,HIV-1,inflammatory response,virs,patf,2,CAUSES_VIRScausPATF
C0019704,C1373218,CAUSES,HIV-1,Decreased Immunologic Activity [PE],virs,patf,3,CAUSES_VIRScausPATF
C0019704,C3714514,CAUSES,HIV-1,Infection,virs,patf,1,CAUSES_VIRScausPATF
C0020094,C0011304,CAUSES,Human T-lymphotropic virus 1,Demyelination,virs,patf,1,CAUSES_VIRScausPATF
C0020094,C1510411,CAUSES,Human T-lymphotropic virus 1,metaplastic cell transformation,virs,patf,1,CAUSES_VIRScausPATF
C0021335,C0242649,CAUSES,Bovine herpesvirus 1,"Infectious Disease Transmission, Horizontal",virs,patf,1,CAUSES_VIRScausPATF
C0021335,C1373218,CAUSES,Bovine herpesvirus 1,Decreased Immunologic Activity [PE],virs,patf,1,CAUSES_VIRScausPATF
C0021335,C3686920,CAUSES,Bovine herpesvirus 1,Early embryonic death,virs,patf,1,CAUSES_VIRScausPATF
C0021338,C0333358,CAUSES,Infectious bursal disease virus,Hemorrhagic inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0021338,C0595938,CAUSES,Infectious bursal disease virus,effect increased,virs,patf,1,CAUSES_VIRScausPATF
C0021338,C1373218,CAUSES,Infectious bursal disease virus,Decreased Immunologic Activity [PE],virs,patf,5,CAUSES_VIRScausPATF
C0021344,C0021376,CAUSES,Human Papillomavirus,Chronic inflammation,virs,patf,1,CAUSES_VIRScausPATF
C0021344,C0243083,CAUSES,Human Papillomavirus,associated disease,virs,patf,1,CAUSES_VIRScausPATF
