cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001245,C0022023,COEXISTS_WITH,Actinin,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0001245,C2346927,COEXISTS_WITH,Actinin,Magnesium Cation,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0002520,C0033727,COEXISTS_WITH,Amino Acids,Protons,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0002520,C0260055,COEXISTS_WITH,Amino Acids,Liquid nitrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0002520,C2346661,COEXISTS_WITH,Amino Acids,Pb2+,aapp,elii,9,COEXISTS_WITH_AAPPcxwtELII
C0002570,C2349970,COEXISTS_WITH,Aminopeptidase,S4+,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0011744,COEXISTS_WITH,Antibodies,Deuterium,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0013852,COEXISTS_WITH,Antibodies,Electrons,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0037107,COEXISTS_WITH,Antibodies,Silicon,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0596235,COEXISTS_WITH,Antibodies,Calcium ion,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0003250,C0260055,COEXISTS_WITH,Monoclonal Antibodies,Liquid nitrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003250,C2347816,COEXISTS_WITH,Monoclonal Antibodies,cobaltous cation,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003250,C2936695,COEXISTS_WITH,Monoclonal Antibodies,Graphene,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003765,C0058347,COEXISTS_WITH,Arginine,Dioxygen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003995,C2346661,COEXISTS_WITH,Asparagine,Pb2+,aapp,elii,3,COEXISTS_WITH_AAPPcxwtELII
C0006772,C0596235,COEXISTS_WITH,Calmodulin,Calcium ion,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0007367,C0038836,COEXISTS_WITH,CATALASE,Superoxides,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0007367,C0682906,COEXISTS_WITH,CATALASE,Transition Elements,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0008586,C0596235,COEXISTS_WITH,Chromogranins,Calcium ion,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0009316,C0003075,COEXISTS_WITH,Colistin,Anions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0009498,C0057717,COEXISTS_WITH,Complement System Proteins,Diamond,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0010749,C0022023,COEXISTS_WITH,Cytochromes c,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0012888,C2346927,COEXISTS_WITH,DNA Polymerase I,Magnesium Cation,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0015505,C0596235,COEXISTS_WITH,Factor VIIa,Calcium ion,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0015518,C0022023,COEXISTS_WITH,factor X,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0015520,C0596235,COEXISTS_WITH,Factor Xa,Calcium ion,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017237,C0260055,COEXISTS_WITH,Gelatin,Liquid nitrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017360,C0022023,COEXISTS_WITH,pol genes,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017360,C2346927,COEXISTS_WITH,pol genes,Magnesium Cation,aapp,elii,14,COEXISTS_WITH_AAPPcxwtELII
C0017429,C0041119,COEXISTS_WITH,"Genome, Human",Tritium,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017797,C2346661,COEXISTS_WITH,Glutamine,Pb2+,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017797,C2347816,COEXISTS_WITH,Glutamine,cobaltous cation,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017822,C0682906,COEXISTS_WITH,GLUTATHIONE PEROXIDASE,Transition Elements,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017824,C0567415,COEXISTS_WITH,Glutathione Reductase,Atom (substance),aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017968,C0596235,COEXISTS_WITH,Glycoproteins,Calcium ion,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0019046,C0260055,COEXISTS_WITH,Hemoglobin,Liquid nitrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0019046,C0700308,COEXISTS_WITH,Hemoglobin,Protium,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0019737,C0596235,COEXISTS_WITH,HLA-B Antigens,Calcium ion,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0021641,C0022023,COEXISTS_WITH,Insulin,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0021755,C0006632,COEXISTS_WITH,Interleukin-1,Cadmium,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
