cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001898,C1417639,COEXISTS_WITH,Alanine,NDUFB7 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002199,C3272444,COEXISTS_WITH,Interferon-alpha,PIGA wt Allele,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C1426941,COEXISTS_WITH,Amino Acids,MTSS1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C1705663,COEXISTS_WITH,Amino Acids,APEX1 wt Allele,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003009,C1418243,COEXISTS_WITH,angiotensin II,PACSIN3 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003241,C1539205,COEXISTS_WITH,Antibodies,CYCSP39 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003595,C1412481,COEXISTS_WITH,Apolipoprotein E,APOE gene,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0006784,C1425627,COEXISTS_WITH,Calpain,C22orf23 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010590,C0042713,COEXISTS_WITH,Cycloserine,Viral Envelope Proteins E2,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010590,C1527134,COEXISTS_WITH,Cycloserine,Recombinant Interleukin-7,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010590,C2240205,COEXISTS_WITH,Cycloserine,BATF3 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010654,C1412627,COEXISTS_WITH,Cysteine,ATOX1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010654,C1414513,COEXISTS_WITH,Cysteine,HSD17B8 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
