cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C0041420,COEXISTS_WITH,Actins,Tweens,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001271,C0281643,COEXISTS_WITH,Actins,incomplete Freund's adjuvant,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001479,C0029904,COEXISTS_WITH,Na(+)-K(+)-Exchanging ATPase,Ouabain,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001479,C4050026,COEXISTS_WITH,Na(+)-K(+)-Exchanging ATPase,Matrix,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001492,C0017082,COEXISTS_WITH,Adenylate Cyclase,Gangliosides,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001655,C0015131,COEXISTS_WITH,Corticotropin,Etomidate,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001898,C2698794,COEXISTS_WITH,Alanine,Phentydrone,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001924,C0001962,COEXISTS_WITH,Albumins,Ethanol,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001924,C0002072,COEXISTS_WITH,Albumins,Alkanesulfonates,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001924,C0074937,COEXISTS_WITH,Albumins,SPAD,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002059,C0028908,COEXISTS_WITH,Alkaline Phosphatase,Oils,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002059,C0041175,COEXISTS_WITH,Alkaline Phosphatase,Tromethamine,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002059,C0041415,COEXISTS_WITH,Alkaline Phosphatase,Tween 20,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002059,C0063273,COEXISTS_WITH,Alkaline Phosphatase,icariin,aapp,orch,2,COEXISTS_WITH_AAPPcxwtORCH
C0002199,C0038317,COEXISTS_WITH,Interferon-alpha,Steroids,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002199,C0055295,COEXISTS_WITH,Interferon-alpha,chenodeoxycholate sulfate conjugate,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002210,C0028959,COEXISTS_WITH,alpha-Fetoproteins,Oligosaccharides,aapp,orch,2,COEXISTS_WITH_AAPPcxwtORCH
C0002210,C0874161,COEXISTS_WITH,alpha-Fetoproteins,Oseltamivir,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002210,C2927379,COEXISTS_WITH,alpha-Fetoproteins,Ella,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
