cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007735,C0000983,COEXISTS_WITH,Cephalothin,Acetic Acid,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0010572,C0006353,COEXISTS_WITH,Cycloheximide,Buffers,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0028951,C0006353,COEXISTS_WITH,Oligomycins,Buffers,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0038425,C0492002,COEXISTS_WITH,Streptomycin,Neutral buffered formalin,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0038432,C0006353,COEXISTS_WITH,Streptozocin,Buffers,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0038702,C0000983,COEXISTS_WITH,Sulfanilamide,Acetic Acid,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0041385,C0006353,COEXISTS_WITH,Tunicamycin,Buffers,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0072980,C0006353,COEXISTS_WITH,Sirolimus,Buffers,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0073591,C0006353,COEXISTS_WITH,rosoxacin,Buffers,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
C0279516,C0000983,COEXISTS_WITH,Anti-Bacterial Agents,Acetic Acid,antb,irda,1,COEXISTS_WITH_ANTBcxwtIRDA
