cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003818,C0719214,COEXISTS_WITH,Arsenic,century,elii,phsu,2,COEXISTS_WITH_ELIIcxwtPHSU
C0003818,C0772155,COEXISTS_WITH,Arsenic,thermal water,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0003818,C1134558,COEXISTS_WITH,Arsenic,Chinese herbs,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0018026,C0719214,COEXISTS_WITH,Gold,century,elii,phsu,3,COEXISTS_WITH_ELIIcxwtPHSU
C0022023,C0022260,COEXISTS_WITH,Ions,Isotonic Solutions,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0022023,C0544357,COEXISTS_WITH,Ions,human plasma,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0022023,C3853872,COEXISTS_WITH,Ions,electrolyte solution,elii,phsu,3,COEXISTS_WITH_ELIIcxwtPHSU
C0025424,C0719214,COEXISTS_WITH,Mercury,century,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0025424,C1134558,COEXISTS_WITH,Mercury,Chinese herbs,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0038836,C0003402,COEXISTS_WITH,Superoxides,Antioxidants,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0042306,C0935929,COEXISTS_WITH,Vanadium,Antidiabetics,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0347988,C3897599,COEXISTS_WITH,"Metals, Heavy",Skin Care Product,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C0723796,C0003402,COEXISTS_WITH,Trace metal,Antioxidants,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C2346726,C0350056,COEXISTS_WITH,aluminum cation,Adsorbents,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
C3643615,C0719214,COEXISTS_WITH,Triumph,century,elii,phsu,1,COEXISTS_WITH_ELIIcxwtPHSU
