cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002345,C0042774,COEXISTS_WITH,Alternative Splicing,Virus Replication,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0002345,C1160692,COEXISTS_WITH,Alternative Splicing,virus maturation,genf,celf,2,COEXISTS_WITH_GENFcxwtCELF
C0002345,C1326080,COEXISTS_WITH,Alternative Splicing,muscle cell differentiation,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0012899,C0007586,COEXISTS_WITH,DNA Repair,Cell Cycle,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0012899,C1155873,COEXISTS_WITH,DNA Repair,Cell Cycle Arrest,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017255,C0007586,COEXISTS_WITH,Gene Activation,Cell Cycle,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017256,C0026255,COEXISTS_WITH,Gene Amplification,Mitosis,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017256,C0042774,COEXISTS_WITH,Gene Amplification,Virus Replication,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017260,C1159527,COEXISTS_WITH,Gene Deletion,glucose uptake,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017262,C0037083,COEXISTS_WITH,Gene Expression,Signal Transduction,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017262,C0042774,COEXISTS_WITH,Gene Expression,Virus Replication,genf,celf,5,COEXISTS_WITH_GENFcxwtCELF
C0017262,C0206431,COEXISTS_WITH,Gene Expression,Antigen Presentation,genf,celf,2,COEXISTS_WITH_GENFcxwtCELF
C0017262,C0334220,COEXISTS_WITH,Gene Expression,Remyelination,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017262,C1155013,COEXISTS_WITH,Gene Expression,T cell differentiation,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017262,C1155065,COEXISTS_WITH,Gene Expression,T-Cell Activation,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017262,C1512772,COEXISTS_WITH,Gene Expression,Negative Regulation of Apoptosis,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017262,C2610474,COEXISTS_WITH,Gene Expression,type I interferon signaling pathway,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017263,C0162638,COEXISTS_WITH,Gene Expression Regulation,Apoptosis,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
C0017287,C1511002,COEXISTS_WITH,Gene Rearrangement,b cell differentiation,genf,celf,1,COEXISTS_WITH_GENFcxwtCELF
