cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0002092,COEXISTS_WITH,Immunologic Adjuvants,Allergens,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0003316,COEXISTS_WITH,Immunologic Adjuvants,Epitopes,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0003320,COEXISTS_WITH,Immunologic Adjuvants,Antigens,imft,imft,15,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0016712,COEXISTS_WITH,Immunologic Adjuvants,Freund's Adjuvant,imft,imft,4,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0021403,COEXISTS_WITH,Immunologic Adjuvants,Influenza virus vaccine,imft,imft,7,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0034496,COEXISTS_WITH,Immunologic Adjuvants,Rabies Vaccines,imft,imft,3,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0042210,COEXISTS_WITH,Immunologic Adjuvants,Vaccines,imft,imft,96,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0042211,COEXISTS_WITH,Immunologic Adjuvants,"Vaccines, Attenuated",imft,imft,6,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0042212,COEXISTS_WITH,Immunologic Adjuvants,"Vaccines, Inactivated",imft,imft,3,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0086413,COEXISTS_WITH,Immunologic Adjuvants,HIV Vaccine,imft,imft,2,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0206253,COEXISTS_WITH,Immunologic Adjuvants,"Vaccines, Combined",imft,imft,2,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0206255,COEXISTS_WITH,Immunologic Adjuvants,Malaria Vaccines,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0310663,COEXISTS_WITH,Immunologic Adjuvants,Animal disease vaccine,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0376613,COEXISTS_WITH,Immunologic Adjuvants,"Vaccines, DNA",imft,imft,4,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0597641,COEXISTS_WITH,Immunologic Adjuvants,plasmid vaccine,imft,imft,2,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C0887892,COEXISTS_WITH,Immunologic Adjuvants,"Vaccines, Subunit",imft,imft,8,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C1520145,COEXISTS_WITH,Immunologic Adjuvants,Whole Cell Vaccine,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0001551,C2240392,COEXISTS_WITH,Immunologic Adjuvants,Hepatitis B Vaccines,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0002092,C1320241,COEXISTS_WITH,Allergens,Mite allergen,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0002092,C1440666,COEXISTS_WITH,Allergens,Hay,imft,imft,1,COEXISTS_WITH_IMFTcxwtIMFT
C0002131,C0042210,COEXISTS_WITH,Alloantigens,Vaccines,imft,imft,2,COEXISTS_WITH_IMFTcxwtIMFT
C0003316,C0001551,COEXISTS_WITH,Epitopes,Immunologic Adjuvants,imft,imft,2,COEXISTS_WITH_IMFTcxwtIMFT
