cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002371,C0042210,COEXISTS_WITH,Aluminum Hydroxide,Vaccines,inch,imft,3,COEXISTS_WITH_INCHcxwtIMFT
C0009359,C0003320,COEXISTS_WITH,Gold Colloid,Antigens,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0013832,C0521390,COEXISTS_WITH,Electrolytes,neuronal,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0021966,C1440965,COEXISTS_WITH,Iodides,Milk powder,inch,imft,3,COEXISTS_WITH_INCHcxwtIMFT
C0034320,C0023767,COEXISTS_WITH,Diphosphates,Lipid A,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0043047,C0001551,COEXISTS_WITH,Water,Immunologic Adjuvants,inch,imft,3,COEXISTS_WITH_INCHcxwtIMFT
C0043047,C1440965,COEXISTS_WITH,Water,Milk powder,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0051522,C0001551,COEXISTS_WITH,aluminum sulfate,Immunologic Adjuvants,inch,imft,2,COEXISTS_WITH_INCHcxwtIMFT
C0051522,C0042210,COEXISTS_WITH,aluminum sulfate,Vaccines,inch,imft,5,COEXISTS_WITH_INCHcxwtIMFT
C0051522,C2981837,COEXISTS_WITH,aluminum sulfate,pandemrix,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0051522,C4276833,COEXISTS_WITH,aluminum sulfate,glucopyranosyl lipid-A,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0206103,C0003320,COEXISTS_WITH,Aluminum Compounds,Antigens,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C0475871,C0003320,COEXISTS_WITH,Aluminum salts,Antigens,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C1274086,C1440965,COEXISTS_WITH,Zinc sulfate monohydrate,Milk powder,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C2919405,C1518416,COEXISTS_WITH,Tap water,Normal Horse Serum,inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
C3536832,C2825347,COEXISTS_WITH,Air,"Immunoglobulin A, Human",inch,imft,1,COEXISTS_WITH_INCHcxwtIMFT
