cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000975,C0026408,COEXISTS_WITH,Acetate,Monensin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0001002,C0003232,COEXISTS_WITH,Acetone,Antibiotics,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0001962,C0003232,COEXISTS_WITH,Ethanol,Antibiotics,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0001962,C0007735,COEXISTS_WITH,Ethanol,Cephalothin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0002645,COEXISTS_WITH,Aminoglycosides,Amoxicillin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0003232,COEXISTS_WITH,Aminoglycosides,Antibiotics,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0006968,COEXISTS_WITH,Aminoglycosides,Carbapenems,orch,antb,2,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0016267,COEXISTS_WITH,Aminoglycosides,Floxacillin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0016673,COEXISTS_WITH,Aminoglycosides,Framycetin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0022914,COEXISTS_WITH,Aminoglycosides,Lactams,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0031955,COEXISTS_WITH,Aminoglycosides,Piperacillin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0002556,C0304317,COEXISTS_WITH,Aminoglycosides,First generation cephalosporin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0004504,C1145701,COEXISTS_WITH,Azoles,amphotericin B liposomal,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0005050,C0038675,COEXISTS_WITH,Benzimidazoles,Sulfadiazine,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008269,C0052796,COEXISTS_WITH,Chloroquine,Azithromycin,orch,antb,3,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0008168,COEXISTS_WITH,Ciprofloxacin,Chloramphenicol,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0013090,COEXISTS_WITH,Ciprofloxacin,Doxycycline,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0014806,COEXISTS_WITH,Ciprofloxacin,Erythromycin,orch,antb,2,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0022914,COEXISTS_WITH,Ciprofloxacin,Lactams,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0035608,COEXISTS_WITH,Ciprofloxacin,Rifampin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0039644,COEXISTS_WITH,Ciprofloxacin,Tetracycline,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0052796,COEXISTS_WITH,Ciprofloxacin,Azithromycin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0055856,COEXISTS_WITH,Ciprofloxacin,Clarithromycin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0059374,COEXISTS_WITH,Ciprofloxacin,enrofloxacin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0214439,COEXISTS_WITH,Ciprofloxacin,marbofloxacin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0282215,COEXISTS_WITH,Ciprofloxacin,beta-Lactams,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0008809,C0304320,COEXISTS_WITH,Ciprofloxacin,Third generation cephalosporin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0010583,C0003232,COEXISTS_WITH,Cyclophosphamide,Antibiotics,orch,antb,6,COEXISTS_WITH_ORCHcxwtANTB
C0010583,C0013089,COEXISTS_WITH,Cyclophosphamide,Doxorubicin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0010980,C0035608,COEXISTS_WITH,Dapsone,Rifampin,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
C0011777,C0002679,COEXISTS_WITH,Dexamethasone,Amphotericin B,orch,antb,1,COEXISTS_WITH_ORCHcxwtANTB
