cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000970,C0043047,COEXISTS_WITH,Acetaminophen,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0000975,C0043047,COEXISTS_WITH,Acetate,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0000986,C0359299,COEXISTS_WITH,acetic anhydride,sterile water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001002,C0043047,COEXISTS_WITH,Acetone,Water,orch,inch,11,COEXISTS_WITH_ORCHcxwtINCH
C0001002,C0071767,COEXISTS_WITH,Acetone,Potassium Hydroxide,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001927,C0043047,COEXISTS_WITH,Albuterol,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0002055,COEXISTS_WITH,Ethanol,Alkalies,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0020746,COEXISTS_WITH,Ethanol,Ice,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0038784,COEXISTS_WITH,Ethanol,Sulfuric acid,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0043047,COEXISTS_WITH,Ethanol,Water,orch,inch,57,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0071767,COEXISTS_WITH,Ethanol,Potassium Hydroxide,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0074728,COEXISTS_WITH,Ethanol,sodium borohydride,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0359299,COEXISTS_WITH,Ethanol,sterile water,orch,inch,6,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0790233,COEXISTS_WITH,Ethanol,Distilled water,orch,inch,9,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C3536832,COEXISTS_WITH,Ethanol,Air,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001964,C0043047,COEXISTS_WITH,1-Propanol,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001975,C0002055,COEXISTS_WITH,Alcohols,Alkalies,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001975,C0043047,COEXISTS_WITH,Alcohols,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0001992,C0038784,COEXISTS_WITH,Aldehydes,Sulfuric acid,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001992,C0043047,COEXISTS_WITH,Aldehydes,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001992,C0074738,COEXISTS_WITH,Aldehydes,sodium cyanoborohydride,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002062,C0043047,COEXISTS_WITH,Alkaloids,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002068,C0043047,COEXISTS_WITH,Alkenes,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002068,C0302917,COEXISTS_WITH,Alkenes,Lewis Acids,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002078,C0043047,COEXISTS_WITH,Alkynes,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002144,C0445115,COEXISTS_WITH,Allopurinol,Normal saline,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002403,C0043047,COEXISTS_WITH,Amantadine,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002508,C0002055,COEXISTS_WITH,Amines,Alkalies,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002508,C0008203,COEXISTS_WITH,Amines,Chlorides,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002508,C0037518,COEXISTS_WITH,Amines,Sodium Hypochlorite,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002508,C0043047,COEXISTS_WITH,Amines,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0002573,C0043047,COEXISTS_WITH,Aminophenols,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0003968,C0043047,COEXISTS_WITH,Ascorbic Acid,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0003968,C0073386,COEXISTS_WITH,Ascorbic Acid,Ringer's solution,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0005106,C0073386,COEXISTS_WITH,Benzylamines,Ringer's solution,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0005117,C0790233,COEXISTS_WITH,Berberine,Distilled water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0005575,C0790233,COEXISTS_WITH,Biotin,Distilled water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0006247,C0008203,COEXISTS_WITH,Bromphenol Blue,Chlorides,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0006931,C0043047,COEXISTS_WITH,Capsaicin,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0006948,C0030015,COEXISTS_WITH,Carbamates,Oxides,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007004,C0002055,COEXISTS_WITH,Carbohydrates,Alkalies,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007004,C0043047,COEXISTS_WITH,Carbohydrates,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0007004,C0700307,COEXISTS_WITH,Carbohydrates,hydroxyl group,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007026,C0043047,COEXISTS_WITH,Carbonates,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007068,C0043047,COEXISTS_WITH,Carboxymethylcellulose,Water,orch,inch,4,COEXISTS_WITH_ORCHcxwtINCH
C0007413,C0043047,COEXISTS_WITH,Catechols,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007413,C0053942,COEXISTS_WITH,Catechols,Borax,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007413,C0142906,COEXISTS_WITH,Catechols,sodium metaperiodate,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0008164,C0043047,COEXISTS_WITH,Chloramines,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0008196,C3536832,COEXISTS_WITH,Chlorhexidine,Air,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
